id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/11/value,qualifier/16/value
2494443255,1,34,16,0,0,8w89tsles26jm12aoelwvlttt,1,0,0,2023-01-01T14:15:08.868Z,2023-01-01T15:10:22Z,3962473251,130,8,3962473247,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3962473257,197,2084,3962473255,194,2hhatd33vvokrbemn4echivhl,3962473253,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3962473259,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3962473249,59,"1, 22, 21, 14, 4, 5, 19, 28, 10, 8, 11, 2, 6, 7, 9, 23, 30, 33",3962473245,30,"32sqctjujedqsab4xwy1pwlbd, 8bx76kurepj0yqe9iixa0zyp6, 9j8icoctjp1icwle91r62q76x, 9qeg65oa5skmypxvt73vckfrp, 1vfuzp09s9oj95ruav4ln9ch6, 2hhatd33vvokrbemn4echivhl, 9y8gvjzrsvgxkcfvq99mivdyi, bhtwzoyaqug2p0ezr7c6wxuui, 2uids8ea8jv4r62psqj37x3e2, 5v9byi3v430ysdqb058eww3c9, 299g43uwcj4dblia1bihagmol, 4k2uxd5rl1u8ctyxh3d765fqh, 8uch2zjj8vxmfi2l544j5ipxx, 3jitoqthsisleiprkhni7gycp, 6evqqxq5e0y1uvigg6bss4frp, enjlm4kjscxmu04a1tz7vo3fu, 87t5bq8gb92jo9vdj3wfc6jxm, 9r28zj6fz3z8dzojktwambsut",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494443377,1,34,16,0,0,5g1fnexeromjl0lvnxp8hpnhi,1,0,0,2023-01-01T14:15:37.173Z,2023-01-01T15:07:35Z,3962474017,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3962474013,194,5udpap0himq2ggsw4f0o5hqdx,3962474015,197,16120,3962474009,130,17,3962474003,30,"247o80ri7od76lxfrkmccz2ay, 5udpap0himq2ggsw4f0o5hqdx, 4lz9m2nwif7tql9hqsv2u7vft, 4cyf8fcefkz6433g76okyd65m, wuidadmmyp6xcztp1lxdxg4p, oe0lbxtc4qftnd886dzfm385, 2q6bsyszm27v5uvs30j5ty311, ab9z3kubalp5l33vbi4a8n0iy, 6rzq8xkkst4hgbh2ysj52gwyx, ady374prjuht3fs9va8n303jd, alhqwxs7t2pxxxuztmvy1ibpx, 3z9ioxbv8oeyqrbw5k8e3dec5, 9llmzvk9nw1kwy73o8z9f8usp, 9w0nk2mz77jqc62v4gv1h0vkl, 4xxoasz03erxlyonu2t8y5fqh, 82h98ebusz83rox95oi9kafh1, b61zsacrmh1mfvstd6q0hjpw, 56y2duyhs0m5k084fnyorx2j8",3962474005,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3962474011,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3962474007,59,"1, 8, 17, 21, 6, 5, 4, 20, 11, 19, 10, 2, 7, 9, 16, 25, 42, 44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449457,2,32,1,0,0,5g1fnexeromjl0lvnxp8hpnhi,1,0,0,2023-01-01T15:00:56.511Z,2023-01-03T01:28:37Z,3962507137,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449463,2,32,1,0,0,8w89tsles26jm12aoelwvlttt,1,0,0,2023-01-01T15:00:56.511Z,2023-01-01T15:01:01Z,3962507141,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449465,3,1,1,0,0,8w89tsles26jm12aoelwvlttt,1,49.9,50,2023-01-01T15:00:56.531Z,2023-01-03T05:01:18Z,3962507147,141,52.8,3962507151,213,3.0,3962507153,279,S,3962507143,56,Back,3962507149,212,20.7,3964271783,178,,3962507145,140,30.3,,,,2uids8ea8jv4r62psqj37x3e2,M. Eisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449467,4,1,1,0,2,8w89tsles26jm12aoelwvlttt,0,30.6,52.7,2023-01-01T15:00:59.362Z,2023-01-03T05:01:48Z,3964272075,178,,3962507163,141,57.5,3962507165,212,7.8,3962507161,140,37.3,3962507179,286,,3962507173,236,,3962507175,233,3,3962507167,213,0.4,1vfuzp09s9oj95ruav4ln9ch6,J. Tucker,3962507157,155,3962507159,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449469,3,74,1,0,2,5g1fnexeromjl0lvnxp8hpnhi,1,69.2,33.4,2023-01-01T15:00:59.492Z,2023-01-03T05:01:59Z,3962507171,285,,3964272175,388,,3962507169,56,Center,3962507181,233,4,,,,,,,,,,,,,6rzq8xkkst4hgbh2ysj52gwyx,N. Ennis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449477,4,5,1,0,5,5g1fnexeromjl0lvnxp8hpnhi,0,101.1,31.6,2023-01-01T15:01:02.111Z,2023-01-03T05:02:08Z,3962507197,233,5,3962507191,346,,3962507189,56,Center,,,,,,,,,,,,,,,,6rzq8xkkst4hgbh2ysj52gwyx,N. Ennis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449475,5,5,1,0,5,8w89tsles26jm12aoelwvlttt,1,-1.1,68.4,2023-01-01T15:01:02.111Z,2023-01-03T05:02:09Z,3962507193,233,4,3962507187,346,,3962507185,56,Back,,,,,,,,,,,,,,,,1vfuzp09s9oj95ruav4ln9ch6,J. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449515,6,1,1,0,31,8w89tsles26jm12aoelwvlttt,0,4.9,56.9,2023-01-01T15:01:28.494Z,2023-01-03T05:02:15Z,3962507389,212,57.0,3962507383,56,Left,3962507385,140,54.6,3962507393,1,,3962507395,74,,3962507387,141,90.5,3962507391,213,0.4,3962507379,124,,32sqctjujedqsab4xwy1pwlbd,J. Cumming,3962507381,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449523,5,1,1,0,35,5g1fnexeromjl0lvnxp8hpnhi,0,38.4,13.8,2023-01-01T15:01:31.724Z,2023-01-03T05:02:23Z,3962507417,141,11.4,3964272361,388,,3962507411,3,,3962507413,56,Right,3962507419,212,15.7,3962507415,140,53.3,3962507421,213,6.2,,,,2q6bsyszm27v5uvs30j5ty311,J. Houghton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449527,7,44,1,0,36,8w89tsles26jm12aoelwvlttt,1,42.6,88.3,2023-01-01T15:01:33.314Z,2023-01-03T08:45:55Z,3962507429,56,Back,3962507431,285,,3962507433,233,6,,,,,,,,,,,,,,,,9j8icoctjp1icwle91r62q76x,D. Harvie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449525,6,44,1,0,36,5g1fnexeromjl0lvnxp8hpnhi,0,57.4,11.7,2023-01-01T15:01:33.315Z,2023-01-03T05:02:34Z,3962507427,286,,3962507425,56,Right,3962507453,233,7,,,,,,,,,,,,,,,,ady374prjuht3fs9va8n303jd,M. Whittaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449529,8,1,1,0,36,8w89tsles26jm12aoelwvlttt,0,38.5,88,2023-01-01T15:01:33.374Z,2023-01-03T08:45:55Z,3962507439,56,Back,3962507447,213,5.9,3962507441,140,44.2,3962507443,141,84.2,3962507445,212,6.5,3962507437,3,,3964272559,388,,,,,9j8icoctjp1icwle91r62q76x,D. Harvie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494530969,804,49,1,0,38,5g1fnexeromjl0lvnxp8hpnhi,1,41,13.8,2023-01-01T15:01:35.003Z,2023-01-03T06:52:39Z,,,,,,,,,,,,,,,,,,,,,,,,,2q6bsyszm27v5uvs30j5ty311,J. Houghton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449541,7,1,1,0,38,5g1fnexeromjl0lvnxp8hpnhi,1,43.8,14.9,2023-01-01T15:01:35.472Z,2023-01-03T05:03:07Z,3962507483,155,,3962507489,141,21.0,3962507485,56,Right,3962507493,212,27.7,3962507495,213,0.2,3964272781,178,,3962507487,140,69.9,,,,2q6bsyszm27v5uvs30j5ty311,J. Houghton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
