id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/value,keyPass,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/22/id,qualifier/22/qualifierId,qualifier/22/value,qualifier/12/value,qualifier/15/value,qualifier/16/value
2529663221,1,34,16,0,0,5g1fnexeromjl0lvnxp8hpnhi,1,0,0,2023-04-07T13:15:12.411Z,2023-04-07T13:15:12Z,4169185561,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4169185567,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4169185553,30,"82h98ebusz83rox95oi9kafh1, 5udpap0himq2ggsw4f0o5hqdx, 8dcdul1txdibvq7liaagnc9ka, 48pxorkarv5aq03l6179bes45, wuidadmmyp6xcztp1lxdxg4p, oe0lbxtc4qftnd886dzfm385, 2q6bsyszm27v5uvs30j5ty311, 9llmzvk9nw1kwy73o8z9f8usp, 38tea2leeefxjnkk8g2orjyll, 4xxoasz03erxlyonu2t8y5fqh, 9w0nk2mz77jqc62v4gv1h0vkl, alhqwxs7t2pxxxuztmvy1ibpx, 4lz9m2nwif7tql9hqsv2u7vft, 4cyf8fcefkz6433g76okyd65m, e713hl3clivldop8wln53rsyy, 944ptuekuetkjifbeaycqcoh5, 6q0zzgnbbzsbubnekye5dunai, ba8qp1eswz0kzcr0245r7q8kp",4169185565,197,16466,4169185555,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4169185563,194,5udpap0himq2ggsw4f0o5hqdx,4169185557,59,"25, 8, 14, 22, 6, 5, 4, 7, 29, 16, 9, 10, 17, 21, 23, 26, 28, 32",4169185559,130,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529663353,1,34,16,0,0,8xeuwzxnm7hdlbjjuezgfkz3w,1,0,0,2023-04-07T13:15:28.024Z,2023-04-07T13:26:10Z,4169186347,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4169186349,59,"1, 2, 23, 6, 5, 29, 22, 4, 9, 15, 8, 7, 12, 14, 17, 18, 21, 25",4169186353,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4169186345,30,"af0te77bq4mgr7rkkqateiswl, dqgptypyedqzff38kn24en3s9, bydqclpl0ph9brgu0esubx0ph, a69q0jj7tjwzxpo6b4i1ed3h1, 3nxrsmys3v8ci6xeqsx8yaac5, 1vni33hvf1nchb5gou5n5b2i2, 1225w9qp3uzp1fkblmyidsfhm, dhty303ilcb4cocqv68324xk9, 3ft5brlvxvw8otiyjppxkk6ad, 8f5io2957l6ye5u7bsan0ecfe, b9apqidquztaojf6e3my6v7bp, ncyqchqipvfl6nhgecnw3giy, 6s5n6ri7p16dbqb35b2dpl0wl, 5pf4sma6x95qcuhx6wmqqzu1h, 2ykne43vtv8c00rvviyr3rre2, b6p7xeo6oeep33e6fgt3h3gt1, b1or5u4dfuf4pvg7cgqnp3nxl, apgbqplqtvuc1dmdxi5gqhd04",4169186355,194,dqgptypyedqzff38kn24en3s9,4169186357,197,4867,4169186351,130,13,4169186359,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529688773,2,32,1,0,0,8xeuwzxnm7hdlbjjuezgfkz3w,1,0,0,2023-04-07T13:59:53.204Z,2023-04-09T22:17:44Z,4169325071,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529688767,2,32,1,0,0,5g1fnexeromjl0lvnxp8hpnhi,1,0,0,2023-04-07T13:59:53.204Z,2023-04-07T13:59:53Z,4169325049,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529688803,3,1,1,0,0,5g1fnexeromjl0lvnxp8hpnhi,1,50,50,2023-04-07T13:59:53.229Z,2023-04-10T08:26:42Z,4169325243,141,51.9,4169325239,56,Back,4169325247,213,3.0,4169325249,279,S,4169325241,140,40.6,4179164617,178,,4169325245,212,10.0,,,,38tea2leeefxjnkk8g2orjyll,T. Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529688827,4,1,1,0,1,5g1fnexeromjl0lvnxp8hpnhi,0,40.6,51.9,2023-04-07T13:59:54.685Z,2023-04-10T08:26:47Z,4169325379,1,,4169325371,140,70.0,4169325377,213,0.6,4169325375,212,38.6,4169325367,155,,4169325373,141,86.0,4169325369,56,Left,4179164735,178,,2q6bsyszm27v5uvs30j5ty311,J. Houghton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529688837,3,1,1,0,4,8xeuwzxnm7hdlbjjuezgfkz3w,0,21.1,5.9,2023-04-07T13:59:57.646Z,2023-04-10T08:26:56Z,4169325411,140,45.5,4169325417,213,0.3,4169325409,56,Back,4169325407,3,,4169325415,212,27.1,4169325413,141,19.1,4179164837,388,,,,,3nxrsmys3v8ci6xeqsx8yaac5,F. Rawson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529688877,5,1,1,0,8,5g1fnexeromjl0lvnxp8hpnhi,1,53.7,51.9,2023-04-07T14:00:01.763Z,2023-04-10T08:27:03Z,4169325641,212,18.1,4169325633,56,Center,4169325635,140,50.4,4169325643,213,4.5,4169325637,141,25.8,4179165007,178,,,,,,,,2q6bsyszm27v5uvs30j5ty311,J. Houghton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529688955,6,1,1,0,10,5g1fnexeromjl0lvnxp8hpnhi,1,49.5,17.4,2023-04-07T14:00:03.872Z,2023-04-10T08:27:07Z,4169325995,141,12.0,4169325997,212,24.3,4169325991,56,Right,4169325999,213,6.1,4179165105,178,,4169325993,140,72.4,,,,,,,5udpap0himq2ggsw4f0o5hqdx,J. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529689025,7,1,1,0,17,5g1fnexeromjl0lvnxp8hpnhi,1,58.5,40.4,2023-04-07T14:00:10.673Z,2023-04-10T08:27:15Z,4169326359,56,Center,4169326363,141,69.9,4179165239,178,,4169326365,212,20.1,4169326361,140,58.7,4169326367,213,1.6,,,,,,,38tea2leeefxjnkk8g2orjyll,T. Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
