id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/17/value
2501307935,1,34,16,0,0,b3vbyitzi3nrw9ehj1eoko219,1,0,0,2023-01-28T14:14:25.031Z,2023-02-15T14:21:48Z,3998536849,59,"1, 2, 24, 10, 5, 15, 11, 21, 18, 19, 27, 3, 4, 6, 7, 22, 29, 32",3998536855,194,5mx96hmn7ophhuvmybmf1esid,3998536845,30,"9tlowuu89l3fnv5iowela1ca2, 5mx96hmn7ophhuvmybmf1esid, 1y7e8a23pc4xlc6ori1o1b8tm, 2sqsqi4h0d982a171bfuqnd91, e9zi7fb2t4akk1pzjpuhe4bf9, dwp8bqc4rdleti92n0s6q9rdh, 33eqc4ye34v5r0ix9cqg9fo4p, 6g8w8yuvkuayxcegsvzcjmmzt, 43dtg3eg858i3agncnpq3p1wp, 4wzaq9gqohygfo22tjibldfjd, 6dhwu4p5uu6oiada4q13g5tk9, 91mshvbc4rk9cf0chhgukakiy, 8q4vt9778kxds17wm6e9hdoiy, 76j19abwcie5w5hptkewlh0bt, dz4jeb7rhr5jt3grs4evbs5bd, 94pt7ikxi5cdjhbqf7vi9xg4p, 8mxu20zdh9wrguq79ib8y5m21, 322ut6dhdlh98w6dh7a2wcmqc",3998561153,197,4637,3998536851,130,8,3998536857,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3998536847,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3998536853,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501308027,1,34,16,0,0,dmz37633qbsvl7gncq5s51yjw,1,0,0,2023-01-28T14:14:29.301Z,2023-01-28T14:21:51Z,3998537403,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3998537407,197,4631,3998537399,59,"1, 28, 7, 6, 21, 23, 4, 24, 27, 10, 9, 2, 14, 15, 18, 20, 25, 26",3998537395,30,"3j589r3jhjkgpxxopsfit7aad, 58yhuku61yc06xpc55v5cdtec, 2oqi7v6d676hbe9i9agdl9ckp, 9c3iyi7y3hdraso115kxmd87p, 6s4sb4st1ploeraxawlckr4r9, asy3qn4557iy3r55yl4v9xj9x, e3ff2af2lxs0rl8c4r5ns4wd1, b6ctnwazqrxkw1639gn3vbahh, 2u4m2ja4yhgtqjgwns2om5y7e, 5kyyaapya2gv5awlfgckmwpux, aral6zvx8qxkfqkqwb7ldfk5x, 61aryp2zoj2ymcd318t9i70lx, 7b7ca1dklnp7reqcs5s4aauei, bkpr0uwpx5kbu2ms41uxoljah, 4lws9jepuxzs33zbt3w1ff9ih, 4jdmkdjk3nyontplaz0evug9h, 886i2kpcsn38tt7wqios1ip5, b3cehdu46pljqap9xw1j7pcyx",3998537401,130,18,3998537409,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3998537405,194,e3ff2af2lxs0rl8c4r5ns4wd1,3998537397,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501350103,2,32,1,0,0,b3vbyitzi3nrw9ehj1eoko219,1,0,0,2023-01-28T15:00:33.538Z,2023-02-15T11:59:53Z,3998752253,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501350109,2,32,1,0,0,dmz37633qbsvl7gncq5s51yjw,1,0,0,2023-01-28T15:00:33.538Z,2023-01-28T15:00:36Z,3998752283,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501350115,3,1,1,0,0,dmz37633qbsvl7gncq5s51yjw,1,50.4,49.5,2023-01-28T15:00:33.539Z,2023-01-31T09:42:15Z,3998752309,279,S,3998752305,212,25.7,3998752299,56,Back,3998752307,213,3.1,3998752303,141,49.5,4005201313,178,,3998752301,140,25.9,,,,5kyyaapya2gv5awlfgckmwpux,S. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501350223,4,1,1,0,4,dmz37633qbsvl7gncq5s51yjw,1,23.2,55.8,2023-01-28T15:00:37.727Z,2023-01-31T09:42:22Z,3998752811,56,Left,3998752817,141,90.6,4005201949,178,,3998752821,213,0.4,3998752809,157,,3998752823,1,,3998752819,212,64.9,3998752815,140,80.8,3j589r3jhjkgpxxopsfit7aad,D. Mitov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501350237,5,61,1,0,7,dmz37633qbsvl7gncq5s51yjw,0,80.8,90.6,2023-01-28T15:00:41.255Z,2023-01-31T09:42:49Z,3998752871,56,Left,4005202729,178,,4005202727,21,,,,,,,,,,,,,,,,,aral6zvx8qxkfqkqwb7ldfk5x,J. Ironside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501350243,3,49,1,0,8,b3vbyitzi3nrw9ehj1eoko219,1,32.7,15.8,2023-01-28T15:00:42.124Z,2023-01-31T09:42:54Z,,,,,,,,,,,,,,,,,,,,,,,,,33eqc4ye34v5r0ix9cqg9fo4p,O. Shodipo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501350271,4,1,1,0,8,b3vbyitzi3nrw9ehj1eoko219,1,32.7,15.8,2023-01-28T15:00:42.154Z,2023-01-31T09:42:58Z,3998753005,140,32.4,3998753009,212,10.7,4005203023,178,,3998753003,56,Back,3998753007,141,31.6,3998753011,213,1.6,,,,,,,33eqc4ye34v5r0ix9cqg9fo4p,O. Shodipo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501350453,5,1,1,0,10,b3vbyitzi3nrw9ehj1eoko219,1,31.9,31.8,2023-01-28T15:00:43.963Z,2023-01-31T09:43:04Z,3998753767,56,Back,4005203211,178,,3998753769,140,22.5,3998753771,141,61.1,3998753773,212,22.2,3998753775,213,2.0,,,,,,,6g8w8yuvkuayxcegsvzcjmmzt,L. Sørensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
