id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,keyPass,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/14/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2493222395,1,34,16,0,0,9db4t34qy4owglhvvgwf5l22i,1,0,0,2022-12-26T14:15:05.865Z,2022-12-26T15:16:53Z,3956022241,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3956022233,130,19,3956022227,30,"c3nbdw1440h1uwwmixrjxwclx, 4nm1tx8buxym4bf9f2pti2fhl, 3k9tjd5wgpufcbq4od8jpo89h, 49ca952ot1c3ytut2s281ds6h, d25ilw75uqbnk15v383e1kxrd, dwrnys3htjlb3asfou6425g16, cruhiz25b3bbd4unocpu9bvf9, canpue729cozt0cw6a1dpi7ai, 1r9aj50371x6f0xf7mmvldz9x, 32crcj18u4qnf8f07fbsopvpx, 1iy0goeaf5btyw09tr2ywbe8l, a97lovkim5o3xqd92bc80l5ux, 23gglwejp456bifnwkk9xi0a, 18loyx03olyhtkt6scybwr8q1, i1bzoqwi1u382l4yx3n864x6, 878xi84rsiw5uj1doiy894lwp, 2evuc5me085gt0aeky191cduc, 1wpc3b44r2w9m2wallf1xcmlm",3956022231,59,"40, 2, 7, 6, 24, 5, 30, 48, 9, 44, 8, 1, 14, 15, 26, 27, 29, 33",3956022229,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3956022239,197,16932,3956022237,194,49ca952ot1c3ytut2s281ds6h,3956022235,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493222469,1,34,16,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,0,0,2022-12-26T14:15:11.934Z,2022-12-26T14:15:12Z,3956022665,30,"1aq6osi0b0c580dlu9ugnjaei, 2asjeedy6igcuixqktdmk5k2x, 4i9u8cvqi0326gzqouf7uqju1, 23s9kwgzvgh27d393ymk0006h, ag8f1ksvfel1a0y49d0iypuui, a2g77lv071rnz76ujh30364tl, 6ipjgy0ewyx7mnmolu0pp0mw9, ex0gkrnzj98vrwpk9tpcfw91x, 7uhajc3suc68vemamuc3dyvp, 8i4qnoil4877e0wpwx3fj5b10, 7d9la6gbbobi9yie2ejf9uj1l, 3wew9tjsjrsoyioiuzd7ve356, 8w9kh0cuund2pw8wzs0rjrbah, 1vigb3e3dsxufbtvt4ed48e09, 8vwzh7t772qg1r3uxo83eiqui, a5cmnj0nhdbux68291ipqcei2, dv1g5fozbyj5r55grfp8x7uac, d8s5hdtsmitdvix6l02rjn1g4",3956022667,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3956022669,59,"40, 2, 10, 5, 50, 16, 6, 28, 7, 8, 4, 1, 14, 17, 21, 22, 39, 42",3956022673,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3956022671,130,19,3956022675,194,ex0gkrnzj98vrwpk9tpcfw91x,3956022677,197,16212,3956022679,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493236033,2,32,1,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,0,0,2022-12-26T15:01:05.513Z,2022-12-27T23:47:30Z,3956097293,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493236039,2,32,1,0,0,9db4t34qy4owglhvvgwf5l22i,1,0,0,2022-12-26T15:01:05.513Z,2022-12-26T15:01:06Z,3956097319,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493236063,3,1,1,0,0,9db4t34qy4owglhvvgwf5l22i,1,50.4,49.7,2022-12-26T15:01:05.543Z,2022-12-28T07:11:30Z,3956097455,140,34.1,3956097459,141,42.5,3958217395,178,,3956097475,279,S,3956097449,56,Back,3956097471,213,3.4,3956097467,212,17.8,,,,1r9aj50371x6f0xf7mmvldz9x,J. Norwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493236105,4,1,1,0,2,9db4t34qy4owglhvvgwf5l22i,0,34.1,42.5,2022-12-26T15:01:08.230Z,2022-12-28T07:11:33Z,3956097657,56,Left,3956097655,155,,3956097659,140,70.9,3956097661,141,100.0,3956097663,212,55.8,3958217465,178,,3956097665,213,0.8,3956097667,1,,49ca952ot1c3ytut2s281ds6h,M. Andersen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493236251,3,5,1,0,5,5qwskbjpa17fvmtuu5qijy7cz,1,24.3,-1.6,2022-12-26T15:01:11.200Z,2022-12-28T07:11:38Z,3956098221,233,5,3956098219,347,,3956098215,56,Back,,,,,,,,,,,,,,,,ex0gkrnzj98vrwpk9tpcfw91x,S. Conneely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493236109,5,5,1,0,5,9db4t34qy4owglhvvgwf5l22i,0,75.7,101.6,2022-12-26T15:01:11.200Z,2022-12-28T07:11:38Z,3956097687,347,,3956097685,56,Left,3956098253,233,3,,,,,,,,,,,,,,,,49ca952ot1c3ytut2s281ds6h,M. Andersen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493236313,4,1,1,0,15,5qwskbjpa17fvmtuu5qijy7cz,0,26.5,0,2022-12-26T15:01:21.317Z,2022-12-28T07:11:43Z,3956098539,141,16.4,3956098535,56,Right,3956098537,140,69.6,3956098545,1,,3956098533,107,,3956098541,212,46.8,3956098543,213,0.3,,,,2asjeedy6igcuixqktdmk5k2x,M. Clark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493236365,6,12,1,0,19,9db4t34qy4owglhvvgwf5l22i,1,20.7,87.7,2022-12-26T15:01:24.682Z,2022-12-28T07:11:48Z,3956098935,167,,3956098821,212,9.7,3956098823,213,1.3,3958217847,178,,3956098817,140,23.5,3956098815,56,Back,3956098819,141,100.0,,,,49ca952ot1c3ytut2s281ds6h,M. Andersen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
