id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/11/value,qualifier/12/value,assist,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/13/value,qualifier/15/value,qualifier/16/value
2511934079,1,34,16,0,0,8rfydplrc9ki0sirqi0drcybk,1,0,0,2023-02-25T14:15:22.018Z,2023-02-25T14:50:33Z,4054461807,194,f1rmwe24zg4697bqpc3z0y40l,4054461803,130,12,4054461797,30,"4e1c6yk50fl8hnwv6u1132j85, 5q6s3r5ychv1d3r1tch4sot05, 3tlocewlh3mb53wd0hk8nucbt, 6tqiy5a5cfpfm90j8r5udl8bu, b5j2ib54sum2pmzthjmfmr55h, emuuuhvah1jtq2fqs9ybfovvu, f1rmwe24zg4697bqpc3z0y40l, dw7bhxe9mbg94udlycw98gpgp, 3je74tc5emuou6ckwdbscsbu, 74p53a79q1tlis3a3gladqor9, 71or1ne6d9zuo038qdt6vcvoq, czwcateaukr5r9yibdem642qd, 2y1fhmv1aw0ocpu3h0wrfi1d6, e8whj7tdfmuk66shr30htmhud, 9vpu031whb1bj006mbw8hv2sp, e4xeswr8cpdkmlhijuf7oonsa, 2eu3cz65piv0j91gi396p9ega, b1cn7i49cjjiifnfw6xu18xsk",4054461805,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4054461799,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4054461813,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4054461801,59,"13, 26, 23, 4, 22, 18, 8, 27, 7, 9, 16, 3, 10, 14, 17, 21, 32, 50",4054461809,197,4826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511934153,1,34,16,0,0,8xeuwzxnm7hdlbjjuezgfkz3w,1,0,0,2023-02-25T14:15:25.697Z,2023-02-25T14:50:54Z,4054462201,194,dqgptypyedqzff38kn24en3s9,4054462199,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4054462191,30,"af0te77bq4mgr7rkkqateiswl, dqgptypyedqzff38kn24en3s9, dhty303ilcb4cocqv68324xk9, a06js9xdgcoqq2mjjp9bbozu2, 3nxrsmys3v8ci6xeqsx8yaac5, cqbxzfg7eb97z1rx01kms6ay1, epb1j3o8uv7qo4yu31eoquicq, 8f5io2957l6ye5u7bsan0ecfe, 5pf4sma6x95qcuhx6wmqqzu1h, b9apqidquztaojf6e3my6v7bp, apgbqplqtvuc1dmdxi5gqhd04, babqz0ziyoyw9ycgxh4stfh0p, ncyqchqipvfl6nhgecnw3giy, 5x46bjvslvsozkw1o5ddni12h, 6s5n6ri7p16dbqb35b2dpl0wl, b1or5u4dfuf4pvg7cgqnp3nxl, 1225w9qp3uzp1fkblmyidsfhm, 1vni33hvf1nchb5gou5n5b2i2",4054462203,197,4868,4054462195,59,"1, 2, 4, 20, 5, 16, 11, 15, 14, 8, 25, 3, 7, 10, 12, 21, 22, 29",4054462193,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4054462205,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4054462197,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511977139,2,32,1,0,0,8xeuwzxnm7hdlbjjuezgfkz3w,1,0,0,2023-02-25T15:00:38.978Z,2023-02-25T15:00:39Z,4054673703,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511977153,2,32,1,0,0,8rfydplrc9ki0sirqi0drcybk,1,0,0,2023-02-25T15:00:38.978Z,2023-02-28T17:21:46Z,4054673745,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511977239,3,1,1,0,0,8xeuwzxnm7hdlbjjuezgfkz3w,1,50.2,50,2023-02-25T15:00:38.979Z,2023-02-28T17:30:20Z,4054674157,213,3.1,4054674153,141,53.7,4054674155,212,38.5,4054674149,56,Back,4063828095,178,,4054674151,140,13.6,4054674161,279,S,4054674159,1,,8f5io2957l6ye5u7bsan0ecfe,J. Weir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511977353,4,1,1,0,4,8xeuwzxnm7hdlbjjuezgfkz3w,0,12.7,50.3,2023-02-25T15:00:43.461Z,2023-02-28T17:30:25Z,4054674617,56,Center,4054674621,141,72.3,4054674615,155,,4063828241,178,,4054674627,1,,4054674623,212,66.5,4054674619,140,74.4,4054674625,213,0.2,af0te77bq4mgr7rkkqateiswl,C. Ripley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511977359,3,44,1,0,7,8rfydplrc9ki0sirqi0drcybk,1,30.3,25.4,2023-02-25T15:00:46.707Z,2023-02-28T18:42:16Z,4054674661,56,Back,4054674771,233,5,4054674663,285,,,,,,,,,,,,,,,,,b5j2ib54sum2pmzthjmfmr55h,A. Nsiala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511977369,5,44,1,0,7,8xeuwzxnm7hdlbjjuezgfkz3w,0,69.7,74.6,2023-02-25T15:00:46.708Z,2023-02-28T17:30:29Z,4054674829,233,3,4054674695,56,Center,4054674697,286,,,,,,,,,,,,,,,,,epb1j3o8uv7qo4yu31eoquicq,M. Mellon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511977375,4,1,1,0,7,8rfydplrc9ki0sirqi0drcybk,0,35,23.1,2023-02-25T15:00:46.750Z,2023-02-28T18:42:17Z,4054674727,56,Back,4054674735,213,5.9,4054674725,3,,4054674733,212,8.6,4054674729,140,42.6,4063828531,388,,4054674731,141,18.5,,,,b5j2ib54sum2pmzthjmfmr55h,A. Nsiala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513306943,771,1,1,0,9,8xeuwzxnm7hdlbjjuezgfkz3w,0,65.7,72.6,2023-02-25T15:00:48.329Z,2023-02-28T17:30:35Z,4061696871,212,11.8,4063828685,388,,4061696869,141,69.4,4061696873,213,6.1,4061696867,140,76.7,4061696863,3,,4061696865,56,Center,,,,a06js9xdgcoqq2mjjp9bbozu2,L. Shaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
