id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/8/value,qualifier/9/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,assist
2537019773,1,34,16,0,0,5jjqm8h6qm1w4s5f93uubhdrj,1,0,0,2023-04-22T13:15:08.996Z,2023-04-22T13:22:49Z,4208266157,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4208266145,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4208266151,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4208266155,197,16178,4208266147,59,"1, 23, 15, 3, 4, 6, 18, 22, 9, 8, 10, 2, 5, 11, 16, 24, 28, 39",4208266149,130,17,4208266143,30,"4s848k6xkf7jqp11jkoit2a51, kxfjnow9ky2mxefjujv392ol, 9ofz3mgz4077lbkuba1l3kru1, 2k02tiy3x2a7o11h0kxw33fmd, em0i6q0h6q80melaxwx2nvz3e, 6cfr9qa1khqzv5oxsi8d3ug9h, boc9kr63xs5j2lx89tl1vjxsl, ewtroels9b5fc9hv9c2laj90q, dxndu5lwom3srja7xhiadmdw5, 4y9ghbncgfgpv4qd604g8jw15, 6ictgtdi9ogl7n8dqh4dm1fxl, cee3wxxx7lrluzh7kog7g07ah, azp9bk80ozwjy2xx7tvqot5gp, 37ea7qzvbzt3zr4y2q4o5boq, czsjz7u9u01z5a4pyue7tu5wq, 1zpxu396rz1b3gymuheg69h3p, 45i2fz3wya2x8gsa1hn8yd65m, dzboc2cmovo7k3g70y5socpn9",4208266153,194,dxndu5lwom3srja7xhiadmdw5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537019799,1,34,16,0,0,8b523ujgl21tbc01me65q0aoh,1,0,0,2023-04-22T13:15:10.737Z,2023-04-22T13:15:10Z,4208266327,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4208266319,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4208266333,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4208266325,130,8,4208266315,30,"4905drgcc9husos98ppdup4gl, b7yfyzrvj7yjo48pu8faqnvft, a9352zsh3xr7rcxs0jmho7o8a, 6o9v88iiwvbulajrwpd7uvkr9, 91f9qkusefgcrv2ri2h1nci96, 1244ja0ma2r0071i7d45t6yfp, 6v9kb953ugi8odu4tdly7v3yt, dgzuswl2pnk7t03ts7nguholx, 1uyg5c61jzqickqaegb07yk15, 28izur14k14lcgegg8qede7yt, 7fpcipp26a9fqes841ad7lh3p, 1feu2co3n49llnckcxffuo79x, ab2bx5qzhdzlduh46iacngbf9, 932abz8zmqv4ilfnmq7m2ew9h, 6b7fxcw7upr57pku6gf6dteqd, b7lmlxy1s3atzgtud5ofsc92h, coupcn8k43jf15nqge220qo5x, 6bejhzrjgg7dz6cp6s45rah91",4208266331,197,4779,4208266323,59,"1, 34, 3, 25, 6, 15, 7, 5, 27, 10, 33, 9, 11, 12, 19, 29, 31, 44",4208266329,194,dgzuswl2pnk7t03ts7nguholx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537056107,2,32,1,0,0,8b523ujgl21tbc01me65q0aoh,1,0,0,2023-04-22T14:00:56.994Z,2023-04-22T14:00:57Z,4208450377,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537056179,2,32,1,0,0,5jjqm8h6qm1w4s5f93uubhdrj,1,0,0,2023-04-22T14:00:56.994Z,2023-04-24T20:21:17Z,4208450657,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537056197,3,1,1,0,0,5jjqm8h6qm1w4s5f93uubhdrj,1,49.6,50.1,2023-04-22T14:00:57.135Z,2023-04-25T07:39:25Z,4208450713,140,33.8,4208450721,212,18.2,4208450735,279,S,4208450711,56,Back,4218901217,178,,4208450715,141,61.1,4208450729,213,2.7,,,,4y9ghbncgfgpv4qd604g8jw15,J. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537056205,4,1,1,0,2,5jjqm8h6qm1w4s5f93uubhdrj,1,35.1,64.6,2023-04-22T14:00:59.390Z,2023-04-25T07:39:28Z,4208450765,213,5.8,4208450761,141,33.3,4208450767,1,,4208450757,140,69.6,4218901317,178,,4208450763,212,42.0,4208450751,157,,4208450755,56,Center,2k02tiy3x2a7o11h0kxw33fmd,D. Butler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537056247,5,1,1,0,4,5jjqm8h6qm1w4s5f93uubhdrj,1,68,27.9,2023-04-22T14:01:01.929Z,2023-04-25T07:39:35Z,4208450993,212,19.5,4208450989,140,84.3,4208450991,141,14.1,4218901475,388,,4208450995,213,5.8,4208450987,56,Right,4208450985,3,,,,,dxndu5lwom3srja7xhiadmdw5,J. Clarke-Harris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537056347,6,1,1,0,10,5jjqm8h6qm1w4s5f93uubhdrj,1,86,9.5,2023-04-22T14:01:07.032Z,2023-04-25T07:39:40Z,4208451417,213,3.3,4208451409,140,78.6,4218901593,178,,4208451415,212,7.9,4208451407,56,Right,4208451413,141,7.7,,,,,,,6ictgtdi9ogl7n8dqh4dm1fxl,E. Mason-Clark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537056385,7,1,1,0,12,5jjqm8h6qm1w4s5f93uubhdrj,0,70.3,11.7,2023-04-22T14:01:09.440Z,2023-04-25T07:39:44Z,4208451543,56,Center,4208451553,1,,4208451541,155,,4208451545,140,88.5,4208451547,141,66.7,4218901671,178,,4208451551,213,1.1,4208451549,212,42.0,kxfjnow9ky2mxefjujv392ol,J. Ward,4217284637,225,4217284827,387,4208451539,2,4217284641,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537056393,3,52,1,0,15,8b523ujgl21tbc01me65q0aoh,1,13.6,38,2023-04-22T14:01:12.028Z,2023-04-25T07:39:47Z,4218901791,388,,4217284711,378,,,,,,,,,,,,,,,,,,,,4905drgcc9husos98ppdup4gl,C. Walton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
