id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,keyPass,qualifier/10/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2494443251,1,34,16,0,0,80jtkz2echk6yyyb9e2595cxr,1,0,0,2023-01-01T14:15:08.624Z,2023-01-01T15:10:50Z,3962473225,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3962473221,59,"1, 2, 6, 16, 28, 20, 15, 7, 10, 19, 11, 3, 9, 18, 21, 24, 25, 27",3962473231,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3962473217,30,"8xyeap5blm4g6swv05g95aesq, dfpogkmamlohb4ta3q5ehecq1, 541yhibvfn0fv2izdfudm7651, dlfoufhh8dc14s10vnbjrfvmd, asy3qn4557iy3r55yl4v9xj9x, cn988bjn09tb806b05wgp7ys5, eswokn90i34kdbfvax0y7365l, dypefa5ubw9m9xefxdd4365lh, 41cihaqh4lxje5nx17g0rbgt1, 33h8s55zcj0j535g2dyz9tnqi, 6m5uypsr6dj6l74khrez38355, 89wk8a6aqw64nub8dgdj7zjl5, 6d9maq3oecwobp2t2220vf4r9, 2iy84h1v8wt8l6prv701uohk9, c23tcl4dl40wu4i8vntbv0tm1, dgl4fbdrmolqgg0xzejl7ve8l, 610hp1px6mp6lbyube9b0swrt, 307tfvtl56s1rf61x8kjevjzd",3962473223,130,2,3962473219,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3962473229,197,16220,3962473227,194,cn988bjn09tb806b05wgp7ys5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494443257,1,34,16,0,0,2ezfenuwk3y65p8jdbj55xqt0,1,0,0,2023-01-01T14:15:08.826Z,2023-01-01T14:57:17Z,3962473261,30,"4s0yf91l8xqodeuv473hmp5ka, 9z75i0zrgtuumyixz8dl9ysbt, 56g3fffeygobuei72gnkm9a09, egr5n9jynbg3llc2tn2g5ncnp, 2r6gxw9yjxvaplv70ftq7wout, am14op2bc5krnoxpj6w9n5sk, effzy3ttltffcz92a3ro4woa, 6a08s0d0sgt7iw37spmo4bro5, ebsl5dh99nsoun0lksywr31n8, ald5oocxwh4pip8fw6v3ym8h6, 4qrvri86m93wpyugq0zq4aaqx, 2kecmwyt730pi8z3pnsqs1l1x, 74p53a79q1tlis3a3gladqor9, biwjsmk8ytz2k4d9f141jw15h, evb6gpvuutmnisv9d12gs0xcl, 91alifyhplzo2de1tooerpgfe, 2vw0m5bib6bnr5n1hsxkxe904, 4hgji0bnqpsqezk5ctxq3ggh6",3962473273,197,4825,3962473263,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3962473267,130,4,3962473269,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3962473271,194,egr5n9jynbg3llc2tn2g5ncnp,3962473265,59,"31, 28, 2, 4, 24, 34, 10, 21, 33, 17, 23, 5, 9, 13, 19, 32, 35, 43",3962473275,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449761,2,32,1,0,0,80jtkz2echk6yyyb9e2595cxr,1,0,0,2023-01-01T15:02:24.600Z,2023-01-03T04:18:59Z,3962508475,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449753,2,32,1,0,0,2ezfenuwk3y65p8jdbj55xqt0,1,0,0,2023-01-01T15:02:24.600Z,2023-01-01T15:02:24Z,3962508467,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449819,3,1,1,0,0,2ezfenuwk3y65p8jdbj55xqt0,1,49.9,50,2023-01-01T15:02:24.612Z,2023-01-03T07:34:18Z,3964345235,178,,3962508735,213,3.1,3962508727,56,Back,3962508729,140,22.9,3962508731,141,50.7,3962508737,279,S,3962508733,212,28.4,,,,egr5n9jynbg3llc2tn2g5ncnp,G. Dobson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449859,4,1,1,0,4,2ezfenuwk3y65p8jdbj55xqt0,0,23.5,48.5,2023-01-01T15:02:28.832Z,2023-01-03T07:34:30Z,3962508975,212,48.6,3964345251,178,,3962508967,157,,3962508969,56,Center,3962508971,140,67.8,3962508973,141,27.6,3962508979,1,,3962508977,213,6.0,4s0yf91l8xqodeuv473hmp5ka,A. Maynard-Brewer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449875,3,1,1,0,7,80jtkz2echk6yyyb9e2595cxr,0,28.7,87.1,2023-01-01T15:02:32.272Z,2023-01-03T07:34:50Z,3962509075,212,15.8,3962509067,3,,3962509069,56,Back,3964345413,388,,3962509071,140,40.0,3962509073,141,71.8,3962509077,213,5.6,,,,cn988bjn09tb806b05wgp7ys5,S. Raggett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449871,5,44,1,0,9,2ezfenuwk3y65p8jdbj55xqt0,1,60.8,32.2,2023-01-01T15:02:34.387Z,2023-01-04T09:35:23Z,3962509095,233,4,3962509049,56,Center,3962509051,286,,,,,,,,,,,,,,,,,egr5n9jynbg3llc2tn2g5ncnp,G. Dobson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449879,4,44,1,0,9,80jtkz2echk6yyyb9e2595cxr,0,39.2,67.8,2023-01-01T15:02:34.388Z,2023-01-03T07:36:50Z,3962509083,285,,3962509085,233,5,3962509081,56,Back,,,,,,,,,,,,,,,,dypefa5ubw9m9xefxdd4365lh,M. Pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494735157,827,1,1,0,9,2ezfenuwk3y65p8jdbj55xqt0,0,63.9,26.5,2023-01-01T15:02:34.410Z,2023-01-04T09:35:23Z,3964016451,141,24.8,3964345869,388,,3964016445,3,,3964016453,212,2.0,3964016449,140,65.5,3964016455,213,5.7,3964016447,56,Center,,,,egr5n9jynbg3llc2tn2g5ncnp,G. Dobson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
