id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/17/value
2486612223,1,34,16,0,0,dv9l02o316cd9hbkxaho2u12f,1,0,0,2022-11-19T11:15:18.508Z,2022-11-19T12:34:02Z,3920980919,197,16180,3920980913,130,18,3920980909,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3920980915,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3920980907,30,"3swij7ntrn9x9voc9clilgmvp, 7qnu4sb2a2vj7nw8gkvv1pxw5, c1hj1hth3xj2f0ax3x6fdwj8q, eg2xijdgtcaa44x57pjezy3ft, 4qg1mpymeaajx8gu7jycw5wph, 56zd7s72x7izgeiybmmgc8acq, 3j78tgfptah530cydckvfsauh, enfxh6b65c9hx1rs0scszi2y2, a993483h57leyjrkw3q0th905, adfgsbp3tv9wgatujcr9mfuju, a65axspsu3w38f0dob3aibk5x, 7djse28rpo31xno7d0exe5pzp, 81d38h08s97e8kl7kxew6si5l, 2nvu4o5lbowvig5ddb4563n8q, rqdgj7y5b0qjaxpz1i7k3a50, f4p7kokn0a6epac4icy01l9lh, 1dzmlop3jwm8aeqxkmihjl7xm, 4krngway5vullnycc785s9fdg",3920980921,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3920980917,194,4qg1mpymeaajx8gu7jycw5wph,3920980911,59,"18, 2, 3, 5, 26, 12, 8, 16, 14, 9, 20, 7, 10, 15, 22, 27, 39, 49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486612243,1,34,16,0,0,8b523ujgl21tbc01me65q0aoh,1,0,0,2022-11-19T11:15:25.362Z,2022-11-19T11:15:25Z,3920981029,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3920981031,59,"1, 7, 3, 15, 6, 44, 30, 5, 9, 10, 11, 4, 18, 19, 24, 28, 29, 31",3920981037,194,dgzuswl2pnk7t03ts7nguholx,3920981035,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3920981027,30,"4905drgcc9husos98ppdup4gl, 6v9kb953ugi8odu4tdly7v3yt, a9352zsh3xr7rcxs0jmho7o8a, 1244ja0ma2r0071i7d45t6yfp, 91f9qkusefgcrv2ri2h1nci96, 6bejhzrjgg7dz6cp6s45rah91, d3si5voqkdc8did5gkp67tg5w, dgzuswl2pnk7t03ts7nguholx, 1feu2co3n49llnckcxffuo79x, 28izur14k14lcgegg8qede7yt, ab2bx5qzhdzlduh46iacngbf9, c4p70bri4hf1ktz4xfv5j87vt, byem8e04h7nlgk9ythcswoley, 6b7fxcw7upr57pku6gf6dteqd, 1uv1l0l2zhrv5rjb9dgko0r1l, 683w7bqk233kdcznry98ld23t, b7lmlxy1s3atzgtud5ofsc92h, coupcn8k43jf15nqge220qo5x",3920981039,197,4778,3920981041,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3920981033,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486621077,2,32,1,0,0,dv9l02o316cd9hbkxaho2u12f,1,0,0,2022-11-19T12:01:40.756Z,2022-11-20T22:00:28Z,3921028259,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486621071,2,32,1,0,0,8b523ujgl21tbc01me65q0aoh,1,0,0,2022-11-19T12:01:40.756Z,2022-11-19T12:01:40Z,3921028227,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486621083,3,1,1,0,0,dv9l02o316cd9hbkxaho2u12f,1,49.9,49.9,2022-11-19T12:01:40.789Z,2022-11-21T07:22:05Z,3921028289,140,31.6,3921028293,212,19.6,3923155371,178,,3921028295,213,3.4,3921028297,279,S,3921028287,56,Back,3921028291,141,43.9,,,,a65axspsu3w38f0dob3aibk5x,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486621107,4,1,1,0,3,dv9l02o316cd9hbkxaho2u12f,0,30.2,43.4,2022-11-19T12:01:44.055Z,2022-11-21T04:25:31Z,3921028433,155,,3921028441,212,39.0,3921028439,141,8.0,3921028435,56,Right,3921028445,1,,3921028437,140,59.4,3921028443,213,5.6,3923155383,178,,eg2xijdgtcaa44x57pjezy3ft,A. Hartridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486621119,3,1,1,0,5,8b523ujgl21tbc01me65q0aoh,0,34.4,92.6,2022-11-19T12:01:46.169Z,2022-11-21T07:25:30Z,3921028511,56,Left,3921028517,212,21.1,3923155417,388,,3921028515,141,100.0,3921028509,3,,3921028513,140,53.6,3921028519,213,0.3,,,,ab2bx5qzhdzlduh46iacngbf9,M. Harness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486621123,4,5,1,0,8,8b523ujgl21tbc01me65q0aoh,0,53.9,101.4,2022-11-19T12:01:49.058Z,2022-11-21T04:25:40Z,3921028537,347,,3921028535,56,Left,3921028863,233,5,,,,,,,,,,,,,,,,ab2bx5qzhdzlduh46iacngbf9,M. Harness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486621187,5,5,1,0,8,dv9l02o316cd9hbkxaho2u12f,1,46.1,-1.4,2022-11-19T12:01:49.058Z,2022-11-21T04:25:39Z,3921028847,233,4,3921028839,347,,3921028837,56,Back,,,,,,,,,,,,,,,,eg2xijdgtcaa44x57pjezy3ft,A. Hartridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486621209,6,1,1,0,20,dv9l02o316cd9hbkxaho2u12f,1,44.2,0,2022-11-19T12:02:00.896Z,2022-11-21T04:25:50Z,3921028945,141,9.8,3921028943,140,46.0,3921028949,213,1.3,3921028939,107,,3921028941,56,Back,3921028947,212,8.2,,,,,,,56zd7s72x7izgeiybmmgc8acq,J. Key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486621245,7,1,1,0,21,dv9l02o316cd9hbkxaho2u12f,1,42.8,9.4,2022-11-19T12:02:02.659Z,2022-11-21T04:25:54Z,3921029157,141,7.0,3923155553,178,,3921029153,56,Back,3921029159,212,12.7,3921029155,140,30.8,3921029161,213,3.3,,,,,,,3j78tgfptah530cydckvfsauh,A. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
