id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value,assist,qualifier/17/value
2497181655,1,34,16,0,0,8b523ujgl21tbc01me65q0aoh,1,0,0,2023-01-14T14:15:08.657Z,2023-01-14T14:15:44Z,3976866343,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3976866347,197,4778,3976866345,194,dgzuswl2pnk7t03ts7nguholx,3976866337,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3976866335,30,"4905drgcc9husos98ppdup4gl, 6v9kb953ugi8odu4tdly7v3yt, a9352zsh3xr7rcxs0jmho7o8a, 1244ja0ma2r0071i7d45t6yfp, 91f9qkusefgcrv2ri2h1nci96, 6bejhzrjgg7dz6cp6s45rah91, dgzuswl2pnk7t03ts7nguholx, 7hduohz6mo32mbtdepyv5u7yt, 1feu2co3n49llnckcxffuo79x, 28izur14k14lcgegg8qede7yt, ab2bx5qzhdzlduh46iacngbf9, dp69i4w71wdxciwbgus5cmbpx, 6b7fxcw7upr57pku6gf6dteqd, 1uv1l0l2zhrv5rjb9dgko0r1l, 1uyg5c61jzqickqaegb07yk15, b7lmlxy1s3atzgtud5ofsc92h, d3si5voqkdc8did5gkp67tg5w, coupcn8k43jf15nqge220qo5x",3976866339,59,"1, 7, 3, 15, 6, 44, 5, 8, 9, 10, 11, 2, 19, 24, 27, 29, 30, 31",3976866341,130,17,3976866349,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497182391,1,34,16,0,0,5g1fnexeromjl0lvnxp8hpnhi,1,0,0,2023-01-14T14:15:49.211Z,2023-01-14T17:15:24Z,3976870489,130,18,3976870491,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3976870493,194,oe0lbxtc4qftnd886dzfm385,3976870497,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976870495,197,16466,3976870487,59,"1, 17, 3, 21, 6, 5, 20, 28, 10, 11, 9, 4, 16, 18, 23, 24, 25, 29",3976870485,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3976870483,30,"247o80ri7od76lxfrkmccz2ay, 4lz9m2nwif7tql9hqsv2u7vft, 5a86e1pl8b7ibmrkz3h6gs1yh, 4cyf8fcefkz6433g76okyd65m, wuidadmmyp6xcztp1lxdxg4p, oe0lbxtc4qftnd886dzfm385, ab9z3kubalp5l33vbi4a8n0iy, 6q0zzgnbbzsbubnekye5dunai, alhqwxs7t2pxxxuztmvy1ibpx, 6rzq8xkkst4hgbh2ysj52gwyx, 9w0nk2mz77jqc62v4gv1h0vkl, 2q6bsyszm27v5uvs30j5ty311, 4xxoasz03erxlyonu2t8y5fqh, 4mjzjj2p0pzyw0hcq4no9y0o9, e713hl3clivldop8wln53rsyy, 75n089x1zca6gw23j27ohrhii, 82h98ebusz83rox95oi9kafh1, 38tea2leeefxjnkk8g2orjyll",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497213923,2,32,1,0,0,5g1fnexeromjl0lvnxp8hpnhi,1,0,0,2023-01-14T15:02:07.249Z,2023-01-14T15:02:07Z,3977040753,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497213947,2,32,1,0,0,8b523ujgl21tbc01me65q0aoh,1,0,0,2023-01-14T15:02:07.249Z,2023-01-17T00:56:46Z,3977040843,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497213959,3,1,1,0,0,8b523ujgl21tbc01me65q0aoh,1,50.3,50.3,2023-01-14T15:02:07.316Z,2023-01-17T04:00:26Z,3977040899,56,Back,3977040905,212,24.9,3977040907,213,3.1,3977040903,141,50.3,3977040909,279,S,3977040901,140,26.6,3981874999,178,,,,,28izur14k14lcgegg8qede7yt,C. Chaplin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497214107,4,1,1,0,3,8b523ujgl21tbc01me65q0aoh,0,24.4,49,2023-01-14T15:02:10.394Z,2023-01-17T04:00:31Z,3977041625,1,,3977041619,141,94.7,3977041623,213,0.5,3977041621,212,59.8,3977041613,155,,3977041615,56,Left,3977041617,140,73.1,3981875079,178,,91f9qkusefgcrv2ri2h1nci96,L. Woolfenden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497214183,3,1,1,0,6,5g1fnexeromjl0lvnxp8hpnhi,1,29,13.4,2023-01-14T15:02:13.944Z,2023-01-17T06:12:31Z,3977041985,140,42.9,3977041987,141,21.0,3977041983,56,Back,3977041991,213,0.3,3981940453,178,,3977041981,3,,3977041989,212,15.5,,,,oe0lbxtc4qftnd886dzfm385,J. Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497214273,5,61,1,0,8,5g1fnexeromjl0lvnxp8hpnhi,0,43.3,21.3,2023-01-14T15:02:15.603Z,2023-01-17T04:00:54Z,3981875221,178,,3977042387,56,Back,,,,,,,,,,,,,,,,,,,6rzq8xkkst4hgbh2ysj52gwyx,N. Ennis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497214291,5,1,1,0,9,8b523ujgl21tbc01me65q0aoh,0,60.4,67.8,2023-01-14T15:02:16.416Z,2023-01-17T04:01:06Z,3977042525,141,91.2,3977042527,212,25.8,3977042523,140,79.7,3977042521,56,Left,3977042529,213,0.7,3981875321,178,,,,,,,,7hduohz6mo32mbtdepyv5u7yt,L. Evans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497214193,4,43,1,0,9,5g1fnexeromjl0lvnxp8hpnhi,1,0,0,2023-01-14T15:02:16.870Z,2023-01-16T12:55:22Z,3981277817,144,49,,,,,,,,,,,,,,,,,,,,,,6rzq8xkkst4hgbh2ysj52gwyx,N. Ennis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
