id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/11/value,qualifier/13/value,qualifier/14/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/18/value,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2540657023,1,34,16,0,0,dv9l02o316cd9hbkxaho2u12f,1,0,0,2023-04-29T13:15:25.859Z,2023-04-29T15:03:28Z,4234614745,30,"8hiqkrsoskyhhoc0n0wp7lql1, 4qg1mpymeaajx8gu7jycw5wph, 7qnu4sb2a2vj7nw8gkvv1pxw5, enfxh6b65c9hx1rs0scszi2y2, 35f2se8cf2zmpxl45zulorpat, eg2xijdgtcaa44x57pjezy3ft, rnifkb7ou8pu2k7ixdhzrtp0, 2nvu4o5lbowvig5ddb4563n8q, 56zd7s72x7izgeiybmmgc8acq, 5w3e46d2oh5wzrizfi9rdgwoa, dj5ho4am5u4ew23hchm4g549h, c1hj1hth3xj2f0ax3x6fdwj8q, adfgsbp3tv9wgatujcr9mfuju, awx668jrec0gnqk5gyg7o0oyy, 3swij7ntrn9x9voc9clilgmvp, 3lapm496pz9bbe7mgeezqncpg, 34ur42uwxdk48v051z05no9gp, f4p7kokn0a6epac4icy01l9lh",4234614749,59,"33, 26, 2, 16, 14, 5, 41, 15, 12, 21, 7, 3, 9, 11, 18, 19, 23, 27",4234614755,194,35f2se8cf2zmpxl45zulorpat,4234614759,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4234614757,197,16181,4234614751,130,2,4234614747,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4234614753,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540657123,1,34,16,0,0,8b523ujgl21tbc01me65q0aoh,1,0,0,2023-04-29T13:15:31.766Z,2023-04-29T13:15:31Z,4234615281,59,"1, 34, 3, 5, 6, 15, 7, 25, 27, 10, 33, 9, 11, 12, 19, 29, 31, 44",4234615279,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4234615283,130,8,4234615291,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4234615287,194,dgzuswl2pnk7t03ts7nguholx,4234615289,197,4778,4234615285,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4234615277,30,"4905drgcc9husos98ppdup4gl, b7yfyzrvj7yjo48pu8faqnvft, a9352zsh3xr7rcxs0jmho7o8a, dgzuswl2pnk7t03ts7nguholx, 91f9qkusefgcrv2ri2h1nci96, 1244ja0ma2r0071i7d45t6yfp, 6v9kb953ugi8odu4tdly7v3yt, 6o9v88iiwvbulajrwpd7uvkr9, 1uyg5c61jzqickqaegb07yk15, 28izur14k14lcgegg8qede7yt, 7fpcipp26a9fqes841ad7lh3p, 1feu2co3n49llnckcxffuo79x, ab2bx5qzhdzlduh46iacngbf9, 932abz8zmqv4ilfnmq7m2ew9h, 6b7fxcw7upr57pku6gf6dteqd, b7lmlxy1s3atzgtud5ofsc92h, coupcn8k43jf15nqge220qo5x, 6bejhzrjgg7dz6cp6s45rah91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540700095,2,32,1,0,0,dv9l02o316cd9hbkxaho2u12f,1,0,0,2023-04-29T14:02:22.910Z,2023-04-29T14:02:23Z,4234828533,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540700115,2,32,1,0,0,8b523ujgl21tbc01me65q0aoh,1,0,0,2023-04-29T14:02:22.910Z,2023-05-01T13:35:46Z,4234828627,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540700151,3,1,1,0,0,8b523ujgl21tbc01me65q0aoh,1,49.9,49.7,2023-04-29T14:02:22.914Z,2023-05-01T14:24:06Z,4234828791,213,3.0,4234828787,141,52.4,4234828793,279,S,4234828783,56,Back,4243489409,178,,4234828785,140,33.3,4234828789,212,17.5,,,,28izur14k14lcgegg8qede7yt,C. Chaplin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540700337,4,1,1,0,2,8b523ujgl21tbc01me65q0aoh,1,27.6,49.9,2023-04-29T14:02:25.820Z,2023-05-01T14:24:09Z,4234829637,1,,4243490271,178,,4234829633,213,0.7,4234829625,56,Left,4234829629,141,92.4,4234829631,212,46.2,4234829627,140,61.9,4234829623,155,,91f9qkusefgcrv2ri2h1nci96,L. Woolfenden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540700351,5,1,1,0,5,8b523ujgl21tbc01me65q0aoh,0,62.2,92.6,2023-04-29T14:02:28.563Z,2023-05-01T14:24:14Z,4234829723,213,5.2,4242455753,155,,4234829721,212,10.0,4234829713,56,Left,4243490539,178,,4234829717,140,66.7,4234829719,141,79.6,,,,1uyg5c61jzqickqaegb07yk15,G. Hirst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540700363,3,49,1,0,6,dv9l02o316cd9hbkxaho2u12f,1,38.8,32.8,2023-04-29T14:02:29.700Z,2023-05-01T14:24:18Z,,,,,,,,,,,,,,,,,,,,,,,,,2nvu4o5lbowvig5ddb4563n8q,K. Chauke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540700435,6,43,1,0,7,8b523ujgl21tbc01me65q0aoh,1,0,0,2023-04-29T14:02:29.948Z,2023-04-29T14:02:38Z,4234830163,213,0,4234830157,141,79.6,4234831287,144,1,4234830153,56,Left,4234830159,212,0,4234830155,140,66.7,,,,,,,1uyg5c61jzqickqaegb07yk15,G. Hirst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540700437,4,1,1,0,8,dv9l02o316cd9hbkxaho2u12f,0,38.3,27.9,2023-04-29T14:02:30.965Z,2023-05-01T14:24:22Z,4234830175,212,8.2,4234830543,233,7,4234830173,141,19.1,4234830177,213,5.5,4234830549,286,,4234830541,236,,4243490911,178,,4234830169,56,Back,2nvu4o5lbowvig5ddb4563n8q,K. Chauke,4234830171,140,43.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540700489,7,74,1,0,8,8b523ujgl21tbc01me65q0aoh,1,63.8,87.5,2023-04-29T14:02:31.166Z,2023-05-01T14:25:02Z,4243492761,178,,4234830453,285,,4234830601,233,4,4234830451,56,Left,,,,,,,,,,,,,6o9v88iiwvbulajrwpd7uvkr9,M. Luongo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540700947,5,5,1,0,9,dv9l02o316cd9hbkxaho2u12f,1,38.1,-1,2023-04-29T14:02:32.336Z,2023-05-01T14:25:06Z,4234832621,56,Back,4234832631,233,8,4234832623,347,,,,,,,,,,,,,,,,,2nvu4o5lbowvig5ddb4563n8q,K. Chauke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540700559,8,5,1,0,9,8b523ujgl21tbc01me65q0aoh,0,61.9,101,2023-04-29T14:02:32.336Z,2023-05-01T14:25:07Z,4234830813,347,,4234830811,56,Left,4234832675,233,5,,,,,,,,,,,,,,,,6o9v88iiwvbulajrwpd7uvkr9,M. Luongo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
