id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,keyPass,assist,qualifier/16/value,qualifier/18/value,qualifier/19/value
2493905469,1,34,16,0,0,80jtkz2echk6yyyb9e2595cxr,1,0,0,2022-12-29T19:00:13.754Z,2022-12-29T19:00:13Z,3959644047,197,16220,3959644045,194,f1g68yocf85lxkf17pt2j7v85,3959644035,59,"1, 2, 6, 4, 20, 28, 16, 7, 9, 15, 27, 3, 11, 18, 19, 21, 24, 8",3959644029,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3959644041,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3959644037,130,17,3959644051,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3959644025,30,"8xyeap5blm4g6swv05g95aesq, dfpogkmamlohb4ta3q5ehecq1, 541yhibvfn0fv2izdfudm7651, f1g68yocf85lxkf17pt2j7v85, cn988bjn09tb806b05wgp7ys5, asy3qn4557iy3r55yl4v9xj9x, dlfoufhh8dc14s10vnbjrfvmd, dypefa5ubw9m9xefxdd4365lh, 6d9maq3oecwobp2t2220vf4r9, eswokn90i34kdbfvax0y7365l, 307tfvtl56s1rf61x8kjevjzd, 89wk8a6aqw64nub8dgdj7zjl5, 6m5uypsr6dj6l74khrez38355, 2iy84h1v8wt8l6prv701uohk9, 33h8s55zcj0j535g2dyz9tnqi, c23tcl4dl40wu4i8vntbv0tm1, dgl4fbdrmolqgg0xzejl7ve8l, f4l762ob8j0izfocnmofytcyd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493905497,1,34,16,0,0,8b523ujgl21tbc01me65q0aoh,1,0,0,2022-12-29T19:00:33.948Z,2022-12-29T19:00:34Z,3959644267,59,"1, 7, 3, 15, 6, 44, 8, 5, 9, 10, 11, 4, 19, 21, 23, 29, 30, 31",3959644269,130,17,3959644273,194,dgzuswl2pnk7t03ts7nguholx,3959644275,197,4779,3959644263,30,"4905drgcc9husos98ppdup4gl, 6v9kb953ugi8odu4tdly7v3yt, a9352zsh3xr7rcxs0jmho7o8a, 1244ja0ma2r0071i7d45t6yfp, 91f9qkusefgcrv2ri2h1nci96, 6bejhzrjgg7dz6cp6s45rah91, 7hduohz6mo32mbtdepyv5u7yt, dgzuswl2pnk7t03ts7nguholx, 1feu2co3n49llnckcxffuo79x, 28izur14k14lcgegg8qede7yt, ab2bx5qzhdzlduh46iacngbf9, c4p70bri4hf1ktz4xfv5j87vt, 6b7fxcw7upr57pku6gf6dteqd, 1oeekgzkzju2jce7651vbdrrp, 3fwxh0c612fj1flqrbozvja39, b7lmlxy1s3atzgtud5ofsc92h, d3si5voqkdc8did5gkp67tg5w, coupcn8k43jf15nqge220qo5x",3959644271,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3959644265,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3959644277,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912757,2,32,1,0,0,8b523ujgl21tbc01me65q0aoh,1,0,0,2022-12-29T19:46:38.827Z,2022-12-29T19:46:41Z,3959686211,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912747,2,32,1,0,0,80jtkz2echk6yyyb9e2595cxr,1,0,0,2022-12-29T19:46:38.827Z,2022-12-31T18:25:49Z,3959686179,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912771,3,1,1,0,0,8b523ujgl21tbc01me65q0aoh,1,49.9,50.3,2022-12-29T19:46:38.872Z,2023-01-01T17:45:19Z,3959686281,141,49.3,3959686277,140,27.2,3959686289,213,3.2,3959686291,279,S,3962940531,178,,3959686273,56,Back,3959686285,212,23.8,,,,28izur14k14lcgegg8qede7yt,C. Chaplin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912909,4,1,1,0,3,8b523ujgl21tbc01me65q0aoh,1,25.4,53.6,2022-12-29T19:46:42.189Z,2023-01-01T17:45:23Z,3959687005,213,1.3,3959686991,56,Back,3959687003,212,18.5,3959686999,141,79.4,3962940547,178,,3959686995,140,30.9,,,,,,,91f9qkusefgcrv2ri2h1nci96,L. Woolfenden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912915,5,1,1,0,10,8b523ujgl21tbc01me65q0aoh,0,40,93.3,2022-12-29T19:46:49.503Z,2023-01-01T17:45:27Z,3959687055,140,44.7,3959687057,141,93.5,3959687059,212,4.9,3959687053,56,Back,3962940561,178,,3959687061,213,0.0,3959687051,155,,,,,1244ja0ma2r0071i7d45t6yfp,C. Burgess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912917,3,61,1,0,10,80jtkz2echk6yyyb9e2595cxr,1,61.5,8.6,2022-12-29T19:46:49.693Z,2023-01-01T17:45:32Z,3962940591,21,,3959687077,56,Right,3962940593,178,,,,,,,,,,,,,,,,,dfpogkmamlohb4ta3q5ehecq1,Z. Swanson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912925,4,5,1,0,13,80jtkz2echk6yyyb9e2595cxr,0,58.2,-1.2,2022-12-29T19:46:52.021Z,2023-01-01T17:45:36Z,3959687133,347,,3959687781,233,6,3959687131,56,Right,,,,,,,,,,,,,,,,dfpogkmamlohb4ta3q5ehecq1,Z. Swanson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493913051,6,5,1,0,13,8b523ujgl21tbc01me65q0aoh,1,41.8,101.2,2022-12-29T19:46:52.021Z,2023-01-01T17:45:36Z,3959687717,56,Back,3959687731,233,4,3959687719,347,,,,,,,,,,,,,,,,,1244ja0ma2r0071i7d45t6yfp,C. Burgess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493913103,7,1,1,0,19,8b523ujgl21tbc01me65q0aoh,0,45.3,100,2022-12-29T19:46:58.265Z,2023-01-01T17:45:44Z,3959688001,213,6.0,3959687993,56,Left,3959687991,107,,3959688003,1,,3959687995,140,83.1,3959687997,141,83.8,3959687999,212,41.6,,,,a9352zsh3xr7rcxs0jmho7o8a,L. Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493913089,5,44,1,0,21,80jtkz2echk6yyyb9e2595cxr,1,21.2,11,2022-12-29T19:46:59.981Z,2023-01-02T06:09:37Z,3959687921,56,Back,3959698555,233,8,3959687923,285,,,,,,,,,,,,,,,,,cn988bjn09tb806b05wgp7ys5,S. Raggett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493913115,8,44,1,0,21,8b523ujgl21tbc01me65q0aoh,0,78.8,89,2022-12-29T19:46:59.982Z,2023-01-01T17:45:48Z,3959688047,286,,3959698575,233,5,3959688045,56,Left,,,,,,,,,,,,,,,,1feu2co3n49llnckcxffuo79x,F. Ladapo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493913101,6,1,1,0,21,80jtkz2echk6yyyb9e2595cxr,0,25.4,5.8,2022-12-29T19:47:00.070Z,2023-01-02T06:09:37Z,3959687975,56,Back,3959687981,212,8.4,3959687979,141,0.0,3959687977,140,32.0,3959687983,213,5.7,3962940719,388,,3959687973,3,,,,,cn988bjn09tb806b05wgp7ys5,S. Raggett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493913109,7,5,1,0,22,80jtkz2echk6yyyb9e2595cxr,0,28.4,-1.6,2022-12-29T19:47:01.169Z,2023-01-01T17:45:57Z,3959688025,347,,3959688023,56,Back,3959688689,233,9,,,,,,,,,,,,,,,,cn988bjn09tb806b05wgp7ys5,S. Raggett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493913227,9,5,1,0,22,8b523ujgl21tbc01me65q0aoh,1,71.6,101.6,2022-12-29T19:47:01.169Z,2023-01-01T17:45:56Z,3959688651,347,,3959688649,56,Left,3959688677,233,7,,,,,,,,,,,,,,,,1feu2co3n49llnckcxffuo79x,F. Ladapo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493913239,10,1,1,0,31,8b523ujgl21tbc01me65q0aoh,1,75.1,100,2022-12-29T19:47:10.514Z,2023-01-01T17:45:59Z,3959688733,212,9.3,3959688731,141,88.9,3959688727,56,Left,3959688729,140,72.4,3959688735,213,4.4,3959688725,107,,,,,,,,a9352zsh3xr7rcxs0jmho7o8a,L. Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493913265,11,1,1,0,32,8b523ujgl21tbc01me65q0aoh,0,72.4,88.9,2022-12-29T19:47:11.294Z,2023-01-01T17:46:05Z,3959688839,140,74.9,3959688843,212,5.9,3959688837,56,Left,3959688845,213,1.1,3962940855,178,,3959688841,141,96.6,,,,,,,dgzuswl2pnk7t03ts7nguholx,Sam Morsy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493913275,8,8,1,0,33,80jtkz2echk6yyyb9e2595cxr,1,24.6,4.1,2022-12-29T19:47:12.153Z,2023-01-01T17:46:12Z,3959688899,56,Back,3962940931,178,,3961069609,385,,,,,,,,,,,,,,,,,eswokn90i34kdbfvax0y7365l,O. Dale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493913297,9,5,1,0,33,80jtkz2echk6yyyb9e2595cxr,0,28.4,-1.8,2022-12-29T19:47:12.500Z,2023-01-01T17:46:15Z,3959689001,347,,3959689171,233,12,3959688999,56,Back,,,,,,,,,,,,,,,,eswokn90i34kdbfvax0y7365l,O. Dale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493913291,12,5,1,0,33,8b523ujgl21tbc01me65q0aoh,1,71.6,101.8,2022-12-29T19:47:12.500Z,2023-01-01T17:46:16Z,3959689155,233,9,3959688969,56,Left,3959688975,347,,,,,,,,,,,,,,,,,dgzuswl2pnk7t03ts7nguholx,Sam Morsy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493913439,13,1,1,0,45,8b523ujgl21tbc01me65q0aoh,1,73.3,100,2022-12-29T19:47:23.993Z,2023-01-01T17:46:18Z,3959689765,212,27.2,3959689757,107,,3959689759,56,Center,3959689767,213,4.6,3959689769,1,,3959689763,141,61.7,3959689761,140,71.2,,,,a9352zsh3xr7rcxs0jmho7o8a,L. Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494531309,626,83,1,0,47,80jtkz2echk6yyyb9e2595cxr,1,28.9,24.7,2022-12-29T19:47:26.529Z,2023-01-01T18:13:34Z,3962956091,399,113862,,,,,,,,,,,,,,,,,,,,,,6d9maq3oecwobp2t2220vf4r9,C. Bishop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493913447,14,1,1,0,47,8b523ujgl21tbc01me65q0aoh,0,73.6,66.7,2022-12-29T19:47:26.568Z,2023-01-01T17:46:31Z,3959689815,140,78.8,3959689821,213,0.2,3959689819,212,5.5,3959689817,141,68.1,3959689813,56,Center,3962941109,178,,,,,,,,7hduohz6mo32mbtdepyv5u7yt,L. Evans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493913449,10,8,1,0,48,80jtkz2echk6yyyb9e2595cxr,1,24.6,25.5,2022-12-29T19:47:27.637Z,2023-01-01T17:46:35Z,3962941147,178,,3961071243,383,,3959689853,56,Back,,,,,,,,,,,,,,,,asy3qn4557iy3r55yl4v9xj9x,M. Morrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493913479,15,50,1,0,49,8b523ujgl21tbc01me65q0aoh,1,75.3,67.8,2022-12-29T19:47:28.654Z,2023-01-01T17:47:01Z,3959690011,56,Center,3959690059,233,11,3959690013,286,,,,,,,,,,,,,,,,,ab2bx5qzhdzlduh46iacngbf9,M. Harness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
