id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,assist,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/18/value
2516978491,7,1,1,0,28,3ptd7zlc5isrongig0wij2id4,0,97.2,8,2023-03-07T20:00:37.608Z,2023-03-10T10:14:49Z,4081160847,212,13.7,4081160849,213,1.7,4085118685,178,,4081160841,56,Center,4081160845,141,28.0,4081160843,140,95.4,,,,,,,f2d0i9t2qeyppfqrdv6xzc3px,D. McGoldrick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516978489,5,49,1,0,30,5g1fnexeromjl0lvnxp8hpnhi,1,3,73.5,2023-03-07T20:00:39.868Z,2023-03-10T10:14:52Z,,,,,,,,,,,,,,,,,,,,,,,,,4cyf8fcefkz6433g76okyd65m,N. Lonwijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516978509,6,1,1,0,30,5g1fnexeromjl0lvnxp8hpnhi,1,3,72.9,2023-03-07T20:00:39.905Z,2023-03-10T10:14:55Z,4081160893,56,Back,4081160897,141,82.4,4085118961,178,,4081160895,140,2.6,4081160899,212,6.5,4081160901,213,1.6,,,,,,,4cyf8fcefkz6433g76okyd65m,N. Lonwijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516978553,7,1,1,0,31,5g1fnexeromjl0lvnxp8hpnhi,0,4.9,81.8,2023-03-07T20:00:41.089Z,2023-03-10T10:14:58Z,4081161141,56,Back,4085119075,178,,4081161155,1,,4081161151,212,74.0,4081161137,196,,4081161153,213,5.4,4081161145,140,49.8,4081161149,141,0.0,5a86e1pl8b7ibmrkz3h6gs1yh,M. Gillesphey,4081161133,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516978581,8,5,1,0,37,3ptd7zlc5isrongig0wij2id4,1,51.4,101.6,2023-03-07T20:00:46.498Z,2023-03-10T10:15:00Z,4081161305,233,8,4081161285,56,Left,4081161287,347,,,,,,,,,,,,,,,,,f2d0i9t2qeyppfqrdv6xzc3px,D. McGoldrick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516978559,8,5,1,0,37,5g1fnexeromjl0lvnxp8hpnhi,0,48.6,-1.6,2023-03-07T20:00:46.498Z,2023-03-10T10:15:01Z,4081161311,233,8,4081161163,347,,4081161161,56,Back,,,,,,,,,,,,,,,,5a86e1pl8b7ibmrkz3h6gs1yh,M. Gillesphey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516978751,9,1,1,0,54,3ptd7zlc5isrongig0wij2id4,1,55.4,100,2023-03-07T20:01:03.624Z,2023-03-10T10:15:05Z,4081162203,107,,4081162207,140,54.1,4081162205,56,Left,4081162213,213,4.6,4081162211,212,9.3,4081162209,141,88.1,,,,,,,h4x8lz5ou8esdao80mvls9yi,H. Roberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516978771,10,1,1,0,57,3ptd7zlc5isrongig0wij2id4,1,52,93.5,2023-03-07T20:01:06.609Z,2023-03-10T10:15:47Z,4085120889,178,,4081162317,140,56.0,4081162319,141,95.3,4081162315,56,Left,4081162321,212,4.4,4081162323,213,0.3,,,,,,,8y3obwxpwckjfl7hkrrg97sgl,C. Hourihane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516978773,11,50,1,0,58,3ptd7zlc5isrongig0wij2id4,1,59.3,93.2,2023-03-07T20:01:07.203Z,2023-03-10T10:15:53Z,4081162329,286,,4081162371,233,9,4081162327,56,Left,,,,,,,,,,,,,,,,h4x8lz5ou8esdao80mvls9yi,H. Roberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516978777,9,7,1,0,58,5g1fnexeromjl0lvnxp8hpnhi,0,40.7,6.8,2023-03-07T20:01:07.548Z,2023-03-10T10:15:57Z,4081162333,285,,4081162361,233,11,4081162331,56,Back,4085121297,178,,4083907085,385,,,,,,,,,,,5udpap0himq2ggsw4f0o5hqdx,J. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516979003,15,61,1,0,58,3ptd7zlc5isrongig0wij2id4,1,53.3,94.1,2023-03-07T20:01:07.633Z,2023-03-10T10:16:00Z,4085121417,178,,4081163437,56,Left,,,,,,,,,,,,,,,,,,,h4x8lz5ou8esdao80mvls9yi,H. Roberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516978811,12,1,1,1,0,3ptd7zlc5isrongig0wij2id4,0,57.4,72.6,2023-03-07T20:01:09.276Z,2023-03-10T10:16:06Z,4081162561,212,1.6,4085121711,178,,4081162589,236,,4081162591,233,10,4081162559,141,71.5,4081162555,56,Center,4081162563,213,3.6,4081162557,140,56.1,1la1hsnuheliwojwmcbxroy96,J. Knight,4081162595,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516978807,10,74,1,1,0,5g1fnexeromjl0lvnxp8hpnhi,1,41.3,24.7,2023-03-07T20:01:09.312Z,2023-03-10T10:16:09Z,4081162599,233,12,4081162537,285,,4085121873,178,,4081162535,56,Back,,,,,,,,,,,,,9llmzvk9nw1kwy73o8z9f8usp,M. Butcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516978875,13,50,1,1,5,3ptd7zlc5isrongig0wij2id4,1,31.8,93.4,2023-03-07T20:01:14.736Z,2023-03-10T10:16:17Z,4081162845,285,,4081162843,56,Back,4081162859,233,11,,,,,,,,,,,,,,,,69lg8jmug501h6biol5itk02y,E. Cashin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516978871,11,7,1,1,5,5g1fnexeromjl0lvnxp8hpnhi,1,68.2,6.6,2023-03-07T20:01:14.888Z,2023-03-10T10:16:20Z,4081162851,233,13,4085122229,178,,4081162825,56,Right,4081162827,286,,4083907389,383,,,,,,,,,,,9w0nk2mz77jqc62v4gv1h0vkl,R. Hardie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
