id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/9/value,qualifier/13/value,keyPass,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value
2484557965,1,34,16,0,0,b3vbyitzi3nrw9ehj1eoko219,1,0,0,2022-11-12T14:15:12.724Z,2022-11-12T14:15:12Z,3910239821,197,4637,3910239823,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3910239819,194,5mx96hmn7ophhuvmybmf1esid,3910239813,59,"1, 2, 17, 16, 5, 15, 26, 6, 18, 7, 27, 8, 21, 22, 24, 25, 29, 34",3910239811,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3910239817,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3910239809,30,"9tlowuu89l3fnv5iowela1ca2, 5mx96hmn7ophhuvmybmf1esid, 5j1eftktnca9eso1vvhu2hf55, 292fas4iqplshrbyvtj5ins9h, e9zi7fb2t4akk1pzjpuhe4bf9, dwp8bqc4rdleti92n0s6q9rdh, 5dsht0mnmpm2asallpju46ms5, 76j19abwcie5w5hptkewlh0bt, 43dtg3eg858i3agncnpq3p1wp, dz4jeb7rhr5jt3grs4evbs5bd, 6dhwu4p5uu6oiada4q13g5tk9, a4nxfhy5n3xsbml9dgo8ynfmx, 6g8w8yuvkuayxcegsvzcjmmzt, 94pt7ikxi5cdjhbqf7vi9xg4p, 1y7e8a23pc4xlc6ori1o1b8tm, 5pshrpttu61ita4x91q6t2fop, 8mxu20zdh9wrguq79ib8y5m21, eydnlstoc5zlgqj650v05oums",3910239815,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484558613,1,34,16,0,0,5g1fnexeromjl0lvnxp8hpnhi,1,0,0,2022-11-12T14:15:59.976Z,2022-11-12T15:03:49Z,3910243483,59,"1, 8, 17, 22, 5, 21, 20, 4, 9, 19, 11, 3, 7, 16, 25, 43, 44, 48",3910243481,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3910243499,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3910243491,194,5udpap0himq2ggsw4f0o5hqdx,3910243479,30,"247o80ri7od76lxfrkmccz2ay, 5udpap0himq2ggsw4f0o5hqdx, 4lz9m2nwif7tql9hqsv2u7vft, 48pxorkarv5aq03l6179bes45, oe0lbxtc4qftnd886dzfm385, 4cyf8fcefkz6433g76okyd65m, ab9z3kubalp5l33vbi4a8n0iy, 2q6bsyszm27v5uvs30j5ty311, 9w0nk2mz77jqc62v4gv1h0vkl, ady374prjuht3fs9va8n303jd, 6rzq8xkkst4hgbh2ysj52gwyx, 5a86e1pl8b7ibmrkz3h6gs1yh, 9llmzvk9nw1kwy73o8z9f8usp, 4xxoasz03erxlyonu2t8y5fqh, 82h98ebusz83rox95oi9kafh1, 654gtcc8ervflcl4e1ax83tw4, 56y2duyhs0m5k084fnyorx2j8, f3owhetogu9m6da54ip5q1mhg",3910243495,197,16120,3910243485,130,17,3910243487,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484598337,2,32,1,0,0,5g1fnexeromjl0lvnxp8hpnhi,1,0,0,2022-11-12T15:02:06.248Z,2022-11-12T15:02:06Z,3910446729,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484598359,2,32,1,0,0,b3vbyitzi3nrw9ehj1eoko219,1,0,0,2022-11-12T15:02:06.248Z,2022-11-15T01:08:31Z,3910446803,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484598415,3,1,1,0,0,b3vbyitzi3nrw9ehj1eoko219,1,49.9,49.7,2022-11-12T15:02:06.356Z,2022-11-15T01:22:46Z,3910447097,141,53.8,3917241511,178,,3910447095,140,31.5,3910447101,213,3.0,3910447103,279,S,3910447093,56,Back,3910447099,212,19.5,,,,76j19abwcie5w5hptkewlh0bt,M. Sanders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484598571,4,1,1,0,2,b3vbyitzi3nrw9ehj1eoko219,1,31.7,54.5,2022-11-12T15:02:08.928Z,2022-11-15T01:22:51Z,3910447831,213,5.5,3910447833,1,,3917241539,178,,3910447823,141,5.6,3910447813,56,Right,3910447817,140,62.0,3910447809,155,,3910447827,212,46.0,292fas4iqplshrbyvtj5ins9h,J. Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484598583,5,44,1,0,5,b3vbyitzi3nrw9ehj1eoko219,1,65.1,5.2,2022-11-12T15:02:11.799Z,2022-11-15T08:46:50Z,3910448055,233,3,3910447851,56,Right,3910447853,286,,,,,,,,,,,,,,,,,5mx96hmn7ophhuvmybmf1esid,R. Poole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484598595,3,44,1,0,5,5g1fnexeromjl0lvnxp8hpnhi,0,34.9,94.8,2022-11-12T15:02:11.800Z,2022-11-15T01:22:55Z,3910447903,56,Back,3910448069,233,5,3910447907,285,,,,,,,,,,,,,,,,,4lz9m2nwif7tql9hqsv2u7vft,B. Mumba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484598613,6,1,1,0,5,b3vbyitzi3nrw9ehj1eoko219,0,62,5.6,2022-11-12T15:02:11.868Z,2022-11-15T08:46:51Z,3910448005,213,5.8,3910447999,140,71.6,3910447993,3,,3910448003,212,11.2,3910448001,141,0.0,3910447997,56,Right,3910447995,168,,3917241573,388,,5mx96hmn7ophhuvmybmf1esid,R. Poole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484598839,4,5,1,0,7,5g1fnexeromjl0lvnxp8hpnhi,1,29.6,101.6,2022-11-12T15:02:13.655Z,2022-11-15T01:23:06Z,3910449107,233,7,3910449057,56,Back,3910449059,347,,,,,,,,,,,,,,,,,4lz9m2nwif7tql9hqsv2u7vft,B. Mumba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
