id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/11/value,qualifier/10/value,assist,qualifier/14/value,qualifier/13/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2494647423,1,34,16,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,0,0,2023-01-02T14:15:04.715Z,2023-01-03T14:33:53Z,3963547477,130,7,3963547485,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3963547481,194,ex0gkrnzj98vrwpk9tpcfw91x,3963547483,197,16212,3963547479,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3963547473,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3963547475,59,"40, 5, 2, 6, 50, 16, 7, 28, 8, 4, 14, 1, 11, 17, 21, 22, 39, 42",3963547471,30,"1aq6osi0b0c580dlu9ugnjaei, 23s9kwgzvgh27d393ymk0006h, 2asjeedy6igcuixqktdmk5k2x, 6ipjgy0ewyx7mnmolu0pp0mw9, ag8f1ksvfel1a0y49d0iypuui, a2g77lv071rnz76ujh30364tl, 7uhajc3suc68vemamuc3dyvp, ex0gkrnzj98vrwpk9tpcfw91x, 8i4qnoil4877e0wpwx3fj5b10, 7d9la6gbbobi9yie2ejf9uj1l, 8w9kh0cuund2pw8wzs0rjrbah, 3wew9tjsjrsoyioiuzd7ve356, dzitwscdk6ogkf6bstbrik53p, 1vigb3e3dsxufbtvt4ed48e09, 8vwzh7t772qg1r3uxo83eiqui, a5cmnj0nhdbux68291ipqcei2, dv1g5fozbyj5r55grfp8x7uac, d8s5hdtsmitdvix6l02rjn1g4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494647443,1,34,16,0,0,3ptd7zlc5isrongig0wij2id4,1,0,0,2023-01-02T14:15:08.828Z,2023-01-02T14:40:31Z,3963547589,30,"2xd9g0s3888o99iq0eb5j6ead, 8thtb5uqqv63f880cwhpc5zv9, 85vh43wsin67z2dj0iod12fop, bwu80wn3lca4x2txuelku0a21, ebsspe8jslej9a253w4xpf55h, 69lg8jmug501h6biol5itk02y, 6kxph7ulzz58v8tm3aaomy1ka, 8y3obwxpwckjfl7hkrrg97sgl, f2d0i9t2qeyppfqrdv6xzc3px, 1la1hsnuheliwojwmcbxroy96, ddc712ebtmrrpvj4shekecus5, e2sj7bhk2s9du1bs1vza1b4k5, h4x8lz5ou8esdao80mvls9yi, e01znd47zh4hk0g8jx67wzl9m, edro98mz0sqrfjed1o4bvl7md, 67j73dckmb73ntxo81hc840r9, bf7ph89zhr5y6rtct5k9bvqc4, akatb6qaa078a72zvl8gapoiy",3963547601,197,4925,3963547603,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3963547597,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3963547595,130,8,3963547593,59,"1, 12, 17, 8, 3, 6, 18, 4, 10, 38, 7, 11, 15, 16, 19, 21, 23, 34",3963547591,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3963547599,194,bwu80wn3lca4x2txuelku0a21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494655381,2,32,1,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,0,0,2023-01-02T15:02:38.510Z,2023-01-02T15:02:38Z,3963586381,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494655391,2,32,1,0,0,3ptd7zlc5isrongig0wij2id4,1,0,0,2023-01-02T15:02:38.510Z,2023-01-04T04:36:55Z,3963586429,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494655395,3,1,1,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,50.1,50.1,2023-01-02T15:02:38.621Z,2023-01-04T05:53:51Z,3963586453,279,S,3963586451,213,1.3,3963586443,56,Center,3963586445,140,50.5,3963586449,212,1.6,3965113029,178,,3963586447,141,52.4,,,,7d9la6gbbobi9yie2ejf9uj1l,E. Hamilton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494655437,4,1,1,0,1,5qwskbjpa17fvmtuu5qijy7cz,1,50.5,52.4,2023-01-02T15:02:39.642Z,2023-01-04T05:54:17Z,3963586577,141,30.0,3963586583,213,3.9,3965113117,178,,3963586579,212,22.9,3963586573,140,34.2,3963586569,56,Back,,,,,,,8i4qnoil4877e0wpwx3fj5b10,T. Leigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494655475,5,1,1,0,4,5qwskbjpa17fvmtuu5qijy7cz,0,33.2,26.4,2023-01-02T15:02:43.437Z,2023-01-05T05:32:43Z,3963586733,140,63.7,3963586735,141,17.7,3963586731,56,Right,3963586739,213,6.1,3965113271,178,,3963586741,1,,3963586729,155,,3963586737,212,32.6,23s9kwgzvgh27d393ymk0006h,R. Astley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494655493,3,44,1,0,6,3ptd7zlc5isrongig0wij2id4,1,35.4,83,2023-01-02T15:02:45.298Z,2023-01-05T05:52:15Z,3963586853,233,6,3963586831,56,Back,3963586833,285,,,,,,,,,,,,,,,,,69lg8jmug501h6biol5itk02y,E. Cashin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494655499,6,44,1,0,6,5qwskbjpa17fvmtuu5qijy7cz,0,64.6,17,2023-01-02T15:02:45.299Z,2023-01-05T04:57:27Z,3963586839,286,,3963586837,56,Right,3963586909,233,3,,,,,,,,,,,,,,,,8i4qnoil4877e0wpwx3fj5b10,T. Leigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494655509,4,1,1,0,6,3ptd7zlc5isrongig0wij2id4,0,32.2,84.2,2023-01-02T15:02:45.374Z,2023-01-05T05:52:16Z,3965113753,388,,3963586887,56,Back,3963586893,212,11.6,3963586891,141,100.0,3963586895,213,1.6,3963586885,3,,3963586889,140,31.8,,,,69lg8jmug501h6biol5itk02y,E. Cashin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494655513,5,5,1,0,9,3ptd7zlc5isrongig0wij2id4,0,30.4,101.6,2023-01-02T15:02:47.666Z,2023-01-04T05:57:17Z,3963587661,233,7,3963586919,347,,3963586917,56,Back,,,,,,,,,,,,,,,,69lg8jmug501h6biol5itk02y,E. Cashin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494655627,7,5,1,0,9,5qwskbjpa17fvmtuu5qijy7cz,1,69.6,-1.6,2023-01-02T15:02:47.666Z,2023-01-04T05:57:16Z,3963587649,233,5,3963587599,56,Right,3963587601,347,,,,,,,,,,,,,,,,,8i4qnoil4877e0wpwx3fj5b10,T. Leigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494655653,8,1,1,0,23,5qwskbjpa17fvmtuu5qijy7cz,1,71,0,2023-01-02T15:03:01.957Z,2023-01-04T05:57:44Z,3963587759,107,,3963587763,140,72.4,3963587765,141,15.5,3963587761,56,Right,3963587769,213,1.4,3963587767,212,12.0,,,,,,,23s9kwgzvgh27d393ymk0006h,R. Astley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494655665,9,1,1,0,24,5qwskbjpa17fvmtuu5qijy7cz,0,72.4,15.5,2023-01-02T15:03:02.816Z,2023-01-04T05:58:23Z,3965114203,388,,3963587847,141,21.6,3964586727,156,,3963587849,212,9.8,3963587845,140,63.9,3963587843,56,Center,3963587851,213,2.7,,,,7uhajc3suc68vemamuc3dyvp,S. Whalley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494655671,6,49,1,0,25,3ptd7zlc5isrongig0wij2id4,1,32,86,2023-01-02T15:03:03.663Z,2023-01-04T05:59:05Z,,,,,,,,,,,,,,,,,,,,,,,,,1la1hsnuheliwojwmcbxroy96,J. Knight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494655691,7,50,1,0,26,3ptd7zlc5isrongig0wij2id4,1,34.4,85.4,2023-01-02T15:03:04.534Z,2023-01-04T06:01:33Z,3963588263,233,10,3963587975,56,Back,3963588267,286,,,,,,,,,,,,,,,,,1la1hsnuheliwojwmcbxroy96,J. Knight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
