id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,assist,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,keyPass,qualifier/12/value,qualifier/15/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value
2503726619,1,34,16,0,0,5g1fnexeromjl0lvnxp8hpnhi,1,0,0,2023-02-04T14:16:08.757Z,2023-02-04T14:16:08Z,4011243853,197,16120,4011243851,194,5udpap0himq2ggsw4f0o5hqdx,4011243845,59,"1, 8, 17, 3, 6, 5, 4, 28, 23, 29, 18, 16, 24, 25, 21, 20, 9, 26",4011243847,130,17,4011243855,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4011243841,30,"247o80ri7od76lxfrkmccz2ay, 5udpap0himq2ggsw4f0o5hqdx, 4lz9m2nwif7tql9hqsv2u7vft, 5a86e1pl8b7ibmrkz3h6gs1yh, wuidadmmyp6xcztp1lxdxg4p, oe0lbxtc4qftnd886dzfm385, 2q6bsyszm27v5uvs30j5ty311, 6q0zzgnbbzsbubnekye5dunai, e713hl3clivldop8wln53rsyy, 38tea2leeefxjnkk8g2orjyll, 4mjzjj2p0pzyw0hcq4no9y0o9, 4xxoasz03erxlyonu2t8y5fqh, 75n089x1zca6gw23j27ohrhii, 82h98ebusz83rox95oi9kafh1, 4cyf8fcefkz6433g76okyd65m, ab9z3kubalp5l33vbi4a8n0iy, 9w0nk2mz77jqc62v4gv1h0vkl, 944ptuekuetkjifbeaycqcoh5",4011243843,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4011243849,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503732771,1,34,16,0,0,1musyruv2ufjrjnj6gvdbr8kt,1,0,0,2023-02-04T14:21:27.129Z,2023-02-04T14:21:27Z,4011275571,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4011275585,197,16162,4011275573,59,"25, 13, 18, 2, 44, 6, 14, 10, 24, 11, 4, 3, 7, 8, 9, 17, 31, 32",4011275569,30,"4c56c2zanbiv8q28f54i5rp3p, btey8i9vnkak8ww7diqnb8lat, 3fjobcho19bkofw9h042i2v9x, cyrr9517kjkt2l5tuqe966zth, 77yt60bz6k3rqv316v9qxxyad, 4mg6kr1jernr98unfp5p8shqt, 6hrtxdf59nba5ietwyfe3b2t, ekbsso6hq913ss7jerbusyled, 1szy525fae134zxfbt7vyw991, 4l7yeuoabotmlfo5n719msrmd, 2gf1wld07zyiuvq7iikfrvoid, 9r7ngbyjgfukassxtl07wnn55, 997jc41apd3dtrwgx79mu67e1, 8lvhd97efhjcg03fj1num1bzd, 583ujnml31x2cnl6jxwnbs2xh, 7f87a26gzayk0bfzbm42huuw9, 24g3kj5853y2af5ncqhwlfbp, dwbbiqw9923azm3rpg2m8aqj9",4011275577,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4011275581,194,ekbsso6hq913ss7jerbusyled,4011275575,130,12,4011275591,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503776675,2,32,1,0,0,5g1fnexeromjl0lvnxp8hpnhi,1,0,0,2023-02-04T15:00:13.142Z,2023-02-04T15:00:13Z,4011491015,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503776709,2,32,1,0,0,1musyruv2ufjrjnj6gvdbr8kt,1,0,0,2023-02-04T15:00:13.142Z,2023-02-06T16:56:18Z,4011491129,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503776719,3,1,1,0,0,5g1fnexeromjl0lvnxp8hpnhi,1,50.4,50.5,2023-02-04T15:00:13.222Z,2023-02-06T18:19:09Z,4011491171,140,42.9,4011491173,141,50.5,4011491179,279,S,4011491175,212,7.9,4017651123,178,,4011491169,56,Back,4011491177,213,3.1,,,,38tea2leeefxjnkk8g2orjyll,T. Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503776783,4,1,1,0,1,5g1fnexeromjl0lvnxp8hpnhi,0,42.9,49.5,2023-02-04T15:00:14.568Z,2023-02-06T18:19:13Z,4011491445,155,,4011491451,140,68.0,4011491453,141,100.0,4017651299,178,,4011491459,1,,4011491455,212,43.8,4011491457,213,0.9,4011491449,56,Left,2q6bsyszm27v5uvs30j5ty311,J. Houghton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503777125,3,5,1,0,4,1musyruv2ufjrjnj6gvdbr8kt,1,27.6,-1.8,2023-02-04T15:00:17.910Z,2023-02-06T18:21:47Z,4011493067,347,,4011493085,233,5,4011493065,56,Back,,,,,,,,,,,,,,,,4mg6kr1jernr98unfp5p8shqt,D. Iorfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503776787,5,5,1,0,4,5g1fnexeromjl0lvnxp8hpnhi,0,72.4,101.8,2023-02-04T15:00:17.910Z,2023-02-06T18:21:48Z,4011491477,347,,4011491475,56,Left,4011493103,233,3,,,,,,,,,,,,,,,,2q6bsyszm27v5uvs30j5ty311,J. Houghton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503777205,4,1,1,0,23,1musyruv2ufjrjnj6gvdbr8kt,0,22.5,0,2023-02-04T15:00:36.392Z,2023-02-06T18:21:53Z,4011493411,213,0.2,4011493413,1,,4011493403,56,Back,4011493405,140,46.4,4011493401,107,,4011493407,141,4.6,4011493409,212,25.4,,,,btey8i9vnkak8ww7diqnb8lat,C. Paterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503777305,6,1,1,0,25,5g1fnexeromjl0lvnxp8hpnhi,1,53.4,96.2,2023-02-04T15:00:38.998Z,2023-02-06T18:21:59Z,4011493849,141,92.3,4017655861,388,,4011493843,3,,4011493847,140,69.7,4011493851,212,17.3,4011493853,213,6.1,4011493845,56,Left,,,,4lz9m2nwif7tql9hqsv2u7vft,B. Mumba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
