id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value,qualifier/11/value,assist,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/15/value,qualifier/19/value
2503725267,1,34,16,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,0,0,2023-02-04T14:15:07.054Z,2023-02-06T09:53:38Z,4011236893,30,"1aq6osi0b0c580dlu9ugnjaei, 8w9kh0cuund2pw8wzs0rjrbah, dzitwscdk6ogkf6bstbrik53p, a2g77lv071rnz76ujh30364tl, 74x5iaolqfr7r3on2uuriooyy, 23s9kwgzvgh27d393ymk0006h, 6ipjgy0ewyx7mnmolu0pp0mw9, 8i4qnoil4877e0wpwx3fj5b10, 7uhajc3suc68vemamuc3dyvp, f4ef7in4fxoylsy29anhgqep5, 4m5w23fmydm3or1ff42hgeqne, 3wew9tjsjrsoyioiuzd7ve356, 1vigb3e3dsxufbtvt4ed48e09, 8vwzh7t772qg1r3uxo83eiqui, a5cmnj0nhdbux68291ipqcei2, 20z2xkmqc3em5dol00ko4sp62, dv1g5fozbyj5r55grfp8x7uac, d8s5hdtsmitdvix6l02rjn1g4",4011236897,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4011236901,130,18,4011236899,59,"40, 14, 11, 16, 34, 5, 6, 8, 7, 20, 18, 1, 17, 21, 22, 25, 39, 42",4011236903,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4011236907,197,16212,4011236909,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4011236905,194,dzitwscdk6ogkf6bstbrik53p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503725667,1,34,16,0,0,b3vbyitzi3nrw9ehj1eoko219,1,0,0,2023-02-04T14:15:26.461Z,2023-02-06T09:53:54Z,4011238941,194,5mx96hmn7ophhuvmybmf1esid,4011238931,30,"9tlowuu89l3fnv5iowela1ca2, 5mx96hmn7ophhuvmybmf1esid, 1y7e8a23pc4xlc6ori1o1b8tm, dwp8bqc4rdleti92n0s6q9rdh, 8q4vt9778kxds17wm6e9hdoiy, e9zi7fb2t4akk1pzjpuhe4bf9, 2sqsqi4h0d982a171bfuqnd91, cz9jf3ozld7o0hns2xmn54b56, 43dtg3eg858i3agncnpq3p1wp, 6dhwu4p5uu6oiada4q13g5tk9, 33eqc4ye34v5r0ix9cqg9fo4p, 91mshvbc4rk9cf0chhgukakiy, dz4jeb7rhr5jt3grs4evbs5bd, 4db9vewyt9kiqtqd5e0rloodm, 4wzaq9gqohygfo22tjibldfjd, 6g8w8yuvkuayxcegsvzcjmmzt, 94pt7ikxi5cdjhbqf7vi9xg4p, 8mxu20zdh9wrguq79ib8y5m21",4011238937,130,13,4011238943,197,12149,4011238933,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4011238939,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4011238935,59,"1, 2, 24, 15, 4, 5, 10, 12, 18, 27, 11, 3, 7, 9, 19, 21, 22, 29",4011238945,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503777147,2,32,1,0,0,b3vbyitzi3nrw9ehj1eoko219,1,0,0,2023-02-04T15:00:36.138Z,2023-02-04T15:00:37Z,4011493145,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503777129,2,32,1,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,0,0,2023-02-04T15:00:36.138Z,2023-02-07T00:25:13Z,4011493073,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503777213,3,1,1,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,50.2,50.3,2023-02-04T15:00:36.199Z,2023-02-07T04:49:36Z,4018307059,178,,4011493451,140,24.8,4011493449,56,Back,4011493453,141,61.4,4011493457,213,2.9,4011493455,212,27.7,4011493459,279,S,,,,4m5w23fmydm3or1ff42hgeqne,N. Butler-Oyedeji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503777251,4,1,1,0,2,5qwskbjpa17fvmtuu5qijy7cz,0,26.4,56.1,2023-02-04T15:00:39.117Z,2023-02-07T04:50:10Z,4011493611,141,75.8,4011493613,212,36.9,4011493605,155,,4011493609,140,59.1,4011493615,213,0.4,4018307327,178,,4011493607,56,Center,4017035283,1,,74x5iaolqfr7r3on2uuriooyy,D. Tharme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503777323,3,8,1,0,4,b3vbyitzi3nrw9ehj1eoko219,1,40,24.8,2023-02-04T15:00:41.094Z,2023-02-07T04:50:20Z,4017035517,15,,4011493955,56,Back,4018307409,388,,4017035631,385,,,,,,,,,,,,,,6dhwu4p5uu6oiada4q13g5tk9,J. Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503777311,5,1,1,0,6,5qwskbjpa17fvmtuu5qijy7cz,0,66,96.4,2023-02-04T15:00:42.336Z,2023-02-07T09:41:56Z,4011493885,212,23.3,4011493883,141,76.3,4011493887,213,5.7,4018501455,178,,4011493881,140,84.0,4011493877,56,Center,4011493873,3,,,,,dzitwscdk6ogkf6bstbrik53p,S. McConville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504828651,752,49,1,0,8,b3vbyitzi3nrw9ehj1eoko219,1,15.1,24.2,2023-02-04T15:00:44.846Z,2023-02-07T04:50:38Z,,,,,,,,,,,,,,,,,,,,,,,,,e9zi7fb2t4akk1pzjpuhe4bf9,A. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503777383,4,1,1,0,8,b3vbyitzi3nrw9ehj1eoko219,0,14.7,24.4,2023-02-04T15:00:44.967Z,2023-02-07T04:50:45Z,4011494179,140,25.1,4018307693,178,,4011494175,157,,4011494181,141,11.8,4011494177,56,Back,4011494185,213,5.6,4011494187,1,,4011494183,212,13.9,e9zi7fb2t4akk1pzjpuhe4bf9,A. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
