id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,assist
2506232867,1,34,16,0,0,jv3jh5m5t7qy5t37vwwmnj16,1,0,0,2023-02-11T14:15:08.457Z,2023-02-11T15:17:36Z,4024411487,194,5bkjye9thnohmdgzwsrsy1n9,4024411481,59,"1, 26, 23, 28, 2, 3, 18, 7, 9, 10, 12, 5, 19, 22, 27, 29, 38, 16",4024411489,197,16167,4024411485,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4024411477,30,"1sw0ywyl0cgn97mu65tnzv0t1, 7fvj3ev8ov0cnalck9x48z3kl, 1kw6qz2pi7wlam068oeirztud, 7pia2vfewavgyc8d7pvgr7owl, f5zei3x0mg1i5q3soziuy579, 5bkjye9thnohmdgzwsrsy1n9, 99uiqjteov3qby19bs8kozill, bbrx2s4fcp7uplly4hpbt3xed, am0ggkrw8rzw5shdvaceyr3kl, 93kxb8ch3auv9li22mh1aidey, 4oogur7f8tfx3z011ap58ao5x, dbvkpe7bc9clualadtx9rf1uc, dbev6jhnro87n6ghueorfz27d, 40wbrqny2ekenyy37ver8dyol, dez3rm7q89xk157fwnc3tgqcq, cxfq8o3k68x1acwci3wx812w9, 5knn6bkjba6eh0torsnwrkl0q, datykfu6jdjc3jlmi3flv7dud",4024411479,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4024411483,130,7,4024411491,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506232891,1,34,16,0,0,3ptd7zlc5isrongig0wij2id4,1,0,0,2023-02-11T14:15:09.826Z,2023-02-11T14:27:34Z,4024411663,59,"1, 12, 15, 4, 3, 6, 11, 38, 9, 10, 18, 7, 16, 17, 22, 23, 32, 33",4024411673,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4024411659,30,"2xd9g0s3888o99iq0eb5j6ead, 8thtb5uqqv63f880cwhpc5zv9, h4x8lz5ou8esdao80mvls9yi, 8y3obwxpwckjfl7hkrrg97sgl, ebsspe8jslej9a253w4xpf55h, 69lg8jmug501h6biol5itk02y, e2sj7bhk2s9du1bs1vza1b4k5, 1la1hsnuheliwojwmcbxroy96, a64e8yqggr7fmtdlyr9v80yxh, f2d0i9t2qeyppfqrdv6xzc3px, 6kxph7ulzz58v8tm3aaomy1ka, ddc712ebtmrrpvj4shekecus5, e01znd47zh4hk0g8jx67wzl9m, 85vh43wsin67z2dj0iod12fop, 13squddw07mvcu7mo6xk5mjqi, 6ge15340tp9n57m88z6rli6i2, 535ecbyyd28elesvxtvbxurpx, 6kz7c7i4wzph7qlzi9nzt266t",4024411661,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4024411667,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4024411669,194,ebsspe8jslej9a253w4xpf55h,4024411665,130,8,4024411671,197,13091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506278499,2,32,1,0,0,3ptd7zlc5isrongig0wij2id4,1,0,0,2023-02-11T15:03:09.300Z,2023-02-11T15:03:12Z,4024635773,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506278469,2,32,1,0,0,jv3jh5m5t7qy5t37vwwmnj16,1,0,0,2023-02-11T15:03:09.300Z,2023-02-13T23:14:47Z,4024635641,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506278603,3,1,1,0,0,jv3jh5m5t7qy5t37vwwmnj16,1,49.8,50,2023-02-11T15:03:09.360Z,2023-02-14T02:14:02Z,4024636289,56,Back,4024636293,140,30.6,4024636305,213,3.4,4024636301,212,20.8,4031704583,178,,4024636309,279,S,4024636297,141,42.2,,,,93kxb8ch3auv9li22mh1aidey,L. Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506278673,4,1,1,0,2,jv3jh5m5t7qy5t37vwwmnj16,0,29.9,39.7,2023-02-11T15:03:11.835Z,2023-02-14T02:14:07Z,4024636639,212,47.4,4024636645,1,,4031704651,178,,4024636619,56,Center,4024636627,140,68.7,4024636617,155,,4024636643,213,0.5,4024636633,141,75.4,f5zei3x0mg1i5q3soziuy579,J. Grimmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506278761,3,1,1,0,5,3ptd7zlc5isrongig0wij2id4,0,31.6,24.9,2023-02-11T15:03:14.399Z,2023-02-14T02:14:12Z,4031704725,388,,4024637065,212,28.1,4024637067,213,6.2,4024637061,140,58.3,4024637063,141,21.5,4024637057,3,,4024637059,56,Center,,,,ebsspe8jslej9a253w4xpf55h,C. Forsyth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506278861,5,1,1,0,8,jv3jh5m5t7qy5t37vwwmnj16,0,37,72,2023-02-11T15:03:17.716Z,2023-02-14T02:14:21Z,4024637513,157,,4024637523,140,67.3,4024637537,1,,4024637531,212,31.8,4024637535,213,6.3,4024637525,141,71.7,4024637517,56,Center,4031704893,178,,5bkjye9thnohmdgzwsrsy1n9,J. Jacobson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506278957,4,1,1,0,10,3ptd7zlc5isrongig0wij2id4,0,36.4,25.9,2023-02-11T15:03:19.461Z,2023-02-14T02:14:26Z,4024638013,140,49.5,4024638015,141,30.3,4024638021,213,0.2,4031704987,388,,4024638017,212,14.1,4024638011,56,Back,4024638007,3,,,,,ebsspe8jslej9a253w4xpf55h,C. Forsyth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506278997,6,44,1,0,12,jv3jh5m5t7qy5t37vwwmnj16,1,53,67.1,2023-02-11T15:03:21.478Z,2023-02-14T06:32:01Z,4024638179,56,Center,4024638223,233,5,4024638183,286,,,,,,,,,,,,,,,,,7pia2vfewavgyc8d7pvgr7owl,J. Scowen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
