id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/10/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/11/value,qualifier/13/value,qualifier/14/value,qualifier/16/value
2531691991,1,34,16,0,0,ejm092fnt9zoxbpuklzd52ji8,1,0,0,2023-04-10T13:15:00.862Z,2023-04-10T14:01:04Z,4179938401,59,"1, 7, 11, 5, 6, 15, 23, 10, 22, 19, 9, 13, 17, 24, 26, 27, 29, 33",4179938409,197,4680,4179938407,194,a1muz32ocg2650ll5kjc02u39,4179938399,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4179938405,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4179938397,30,"41lv87i23sxmdyrs4xxh96m3u, 6ln898p7stih8l7ikzloet0b9, 5ozfcga88glwzazkg65ahwa8l, 89agv6797txmlw6m4nyhhsa2, 6xjftfuwhkbs39xfc3phdbyl1, 5n4s7vdp0dx0ndkph7oyg7v1l, 4y3hm9ljv62c5jswanl0gk5, a1muz32ocg2650ll5kjc02u39, bojsqjfaoi810xuyz0qeqs0r9, 1yzyn48jb8yd8bc0xywrhg0r9, b0l7hknmc27qttjxv094mi5zp, 71pv32h5sxhopm6aetxjm50ph, bybpo6v76mntngcl9xwpil7u1, 8tjvmh45ea9wy42siytdtkmzu, 4m9vn1q30f1c8ksiyxtei63ft, 8nzkkwhmox9lgbmwomq1rruju, 3avfwbde1n5ti7w690ve0cges, 1788amerrk9fg3f9qddyxz8x5",4179938403,130,13,4179938411,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531692377,1,34,16,0,0,ahm0t06rup1bkd9z0mxl2lmph,1,0,0,2023-04-10T13:15:18.607Z,2023-04-10T14:01:13Z,4179940519,197,16221,4179940511,59,"13, 2, 16, 8, 28, 4, 22, 18, 39, 11, 23, 3, 19, 21, 25, 27, 30, 26",4179940517,194,3jzhwh7lq7xzcz7clm28h0mvp,4179940515,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4179940513,130,8,4179940507,30,"3oyhjrd1ohnwf1x3d65997xzp, 50c2v0l2cmkh82vso5tnjv3yt, 987r1vdgx95x30elzrisjrzs9, 3jzhwh7lq7xzcz7clm28h0mvp, 7ysjsg2vz5dgbm9pzvbx9u904, cqfbp8me2n00cve66v797omvp, 33ci88veciqvd4w5y145dyooa, 50flg4aoq4l0glnh61yzngc7p, 3cy13tw0tdconbwzlwteg6xas, 8g19rw3eni5p8jt5v1j9skwdl, 4z5onwcaou5pjcz3kxncn8wl, 7cznyew8xg3fxfqeexid7pxt6, d5yupvahq6bf4nde1nmgro6lm, exrh01dw52b651aet2am7v015, 5rmk7be4cd9cg1c9re06r1r3e, uluqgj69z6yunsl8m505lyi, 1lu7wsceoivdbsvqanykrr07p, 99w2ki15w01jo5pn1q3r0uluc",4179940521,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4179940509,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531727169,2,32,1,0,0,ahm0t06rup1bkd9z0mxl2lmph,1,0,0,2023-04-10T14:00:52.705Z,2023-04-10T14:00:52Z,4180140847,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531727175,2,32,1,0,0,ejm092fnt9zoxbpuklzd52ji8,1,0,0,2023-04-10T14:00:52.705Z,2023-04-12T11:55:57Z,4180140875,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531727207,3,1,1,0,0,ahm0t06rup1bkd9z0mxl2lmph,1,49.8,50,2023-04-10T14:00:52.780Z,2023-04-12T20:20:00Z,4180141013,56,Back,4180141021,213,3.4,4180141019,212,24.2,4185008479,178,,4180141017,141,39.5,4180141015,140,27.8,4180141023,279,S,,,,8g19rw3eni5p8jt5v1j9skwdl,M. Browne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531727237,4,1,1,0,2,ahm0t06rup1bkd9z0mxl2lmph,0,28.4,38.5,2023-04-10T14:00:55.266Z,2023-04-12T20:20:04Z,4180141181,1,,4180141173,140,63.6,4182954519,155,,4182954521,196,,4180141179,213,0.9,4185008581,178,,4180141171,56,Left,4180141177,212,56.8,7ysjsg2vz5dgbm9pzvbx9u904,S. Negru,4180141175,141,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531727265,3,5,1,0,6,ejm092fnt9zoxbpuklzd52ji8,1,32.8,-1.6,2023-04-10T14:00:59.036Z,2023-04-12T20:20:07Z,4180141405,233,5,4180141367,347,,4180141365,56,Back,,,,,,,,,,,,,,,,6ln898p7stih8l7ikzloet0b9,D. Worrall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531727239,5,5,1,0,6,ahm0t06rup1bkd9z0mxl2lmph,0,67.2,101.6,2023-04-10T14:00:59.036Z,2023-04-12T20:20:07Z,4180141191,347,,4180141189,56,Left,4180141421,233,3,,,,,,,,,,,,,,,,7ysjsg2vz5dgbm9pzvbx9u904,S. Negru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531727405,4,1,1,0,19,ejm092fnt9zoxbpuklzd52ji8,1,29.1,0,2023-04-10T14:01:12.159Z,2023-04-12T20:20:11Z,4180142043,1,,4180142033,140,62.5,4180142029,107,,4180142035,141,3.2,4180142041,213,0.1,4180142031,56,Right,4180142037,212,35.2,,,,5n4s7vdp0dx0ndkph7oyg7v1l,W. Forrester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531727447,5,1,1,0,21,ejm092fnt9zoxbpuklzd52ji8,1,62.5,3.2,2023-04-10T14:01:14.110Z,2023-04-12T20:20:45Z,4185009391,388,,4180142211,213,0.4,4180142203,56,Right,4180142205,140,72.2,4180142199,3,,4180142209,212,10.9,4180142201,168,,4180142207,141,8.8,1yzyn48jb8yd8bc0xywrhg0r9,G. Massey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531727479,6,1,1,0,25,ejm092fnt9zoxbpuklzd52ji8,0,62.7,2.6,2023-04-10T14:01:18.077Z,2023-04-12T20:21:10Z,4185009727,178,,4180142351,213,0.1,4180142339,56,Right,4180142349,212,22.6,4180142347,141,7.4,4180142343,140,84.0,,,,,,,bojsqjfaoi810xuyz0qeqs0r9,E. Harrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531727475,6,49,1,0,26,ahm0t06rup1bkd9z0mxl2lmph,1,16.4,90.2,2023-04-10T14:01:18.886Z,2023-04-12T20:21:13Z,,,,,,,,,,,,,,,,,,,,,,,,,cqfbp8me2n00cve66v797omvp,S. Findlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531727519,7,1,1,0,27,ahm0t06rup1bkd9z0mxl2lmph,1,16.4,90.2,2023-04-10T14:01:20.494Z,2023-04-12T20:21:16Z,4180142495,140,4.5,4180142499,212,21.5,4180142497,141,64.5,4185009773,178,,4180142501,213,4.1,4180142493,56,Back,,,,,,,cqfbp8me2n00cve66v797omvp,S. Findlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531727579,8,1,1,0,29,ahm0t06rup1bkd9z0mxl2lmph,0,3.8,64.9,2023-04-10T14:01:22.385Z,2023-04-12T20:21:18Z,4180142811,1,,4185009851,178,,4180142803,140,37.9,4180142805,141,64.7,4180142807,212,35.8,4180142801,56,Back,4180142809,213,6.3,4180142799,157,,3oyhjrd1ohnwf1x3d65997xzp,S. Eastwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531727593,7,1,1,0,33,ejm092fnt9zoxbpuklzd52ji8,1,60.7,27.7,2023-04-10T14:01:25.827Z,2023-04-12T20:21:20Z,4185009905,178,,4180142881,141,44.3,4180142887,213,0.8,4180142877,56,Center,4180142879,140,72.0,4180142883,212,16.4,,,,,,,4y3hm9ljv62c5jswanl0gk5,T. Pett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531727625,9,49,1,0,34,ejm092fnt9zoxbpuklzd52ji8,1,74.1,51.3,2023-04-10T14:01:27.108Z,2023-04-12T20:21:24Z,,,,,,,,,,,,,,,,,,,,,,,,,b0l7hknmc27qttjxv094mi5zp,J. Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531727619,8,1,1,0,34,ejm092fnt9zoxbpuklzd52ji8,1,72,44.3,2023-04-10T14:01:27.225Z,2023-04-12T20:21:27Z,4180143023,140,69.7,4182956221,156,,4180143029,213,1.7,4180143021,56,Center,4180143027,212,17.8,4180143025,141,70.2,4185009973,178,,,,,b0l7hknmc27qttjxv094mi5zp,J. Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531727767,10,1,1,0,41,ejm092fnt9zoxbpuklzd52ji8,1,84.9,91.1,2023-04-10T14:01:34.080Z,2023-04-12T20:21:28Z,4180143751,141,93.8,4180143755,213,3.0,4180143749,140,68.3,4180143753,212,17.5,4180143747,56,Left,4185009993,178,,,,,,,,5ozfcga88glwzazkg65ahwa8l,M. Benning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531727831,11,1,1,0,43,ejm092fnt9zoxbpuklzd52ji8,1,74,95.6,2023-04-10T14:01:36.385Z,2023-04-12T20:21:30Z,4180144077,212,12.9,4185010035,178,,4180144071,56,Left,4180144079,213,6.2,4180144075,141,93.2,4180144073,140,86.2,,,,,,,89agv6797txmlw6m4nyhhsa2,A. Donnelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531727921,12,1,1,0,46,ejm092fnt9zoxbpuklzd52ji8,1,87.1,93,2023-04-10T14:01:39.246Z,2023-04-12T20:21:33Z,4180144527,213,4.1,4185010093,178,,4180144521,141,81.5,4180144525,212,9.8,4180144519,140,81.5,4180144517,56,Left,,,,,,,5ozfcga88glwzazkg65ahwa8l,M. Benning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2532642467,836,83,1,0,50,ahm0t06rup1bkd9z0mxl2lmph,1,15.7,14.2,2023-04-10T14:01:43.262Z,2023-04-12T20:40:51Z,4185036261,399,112139,,,,,,,,,,,,,,,,,,,,,,50flg4aoq4l0glnh61yzngc7p,M. McGuane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531727957,13,1,1,0,50,ejm092fnt9zoxbpuklzd52ji8,1,84.1,91.4,2023-04-10T14:01:43.278Z,2023-04-12T20:21:37Z,4180144691,56,Left,4180144697,212,3.6,4180144695,141,96.6,4180144701,213,1.4,4180144693,140,84.7,4185010157,178,,,,,,,,b0l7hknmc27qttjxv094mi5zp,J. Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2532642519,778,67,1,0,51,ejm092fnt9zoxbpuklzd52ji8,1,85.5,91.4,2023-04-10T14:01:44.270Z,2023-04-12T22:06:38Z,4185036519,233,837,,,,,,,,,,,,,,,,,,,,,,89agv6797txmlw6m4nyhhsa2,A. Donnelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2532642517,837,67,1,0,51,ahm0t06rup1bkd9z0mxl2lmph,0,14.5,8.6,2023-04-10T14:01:44.271Z,2023-04-12T20:41:01Z,4185036523,233,778,,,,,,,,,,,,,,,,,,,,,,50flg4aoq4l0glnh61yzngc7p,M. McGuane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531727971,14,1,1,0,51,ejm092fnt9zoxbpuklzd52ji8,0,84.7,96.6,2023-04-10T14:01:44.305Z,2023-04-12T22:06:38Z,4180144777,141,92.1,4180144979,236,,4180144779,212,3.1,4180144775,140,84.5,4180144981,233,9,4180144781,213,4.6,4180144773,56,Left,4180144985,286,,89agv6797txmlw6m4nyhhsa2,A. Donnelly,4185010309,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531728005,9,74,1,0,51,ahm0t06rup1bkd9z0mxl2lmph,1,17.8,5.3,2023-04-10T14:01:44.373Z,2023-04-12T20:21:47Z,4180144953,285,,4180145017,233,14,4185010397,178,,4180144951,56,Back,,,,,,,,,,,,,50flg4aoq4l0glnh61yzngc7p,M. McGuane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531728553,12,4,1,0,53,ahm0t06rup1bkd9z0mxl2lmph,1,15,5.2,2023-04-10T14:01:45.948Z,2023-04-12T20:21:59Z,4180147465,265,,4180148745,233,16,4180147461,56,Back,4180147467,285,,4180147459,13,,4180147463,152,,,,,,,,50flg4aoq4l0glnh61yzngc7p,M. McGuane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531728249,16,4,1,0,53,ejm092fnt9zoxbpuklzd52ji8,0,85,94.8,2023-04-10T14:01:45.949Z,2023-04-12T20:21:59Z,4180148685,13,,4180148695,286,,4180148687,152,,4180148791,233,12,4180148691,265,,4185010639,178,,4180146077,56,Left,,,,89agv6797txmlw6m4nyhhsa2,A. Donnelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
