id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,keyPass,qualifier/16/value,qualifier/13/value,qualifier/12/value,qualifier/15/value,assist
2504900013,6,4,1,0,8,8w89tsles26jm12aoelwvlttt,0,75,73.3,2023-02-06T15:23:06.534Z,2023-02-07T06:46:39Z,4017380699,152,,4017380697,56,Center,4017380693,13,,4017380695,294,,4017380701,286,,4017481323,233,5,4018384495,178,,,,,3nwvlft28lt3fiirchylvwtm1,P. Maghoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504900093,6,1,1,0,22,5pfqedkme2kabtqhkln35pf3l,1,20.2,25.6,2023-02-06T15:23:21.051Z,2023-02-07T06:46:47Z,4017381319,56,Back,4017381325,212,5.8,4017381321,140,15.5,4017381313,5,,4017381323,141,30.1,4017381327,213,2.6,4018384615,178,,4017381315,152,,c4hif6j7tldh0w7oeq8v9pcve,J. Quansah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504900123,7,1,1,0,27,5pfqedkme2kabtqhkln35pf3l,0,22.1,28.3,2023-02-06T15:23:26.033Z,2023-02-07T06:46:50Z,4017381519,141,100.0,4017381525,1,,4017381521,212,73.5,4017381513,157,,4017381517,140,73.4,4017381523,213,0.7,4018384653,178,,4017381515,56,Left,6axta520v9f4z56hctbq3a4mh,E. Balcombe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504900137,7,5,1,0,34,8w89tsles26jm12aoelwvlttt,1,25.2,-2,2023-02-06T15:23:32.543Z,2023-02-07T06:46:56Z,4017381613,347,,4017381617,233,8,4017381611,56,Back,,,,,,,,,,,,,,,,4k2uxd5rl1u8ctyxh3d765fqh,T. Watson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504900127,8,5,1,0,34,5pfqedkme2kabtqhkln35pf3l,0,74.8,102,2023-02-06T15:23:32.543Z,2023-02-07T06:46:57Z,4017381625,233,7,4017381539,56,Left,4017381541,347,,,,,,,,,,,,,,,,,9s6ec1a12gozqwjlsyo7y8gr9,S. Sinclair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504900141,8,1,1,0,40,8w89tsles26jm12aoelwvlttt,1,22.1,0,2023-02-06T15:23:38.539Z,2023-02-07T06:47:00Z,4017381655,212,14.3,4017381649,56,Back,4017381651,140,13.8,4017381647,107,,4017381657,213,2.2,4017381653,141,15.6,,,,,,,4k2uxd5rl1u8ctyxh3d765fqh,T. Watson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504900147,9,1,1,0,41,8w89tsles26jm12aoelwvlttt,1,13.8,15.6,2023-02-06T15:23:40.279Z,2023-02-07T06:47:05Z,4017381699,212,9.8,4018384845,178,,4017381693,56,Back,4017381695,140,19.7,4017381701,213,5.4,4017381697,141,4.4,,,,,,,1vfuzp09s9oj95ruav4ln9ch6,J. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504900151,10,1,1,0,43,8w89tsles26jm12aoelwvlttt,1,20.2,4.7,2023-02-06T15:23:41.775Z,2023-02-07T06:47:09Z,4017381725,212,9.9,4017381721,140,19.4,4017381719,56,Back,4018384907,178,,4017381727,213,1.7,4017381723,141,19.2,,,,,,,4k2uxd5rl1u8ctyxh3d765fqh,T. Watson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504900161,11,1,1,0,44,8w89tsles26jm12aoelwvlttt,1,19.4,19.2,2023-02-06T15:23:42.561Z,2023-02-07T06:47:15Z,4018384969,178,,4017381781,56,Back,4017381785,141,9.8,4017381789,213,3.7,4017381787,212,12.9,4017381783,140,8.7,,,,,,,8uch2zjj8vxmfi2l544j5ipxx,J. McEachran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504900177,12,1,1,0,46,8w89tsles26jm12aoelwvlttt,0,8.7,9.8,2023-02-06T15:23:44.412Z,2023-02-07T06:47:19Z,4017381907,141,38.8,4017381903,56,Center,4017381911,213,0.4,4017381909,212,49.3,4018385035,178,,4017381905,140,51.7,4017381901,155,,4017381913,1,,1vfuzp09s9oj95ruav4ln9ch6,J. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
