id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/9/value,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2533582909,1,34,16,0,0,1musyruv2ufjrjnj6gvdbr8kt,1,0,0,2023-04-15T13:15:03.172Z,2023-04-15T13:15:03Z,4190038597,30,"4c56c2zanbiv8q28f54i5rp3p, 8lvhd97efhjcg03fj1num1bzd, 3fjobcho19bkofw9h042i2v9x, 76tis9hdvmec3jcvgnsf6cdex, 77yt60bz6k3rqv316v9qxxyad, cyrr9517kjkt2l5tuqe966zth, 2gf1wld07zyiuvq7iikfrvoid, 94opm6ljk3l7yqa2rzwq2gw6h, ekbsso6hq913ss7jerbusyled, 583ujnml31x2cnl6jxwnbs2xh, btey8i9vnkak8ww7diqnb8lat, 9r7ngbyjgfukassxtl07wnn55, 4mg6kr1jernr98unfp5p8shqt, 7f87a26gzayk0bfzbm42huuw9, e2b2wcox0ibhasr4zf5nphdqt, 2nm6gmvnf6bmqpgd286p3yeqc, 1szy525fae134zxfbt7vyw991, 24g3kj5853y2af5ncqhwlfbp",4190038603,130,18,4190038607,194,ekbsso6hq913ss7jerbusyled,4190038599,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4190038609,197,16162,4190038611,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4190038605,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4190038601,59,"25, 8, 18, 15, 44, 2, 4, 19, 10, 9, 13, 3, 6, 17, 20, 22, 24, 31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533583319,1,34,16,0,0,8mbtyq0has0uu0565fm9t5cdo,1,0,0,2023-04-15T13:15:21.673Z,2023-04-17T17:23:33Z,4190041047,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4190041045,197,4823,4190041041,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4190041033,30,"biwjsmk8ytz2k4d9f141jw15h, 5n4yyffs5f8b7exry819c4xxx, dkzos23k1n5ufrdg886p2dxt6, 18loyx03olyhtkt6scybwr8q1, 2di9tk08yuqcb4wn9dvmwh97t, 8nudzikxeestbjz4yww8r13v9, 102xw59l2wg2jsd03w6vkgine, 8wnv741y7ghjolf8g5c7psru1, 4eg87cdkpgishec2gc9stm8oa, h4g0ji8lk43f7zcpl79henai, enwfqkgv2m6hfwwjmbvfx9m1h, 3yamg9wboimwxyklpekdxgxxx, df3lhrpu9m9mqhk1h7hov4ic5, 1uqgky0sxqjs8bqd2h75rnmjt, 8fx84vh2k1x9c0dn66tivtzop, bkx6hb7gcdmw1v43o6tmgraad, byem8e04h7nlgk9ythcswoley, 39gerw0vkyeriats1e0rgdn56",4190041039,130,17,4190041037,59,"34, 4, 44, 12, 5, 2, 16, 7, 8, 17, 21, 1, 9, 10, 14, 15, 18, 39",4190041035,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4190041043,194,8nudzikxeestbjz4yww8r13v9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533628109,2,32,1,0,0,8mbtyq0has0uu0565fm9t5cdo,1,0,0,2023-04-15T14:01:15.845Z,2023-04-17T23:18:31Z,4190268807,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533628137,2,32,1,0,0,1musyruv2ufjrjnj6gvdbr8kt,1,0,0,2023-04-15T14:01:15.845Z,2023-04-15T14:01:19Z,4190268915,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533628161,3,1,1,0,0,1musyruv2ufjrjnj6gvdbr8kt,1,49.6,49.5,2023-04-15T14:01:15.850Z,2023-04-18T03:22:57Z,4199440557,178,,4190269003,213,3.4,4190268999,212,6.7,4190268995,140,43.4,4190269005,279,S,4190268993,56,Back,4190268997,141,47.4,,,,2gf1wld07zyiuvq7iikfrvoid,W. Vaulks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533628241,4,1,1,0,1,1musyruv2ufjrjnj6gvdbr8kt,0,44.3,45.4,2023-04-15T14:01:17.794Z,2023-04-18T03:23:04Z,4190269423,140,69.5,4190269433,213,5.5,4199440575,178,,4190269419,155,,4190269435,1,,4190269421,56,Right,4190269425,141,9.5,4190269429,212,36.0,ekbsso6hq913ss7jerbusyled,B. Bannan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533628277,3,44,1,0,4,8mbtyq0has0uu0565fm9t5cdo,1,33.8,85.2,2023-04-15T14:01:20.024Z,2023-04-18T06:25:40Z,4190269571,285,,4190269617,233,5,4190269569,56,Back,,,,,,,,,,,,,,,,102xw59l2wg2jsd03w6vkgine,C. Shaughnessy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533628253,5,44,1,0,4,1musyruv2ufjrjnj6gvdbr8kt,0,66.2,14.8,2023-04-15T14:01:20.025Z,2023-04-18T03:23:28Z,4190269469,56,Right,4190269649,233,3,4190269471,286,,,,,,,,,,,,,,,,,btey8i9vnkak8ww7diqnb8lat,C. Paterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533628333,4,1,1,0,4,8mbtyq0has0uu0565fm9t5cdo,0,37,80,2023-04-15T14:01:20.074Z,2023-04-18T06:25:40Z,4190269869,212,12.0,4190269871,213,6.1,4190269861,3,,4190269865,140,48.3,4190269863,56,Back,4190269867,141,77.5,4199440621,388,,,,,102xw59l2wg2jsd03w6vkgine,C. Shaughnessy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533628361,6,1,1,0,5,1musyruv2ufjrjnj6gvdbr8kt,1,57.6,21.2,2023-04-15T14:01:21.634Z,2023-04-18T03:23:35Z,4190270021,213,0.3,4190270009,56,Center,4199440663,178,,4190270019,212,12.0,4190270013,140,68.4,4190270017,141,27.0,,,,,,,94opm6ljk3l7yqa2rzwq2gw6h,T. Bakinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
