id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/11/value,qualifier/14/value,assist,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/12/value,qualifier/15/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/18/value
2533582839,1,34,16,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,0,0,2023-04-15T13:15:00.046Z,2023-04-15T15:05:04Z,4190038147,197,16212,4190038133,30,"3wew9tjsjrsoyioiuzd7ve356, 2asjeedy6igcuixqktdmk5k2x, a2g77lv071rnz76ujh30364tl, 6ipjgy0ewyx7mnmolu0pp0mw9, djjkjjtiuwnbaau5lv6iqkwr9, 74x5iaolqfr7r3on2uuriooyy, dzitwscdk6ogkf6bstbrik53p, 7d9la6gbbobi9yie2ejf9uj1l, f4ef7in4fxoylsy29anhgqep5, 7uhajc3suc68vemamuc3dyvp, 8i4qnoil4877e0wpwx3fj5b10, a634junjbgfa84200m3khvw0l, 4eyngv286u5zbtppuih1g67s9, 1vigb3e3dsxufbtvt4ed48e09, 4m5w23fmydm3or1ff42hgeqne, 46ums24te70jl5qclztg8xhwp, a5cmnj0nhdbux68291ipqcei2, 1aq6osi0b0c580dlu9ugnjaei",4190038139,130,8,4190038145,194,dzitwscdk6ogkf6bstbrik53p,4190038141,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4190038137,59,"1, 2, 16, 6, 12, 34, 11, 4, 20, 7, 8, 9, 15, 17, 18, 19, 22, 40",4190038149,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4190038135,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533582849,1,34,16,0,0,8rfydplrc9ki0sirqi0drcybk,1,0,0,2023-04-15T13:15:00.424Z,2023-04-15T15:56:14Z,4190038201,59,"13, 26, 28, 10, 4, 32, 20, 8, 14, 9, 23, 15, 16, 22, 24, 47, 50, 56",4190038209,197,4616,4190038197,30,"4e1c6yk50fl8hnwv6u1132j85, 5q6s3r5ychv1d3r1tch4sot05, 937mkgz0gstvxyjiwfe9xiuzu, 2y1fhmv1aw0ocpu3h0wrfi1d6, 6tqiy5a5cfpfm90j8r5udl8bu, 2eu3cz65piv0j91gi396p9ega, 8bhf6lrrabp5tw5m8krirsm7e, f1rmwe24zg4697bqpc3z0y40l, e8whj7tdfmuk66shr30htmhud, 74p53a79q1tlis3a3gladqor9, 3tlocewlh3mb53wd0hk8nucbt, f4m43umaxgf5apvbrm1nbrh1w, 71or1ne6d9zuo038qdt6vcvoq, b5j2ib54sum2pmzthjmfmr55h, 74fouzsgp25muot2pp6as5otl, 2gqq7q2f23bpdhnbradftoqok, b1cn7i49cjjiifnfw6xu18xsk, 5205uoqh3ity4jiv9i0tiekno",4190038203,130,8,4190038199,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4190038207,194,f1rmwe24zg4697bqpc3z0y40l,4190038211,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4190038205,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533626831,2,32,1,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,0,0,2023-04-15T14:00:13.067Z,2023-04-18T09:14:30Z,4190262897,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533626853,2,32,1,0,0,8rfydplrc9ki0sirqi0drcybk,1,0,0,2023-04-15T14:00:13.067Z,2023-04-15T14:00:14Z,4190262993,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533626861,3,1,1,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,50.4,50,2023-04-15T14:00:13.075Z,2023-04-18T09:43:40Z,4190263043,212,1.7,4199805745,178,,4190263041,141,50.1,4190263037,56,Center,4190263039,140,52.0,4190263045,213,0.0,4190263047,279,S,,,,6ipjgy0ewyx7mnmolu0pp0mw9,L. Coyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533626915,4,1,1,0,1,5qwskbjpa17fvmtuu5qijy7cz,1,53.8,48.2,2023-04-15T14:00:14.934Z,2023-04-18T09:43:42Z,4190263331,141,38.8,4190263327,56,Back,4190263333,212,9.2,4190263329,140,47.5,4199805853,178,,4190263335,213,3.9,,,,,,,7d9la6gbbobi9yie2ejf9uj1l,E. Hamilton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533626955,5,1,1,0,4,5qwskbjpa17fvmtuu5qijy7cz,0,38.4,29.7,2023-04-15T14:00:17.849Z,2023-04-18T09:43:46Z,4190263531,140,81.2,4190263527,56,Right,4190263539,1,,4190263533,141,9.8,4190263537,213,6.0,4190263523,155,,4190263535,212,46.9,4199806043,178,,6ipjgy0ewyx7mnmolu0pp0mw9,L. Coyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533626979,3,1,1,0,7,8rfydplrc9ki0sirqi0drcybk,1,23.5,90.5,2023-04-15T14:00:20.252Z,2023-04-18T09:43:53Z,4199806253,178,,4190263643,3,,4190263649,141,95.0,4190263653,213,0.3,4190263647,140,32.3,4190263651,212,9.7,4190263645,56,Back,,,,937mkgz0gstvxyjiwfe9xiuzu,C. Johnston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533626987,4,1,1,0,8,8rfydplrc9ki0sirqi0drcybk,0,35,94.8,2023-04-15T14:00:21.527Z,2023-04-18T09:44:00Z,4190263701,56,Back,4190263697,3,,4190263703,140,45.0,4190263709,213,6.2,4190263707,212,10.5,4199806485,178,,4190263699,168,,4190263705,141,93.6,3tlocewlh3mb53wd0hk8nucbt,P. Patterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533627025,6,61,1,0,10,5qwskbjpa17fvmtuu5qijy7cz,1,62.8,12,2023-04-15T14:00:24.026Z,2023-04-18T09:44:09Z,4199806941,21,,4190263883,56,Right,4199806943,178,,,,,,,,,,,,,,,,,2asjeedy6igcuixqktdmk5k2x,M. Clark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
