id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,assist,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/13/value,qualifier/15/value,keyPass,qualifier/18/value,qualifier/19/value,qualifier/21/id,qualifier/21/qualifierId
2499132061,1,34,16,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,0,0,2023-01-21T14:15:15.712Z,2023-01-21T14:59:30Z,3987195705,194,dzitwscdk6ogkf6bstbrik53p,3987195709,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3987195707,197,16213,3987195701,130,19,3987195699,59,"40, 25, 11, 34, 5, 16, 22, 6, 7, 8, 4, 1, 12, 14, 21, 39, 42, 50",3987195703,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3987195697,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3987195695,30,"1aq6osi0b0c580dlu9ugnjaei, 20z2xkmqc3em5dol00ko4sp62, dzitwscdk6ogkf6bstbrik53p, 74x5iaolqfr7r3on2uuriooyy, 23s9kwgzvgh27d393ymk0006h, a2g77lv071rnz76ujh30364tl, a5cmnj0nhdbux68291ipqcei2, 6ipjgy0ewyx7mnmolu0pp0mw9, 7uhajc3suc68vemamuc3dyvp, 8i4qnoil4877e0wpwx3fj5b10, 7d9la6gbbobi9yie2ejf9uj1l, 3wew9tjsjrsoyioiuzd7ve356, djjkjjtiuwnbaau5lv6iqkwr9, 8w9kh0cuund2pw8wzs0rjrbah, 8vwzh7t772qg1r3uxo83eiqui, dv1g5fozbyj5r55grfp8x7uac, d8s5hdtsmitdvix6l02rjn1g4, ag8f1ksvfel1a0y49d0iypuui",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499132401,1,34,16,0,0,9db4t34qy4owglhvvgwf5l22i,1,0,0,2023-01-21T14:15:43.062Z,2023-01-21T14:15:43Z,3987197429,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3987197443,194,49ca952ot1c3ytut2s281ds6h,3987197437,130,10,3987197425,30,"c3nbdw1440h1uwwmixrjxwclx, 4nm1tx8buxym4bf9f2pti2fhl, 3k9tjd5wgpufcbq4od8jpo89h, dwrnys3htjlb3asfou6425g16, 49ca952ot1c3ytut2s281ds6h, 5raent8a0bdt01n7769n3dw16, cruhiz25b3bbd4unocpu9bvf9, canpue729cozt0cw6a1dpi7ai, 878xi84rsiw5uj1doiy894lwp, 1r9aj50371x6f0xf7mmvldz9x, 1iy0goeaf5btyw09tr2ywbe8l, 23gglwejp456bifnwkk9xi0a, 3yadun7x7dpb4tirvfx4oxuui, i1bzoqwi1u382l4yx3n864x6, 1wpc3b44r2w9m2wallf1xcmlm, 32crcj18u4qnf8f07fbsopvpx, acvgu9prqaeucmvi9fx070i22, bpw37dn7ite34srsk131bx46i",3987197441,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3987197447,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3987197433,59,"40, 2, 7, 5, 6, 12, 30, 48, 27, 9, 8, 14, 20, 26, 33, 44, 47, 22",3987197445,197,16169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499170305,2,32,1,0,0,9db4t34qy4owglhvvgwf5l22i,1,0,0,2023-01-21T15:02:59.028Z,2023-01-24T01:21:22Z,3987386375,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499170333,2,32,1,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,0,0,2023-01-21T15:02:59.028Z,2023-01-21T15:03:00Z,3987386495,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499170347,3,1,1,0,0,9db4t34qy4owglhvvgwf5l22i,1,49.9,50.3,2023-01-21T15:02:59.039Z,2023-01-24T02:24:46Z,3987386587,279,S,3987386579,140,36.2,3987386577,56,Back,3992625753,178,,3987386585,213,3.1,3987386583,212,14.4,3987386581,141,50.3,,,,1iy0goeaf5btyw09tr2ywbe8l,H. Kane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499170433,4,1,1,0,2,9db4t34qy4owglhvvgwf5l22i,0,33.7,57.8,2023-01-21T15:03:01.202Z,2023-01-24T02:24:55Z,3992625825,178,,3987387021,212,42.2,3987387023,213,5.9,3987387013,155,,3987387019,141,33.6,3987387017,140,70.7,3987387025,1,,3987387015,56,Center,canpue729cozt0cw6a1dpi7ai,L. Connell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499170515,3,1,1,0,4,5qwskbjpa17fvmtuu5qijy7cz,0,35.3,83.2,2023-01-21T15:03:03.840Z,2023-01-24T02:25:07Z,3987387447,213,6.2,3987387445,212,19.0,3992625987,178,,3987387441,140,53.3,3987387439,56,Left,3987387443,141,80.5,3987387437,3,,,,,a2g77lv071rnz76ujh30364tl,H. Rodgers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499170569,5,44,1,0,6,9db4t34qy4owglhvvgwf5l22i,1,49.2,26.3,2023-01-21T15:03:05.960Z,2023-01-24T06:49:10Z,3987387721,56,Back,3987387771,285,,3987387767,233,4,,,,,,,,,,,,,,,,5raent8a0bdt01n7769n3dw16,B. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499170525,4,44,1,0,6,5qwskbjpa17fvmtuu5qijy7cz,0,50.8,73.7,2023-01-21T15:03:05.961Z,2023-01-24T02:25:36Z,3987387513,286,,3987387511,56,Center,3987387873,233,5,,,,,,,,,,,,,,,,8i4qnoil4877e0wpwx3fj5b10,T. Leigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499170599,6,1,1,0,7,9db4t34qy4owglhvvgwf5l22i,0,51.6,33.1,2023-01-21T15:03:06.039Z,2023-01-24T06:49:11Z,3987387893,3,,3987387901,141,34.9,3987387903,212,14.1,3987387905,213,0.1,3987387899,140,65.0,3992626279,388,,3987387897,56,Center,,,,5raent8a0bdt01n7769n3dw16,B. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499170587,5,1,1,0,8,5qwskbjpa17fvmtuu5qijy7cz,0,36.5,70.8,2023-01-21T15:03:07.034Z,2023-01-24T02:25:48Z,3992626317,388,,3987387833,212,20.0,3987387831,141,64.0,3987387827,56,Center,3987387829,140,55.0,3987387835,213,6.0,3987387825,3,,,,,6ipjgy0ewyx7mnmolu0pp0mw9,L. Coyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499170687,7,1,1,0,9,9db4t34qy4owglhvvgwf5l22i,1,42.9,53,2023-01-21T15:03:08.790Z,2023-01-24T02:25:54Z,3987388337,56,Right,3987388343,212,33.7,3987388341,141,14.3,3987388339,140,63.0,3992626371,388,,3987388335,3,,3987388345,213,5.4,3987388347,1,,dwrnys3htjlb3asfou6425g16,L. Kitching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499170705,8,44,1,0,12,9db4t34qy4owglhvvgwf5l22i,1,61,11.8,2023-01-21T15:03:11.101Z,2023-01-24T06:49:11Z,3987388633,233,6,3987388433,286,,3987388431,56,Right,,,,,,,,,,,,,,,,4nm1tx8buxym4bf9f2pti2fhl,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499170699,6,44,1,0,12,5qwskbjpa17fvmtuu5qijy7cz,0,39,88.2,2023-01-21T15:03:11.102Z,2023-01-24T02:25:57Z,3987388593,233,8,3987388403,56,Back,3987388409,285,,,,,,,,,,,,,,,,,dzitwscdk6ogkf6bstbrik53p,S. McConville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500048565,831,1,1,0,12,9db4t34qy4owglhvvgwf5l22i,0,55.4,7.8,2023-01-21T15:03:11.185Z,2023-01-24T06:49:12Z,3992006977,56,Right,3992006979,140,56.6,3992626885,388,,3992006985,213,6.1,3992006975,3,,3992006981,141,7.5,3992006983,212,1.3,,,,4nm1tx8buxym4bf9f2pti2fhl,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499170719,7,61,1,0,12,5qwskbjpa17fvmtuu5qijy7cz,1,40.9,90.8,2023-01-21T15:03:11.208Z,2023-01-24T06:00:02Z,3992626435,21,,3992626437,388,,3987388527,56,Back,,,,,,,,,,,,,,,,dzitwscdk6ogkf6bstbrik53p,S. McConville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499170813,9,1,1,0,13,9db4t34qy4owglhvvgwf5l22i,0,61,14.9,2023-01-21T15:03:12.664Z,2023-01-24T02:27:04Z,3987388965,140,75.3,3992626941,178,,3987388971,213,0.3,3987388969,212,15.6,3987388967,141,21.0,3987388961,155,,3987388963,56,Right,,,,cruhiz25b3bbd4unocpu9bvf9,A. Phillips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499170847,9,1,1,0,16,5qwskbjpa17fvmtuu5qijy7cz,1,22.7,67.2,2023-01-21T15:03:15.679Z,2023-01-24T02:27:10Z,3987389117,213,1.4,3987389103,3,,3992627001,178,,3987389109,141,88.0,3987389107,140,25.4,3987389105,56,Back,3987389113,212,14.4,,,,74x5iaolqfr7r3on2uuriooyy,D. Tharme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499170807,8,43,1,0,17,5qwskbjpa17fvmtuu5qijy7cz,1,0,0,2023-01-21T15:03:16.417Z,2023-01-23T15:57:22Z,3992007297,144,49,,,,,,,,,,,,,,,,,,,,,,74x5iaolqfr7r3on2uuriooyy,D. Tharme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499170925,10,1,1,0,18,5qwskbjpa17fvmtuu5qijy7cz,1,25.4,88,2023-01-21T15:03:17.069Z,2023-01-24T02:27:19Z,3987389523,141,73.9,3992627063,178,,3987389521,140,25.4,3987389525,212,9.6,3987389527,213,4.7,3987389517,3,,3987389519,56,Back,,,,dzitwscdk6ogkf6bstbrik53p,S. McConville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499170933,11,61,1,0,19,5qwskbjpa17fvmtuu5qijy7cz,1,25.4,73.9,2023-01-21T15:03:18.703Z,2023-01-24T02:27:26Z,3992627133,178,,3987389559,56,Back,,,,,,,,,,,,,,,,,,,a5cmnj0nhdbux68291ipqcei2,D. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500048627,756,49,1,0,20,5qwskbjpa17fvmtuu5qijy7cz,1,30.7,85.9,2023-01-21T15:03:19.131Z,2023-01-24T02:27:35Z,,,,,,,,,,,,,,,,,,,,,,,,,a2g77lv071rnz76ujh30364tl,H. Rodgers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499171069,12,1,1,0,21,5qwskbjpa17fvmtuu5qijy7cz,1,28.3,75.7,2023-01-21T15:03:20.331Z,2023-01-24T02:27:39Z,3987390211,56,Back,3987390213,140,28.9,3987390219,213,1.5,3987390217,212,10.5,3992627225,178,,3987390215,141,91.1,,,,,,,a2g77lv071rnz76ujh30364tl,H. Rodgers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499171171,13,1,1,0,23,5qwskbjpa17fvmtuu5qijy7cz,1,26.1,92.4,2023-01-21T15:03:22.918Z,2023-01-24T02:27:44Z,3987390673,140,4.5,3987390681,1,,3987390671,56,Back,3992627257,178,,3987390675,141,53.3,3987390677,212,34.9,3987390679,213,4.0,,,,dzitwscdk6ogkf6bstbrik53p,S. McConville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499171219,14,1,1,0,28,5qwskbjpa17fvmtuu5qijy7cz,0,7.1,46.1,2023-01-21T15:03:27.870Z,2023-01-24T02:27:50Z,3987390931,213,6.0,3987390933,1,,3987390921,155,,3987390923,56,Center,3987390929,212,52.9,3992627325,178,,3987390927,141,21.9,3987390925,140,55.0,1aq6osi0b0c580dlu9ugnjaei,T. Savin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499171291,10,1,1,0,31,9db4t34qy4owglhvvgwf5l22i,0,42.1,82.7,2023-01-21T15:03:30.891Z,2023-01-24T02:27:56Z,3987391313,141,75.0,3987391311,140,65.9,3987391307,3,,3987391309,56,Center,3992627365,178,,3987391315,212,25.5,3987391317,213,6.1,,,,dwrnys3htjlb3asfou6425g16,L. Kitching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499171407,15,1,1,0,34,5qwskbjpa17fvmtuu5qijy7cz,0,28.1,29.5,2023-01-21T15:03:33.175Z,2023-01-24T02:28:02Z,3987391833,155,,3987391845,1,,3992627433,178,,3987391835,56,Center,3987391841,212,44.9,3987391839,141,46.0,3987391843,213,0.3,3987391837,140,69.5,74x5iaolqfr7r3on2uuriooyy,D. Tharme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499171417,11,49,1,0,37,9db4t34qy4owglhvvgwf5l22i,1,35.4,54.8,2023-01-21T15:03:36.922Z,2023-01-24T02:28:08Z,,,,,,,,,,,,,,,,,,,,,,,,,49ca952ot1c3ytut2s281ds6h,M. Andersen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
