id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,assist,qualifier/14/value,qualifier/12/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2516962281,1,34,16,0,0,8rfydplrc9ki0sirqi0drcybk,1,0,0,2023-03-07T19:00:18.893Z,2023-03-07T19:52:32Z,4081074841,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4081074851,197,4826,4081074843,59,"13, 26, 3, 16, 22, 4, 23, 27, 14, 8, 7, 1, 9, 10, 17, 18, 24, 32",4081074847,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4081074845,130,7,4081074849,194,f1rmwe24zg4697bqpc3z0y40l,4081074839,30,"4e1c6yk50fl8hnwv6u1132j85, 5q6s3r5ychv1d3r1tch4sot05, czwcateaukr5r9yibdem642qd, 71or1ne6d9zuo038qdt6vcvoq, b5j2ib54sum2pmzthjmfmr55h, 6tqiy5a5cfpfm90j8r5udl8bu, 3tlocewlh3mb53wd0hk8nucbt, dw7bhxe9mbg94udlycw98gpgp, e8whj7tdfmuk66shr30htmhud, f1rmwe24zg4697bqpc3z0y40l, 3je74tc5emuou6ckwdbscsbu, 7x07t0u885bkq5uf6228f57md, 74p53a79q1tlis3a3gladqor9, 2y1fhmv1aw0ocpu3h0wrfi1d6, 9vpu031whb1bj006mbw8hv2sp, emuuuhvah1jtq2fqs9ybfovvu, 74fouzsgp25muot2pp6as5otl, 2eu3cz65piv0j91gi396p9ega",4081074853,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516962527,1,34,16,0,0,jv3jh5m5t7qy5t37vwwmnj16,1,0,0,2023-03-07T19:00:57.192Z,2023-03-07T19:49:36Z,4081076091,194,5bkjye9thnohmdgzwsrsy1n9,4081076093,197,16167,4081076083,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4081076081,30,"1sw0ywyl0cgn97mu65tnzv0t1, 7fvj3ev8ov0cnalck9x48z3kl, 5bkjye9thnohmdgzwsrsy1n9, 40wbrqny2ekenyy37ver8dyol, f5zei3x0mg1i5q3soziuy579, dbvkpe7bc9clualadtx9rf1uc, 99uiqjteov3qby19bs8kozill, 93kxb8ch3auv9li22mh1aidey, am0ggkrw8rzw5shdvaceyr3kl, bbrx2s4fcp7uplly4hpbt3xed, 4oogur7f8tfx3z011ap58ao5x, 8fg00qug3asta7227xti3tskp, dbev6jhnro87n6ghueorfz27d, dez3rm7q89xk157fwnc3tgqcq, cxfq8o3k68x1acwci3wx812w9, ein4ztrsuiclfbe9p066lmyok, 5knn6bkjba6eh0torsnwrkl0q, ei0u7w8capvepbm7g08bh6dck",4081076087,130,8,4081076085,59,"1, 26, 3, 22, 2, 5, 18, 10, 9, 7, 12, 15, 19, 27, 29, 31, 38, 35",4081076089,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4081076095,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516970787,2,32,1,0,0,jv3jh5m5t7qy5t37vwwmnj16,1,0,0,2023-03-07T19:46:05.207Z,2023-03-09T18:19:24Z,4081120499,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516970781,2,32,1,0,0,8rfydplrc9ki0sirqi0drcybk,1,0,0,2023-03-07T19:46:05.207Z,2023-03-07T19:46:05Z,4081120469,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516970819,3,1,1,0,0,8rfydplrc9ki0sirqi0drcybk,1,50.2,49.6,2023-03-07T19:46:05.231Z,2023-03-10T09:08:09Z,4081120643,279,S,4081120637,141,53.1,4081120633,56,Back,4081120635,140,34.8,4081120639,212,16.3,4081120641,213,3.0,4085059673,178,,,,,f1rmwe24zg4697bqpc3z0y40l,J. Vela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516970883,4,1,1,0,3,8rfydplrc9ki0sirqi0drcybk,1,35.1,52.1,2023-03-07T19:46:08.237Z,2023-03-10T09:08:13Z,4081120911,212,55.9,4081120903,155,,4081120907,140,82.0,4085059763,178,,4081120915,1,,4081120909,141,13.1,4081120905,56,Right,4081120913,213,5.8,6tqiy5a5cfpfm90j8r5udl8bu,B. Sarpong-Wiredu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516970891,5,3,1,0,7,8rfydplrc9ki0sirqi0drcybk,0,88.6,5.6,2023-03-07T19:46:13.164Z,2023-03-10T09:08:28Z,4085059889,178,,4081120943,56,Right,4081120945,286,,4081120979,233,3,4084040813,465,,,,,,,,,,,3tlocewlh3mb53wd0hk8nucbt,P. Patterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516970893,3,7,1,0,9,jv3jh5m5t7qy5t37vwwmnj16,1,11.4,94.4,2023-03-07T19:46:14.312Z,2023-03-10T09:08:35Z,4081120951,233,5,4084040839,385,,4085059945,178,,4081120949,285,,4081120947,56,Back,,,,,,,,,,40wbrqny2ekenyy37ver8dyol,N. Freeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516970909,5,5,1,0,9,jv3jh5m5t7qy5t37vwwmnj16,0,10.5,101.4,2023-03-07T19:46:14.673Z,2023-03-10T09:08:44Z,4081121043,56,Back,4081121045,347,,4081121915,233,6,,,,,,,,,,,,,,,,40wbrqny2ekenyy37ver8dyol,N. Freeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516971083,6,5,1,0,9,8rfydplrc9ki0sirqi0drcybk,1,89.5,-1.4,2023-03-07T19:46:14.673Z,2023-03-10T09:08:44Z,4081121907,233,5,4081121893,347,,4081121889,56,Right,,,,,,,,,,,,,,,,3tlocewlh3mb53wd0hk8nucbt,P. Patterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
