id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,assist
2488724353,1,34,16,0,0,8mbtyq0has0uu0565fm9t5cdo,1,0,0,2022-12-03T11:45:20.044Z,2022-12-03T12:54:07Z,3932137139,30,"3yamg9wboimwxyklpekdxgxxx, a6sikfu3j1pp7mlfcdte2inoq, dt6qnodvlkioltvbbhn08tqs5, 90ljpsmc6jf9657bs8cwkavl6, 2di9tk08yuqcb4wn9dvmwh97t, 8nudzikxeestbjz4yww8r13v9, d41ua67591gafg6gb9iwg3p7u, 5n4yyffs5f8b7exry819c4xxx, 39gerw0vkyeriats1e0rgdn56, d866x81xlp0h24rtpg9jbczbp, b0hjaqg0on2lrpfcjxfyz7uqy, bk1tvg8t79kbsmnf2i39or6c5, 7mcxkeo8701m9cs3hfy6towrt, 5djouum2kdazpcjf79gbk2ju1, dqk7nicp3ufef4hyus1begdii, 268os78lzi8fggnve9n15h5ux, a6w8k42asmtixpi0orgxh7aj8, 2u29ogddmahu2ursn73e5yw9h",3932137147,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3932137145,130,12,3932137153,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3932137151,197,4824,3932137149,194,8nudzikxeestbjz4yww8r13v9,3932137143,59,"1, 37, 3, 15, 5, 2, 12, 4, 39, 14, 23, 6, 10, 11, 19, 24, 25, 45",3932137141,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488724397,1,34,16,0,0,8w89tsles26jm12aoelwvlttt,1,0,0,2022-12-03T11:45:25.888Z,2022-12-05T09:46:23Z,3932137383,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3932137381,130,8,3932137377,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3932137389,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3932137375,30,"32sqctjujedqsab4xwy1pwlbd, 4k2uxd5rl1u8ctyxh3d765fqh, 9j8icoctjp1icwle91r62q76x, 8uch2zjj8vxmfi2l544j5ipxx, 1vfuzp09s9oj95ruav4ln9ch6, 2hhatd33vvokrbemn4echivhl, 7wgynxj11urhizi5r3girip2i, bhtwzoyaqug2p0ezr7c6wxuui, 2uids8ea8jv4r62psqj37x3e2, 9mgcugydtvdr5wk7qii9wpd2i, 299g43uwcj4dblia1bihagmol, 5v9byi3v430ysdqb058eww3c9, 6evqqxq5e0y1uvigg6bss4frp, 9qeg65oa5skmypxvt73vckfrp, 9y8gvjzrsvgxkcfvq99mivdyi, 8bx76kurepj0yqe9iixa0zyp6, enjlm4kjscxmu04a1tz7vo3fu, 9r28zj6fz3z8dzojktwambsut",3932137387,197,2083,3932137385,194,2hhatd33vvokrbemn4echivhl,3932137379,59,"1, 2, 21, 6, 4, 5, 20, 28, 10, 16, 11, 8, 9, 14, 19, 22, 23, 33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488741137,2,32,1,0,0,8mbtyq0has0uu0565fm9t5cdo,1,0,0,2022-12-03T12:30:51.640Z,2022-12-03T12:30:54Z,3932227729,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488741131,2,32,1,0,0,8w89tsles26jm12aoelwvlttt,1,0,0,2022-12-03T12:30:51.640Z,2022-12-05T18:25:57Z,3932227697,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488741163,3,1,1,0,0,8w89tsles26jm12aoelwvlttt,1,49.9,50.1,2022-12-03T12:30:51.690Z,2022-12-06T01:18:59Z,3932227849,141,56.0,3932227855,279,S,3932227845,56,Back,3932227847,140,26.2,3935649431,178,,3932227851,212,25.2,3932227853,213,3.0,,,,2uids8ea8jv4r62psqj37x3e2,M. Eisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488741183,4,1,1,0,3,8w89tsles26jm12aoelwvlttt,0,26.8,54.6,2022-12-03T12:30:54.651Z,2022-12-06T01:19:03Z,3932227947,213,5.6,3932227939,141,15.8,3932227951,1,,3932227933,155,,3932227937,140,56.1,3932227935,56,Right,3935649439,178,,3932227943,212,40.5,2hhatd33vvokrbemn4echivhl,W. O'Hora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488741197,3,1,1,0,5,8mbtyq0has0uu0565fm9t5cdo,0,35.2,60.8,2022-12-03T12:30:57.347Z,2022-12-06T01:19:12Z,3932228033,3,,3935649469,178,,3932228039,141,51.8,3932228041,212,13.3,3932228043,213,5.8,3932228037,140,46.4,3932228035,56,Back,,,,b0hjaqg0on2lrpfcjxfyz7uqy,T. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488741209,5,1,1,0,6,8w89tsles26jm12aoelwvlttt,1,53,29.8,2022-12-03T12:30:58.577Z,2022-12-06T01:19:17Z,3932228093,212,10.8,3932228091,141,15.5,3932228089,140,57.5,3935649485,178,,3932228087,56,Right,3932228095,213,5.2,,,,,,,8uch2zjj8vxmfi2l544j5ipxx,J. McEachran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488741221,6,1,1,0,7,8w89tsles26jm12aoelwvlttt,0,57.5,15.5,2022-12-03T12:30:59.237Z,2022-12-06T01:19:32Z,3932228155,56,Center,3935649533,178,,3932228157,140,65.2,3932228159,141,22.7,3932228161,212,9.5,3932228163,213,0.5,,,,,,,bhtwzoyaqug2p0ezr7c6wxuui,D. Devoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488741219,4,1,1,0,8,8mbtyq0has0uu0565fm9t5cdo,0,31.1,65.7,2022-12-03T12:31:00.468Z,2022-12-06T01:19:43Z,3932228149,141,90.6,3932228143,3,,3932228147,140,38.1,3932228145,56,Back,3932228153,213,1.2,3935649557,178,,3932228151,212,18.5,,,,b0hjaqg0on2lrpfcjxfyz7uqy,T. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
