id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/9/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2511931887,1,34,16,0,0,8w89tsles26jm12aoelwvlttt,1,0,0,2023-02-25T14:13:18.407Z,2023-02-25T14:14:36Z,4054449589,194,8uch2zjj8vxmfi2l544j5ipxx,4054449579,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4054449581,59,"1, 2, 22, 6, 4, 33, 24, 42, 10, 28, 12, 7, 8, 9, 11, 14, 20, 23",4054449585,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4054449593,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4054449577,30,"32sqctjujedqsab4xwy1pwlbd, 4k2uxd5rl1u8ctyxh3d765fqh, 8bx76kurepj0yqe9iixa0zyp6, 8uch2zjj8vxmfi2l544j5ipxx, 1vfuzp09s9oj95ruav4ln9ch6, 9r28zj6fz3z8dzojktwambsut, s2phyy6eoysnxu96rw2ivnx1, 3nwvlft28lt3fiirchylvwtm1, 2uids8ea8jv4r62psqj37x3e2, bhtwzoyaqug2p0ezr7c6wxuui, am8ws7w5mpzvbnb8bvvztbpwp, 3jitoqthsisleiprkhni7gycp, 5v9byi3v430ysdqb058eww3c9, 6evqqxq5e0y1uvigg6bss4frp, 299g43uwcj4dblia1bihagmol, 9qeg65oa5skmypxvt73vckfrp, 7wgynxj11urhizi5r3girip2i, enjlm4kjscxmu04a1tz7vo3fu",4054449583,130,8,4054449591,197,2083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511931939,1,34,16,0,0,8b523ujgl21tbc01me65q0aoh,1,0,0,2023-02-25T14:13:22.491Z,2023-02-25T14:13:22Z,4054449843,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4054449847,130,8,4054449851,194,dgzuswl2pnk7t03ts7nguholx,4054449855,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4054449841,30,"4905drgcc9husos98ppdup4gl, b7yfyzrvj7yjo48pu8faqnvft, a9352zsh3xr7rcxs0jmho7o8a, d3si5voqkdc8did5gkp67tg5w, 91f9qkusefgcrv2ri2h1nci96, 1244ja0ma2r0071i7d45t6yfp, 6v9kb953ugi8odu4tdly7v3yt, dgzuswl2pnk7t03ts7nguholx, 1uyg5c61jzqickqaegb07yk15, 28izur14k14lcgegg8qede7yt, 7fpcipp26a9fqes841ad7lh3p, 1feu2co3n49llnckcxffuo79x, ab2bx5qzhdzlduh46iacngbf9, 6b7fxcw7upr57pku6gf6dteqd, 6o9v88iiwvbulajrwpd7uvkr9, b7lmlxy1s3atzgtud5ofsc92h, coupcn8k43jf15nqge220qo5x, 6bejhzrjgg7dz6cp6s45rah91",4054449849,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4054449853,197,4779,4054449845,59,"1, 34, 3, 30, 6, 15, 7, 5, 27, 10, 33, 9, 11, 19, 25, 29, 31, 44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511979921,2,32,1,0,0,8w89tsles26jm12aoelwvlttt,1,0,0,2023-02-25T15:02:11.589Z,2023-02-27T21:49:44Z,4054686319,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511979947,2,32,1,0,0,8b523ujgl21tbc01me65q0aoh,1,0,0,2023-02-25T15:02:11.589Z,2023-02-25T15:02:14Z,4054686407,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511980023,3,1,1,0,0,8w89tsles26jm12aoelwvlttt,1,49.9,49.9,2023-02-25T15:02:11.629Z,2023-02-28T05:18:53Z,4054686805,140,33.6,4062889271,178,,4054686811,213,3.6,4054686809,212,19.1,4054686803,56,Back,4054686807,141,37.4,4054686813,279,S,,,,s2phyy6eoysnxu96rw2ivnx1,S. Kaikai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511980075,4,1,1,0,2,8w89tsles26jm12aoelwvlttt,1,33.6,37.4,2023-02-25T15:02:14.440Z,2023-02-28T05:18:59Z,4062889337,178,,4054687061,213,1.2,4054687057,141,66.4,4054687053,56,Back,4054687055,140,41.3,4054687059,212,21.3,,,,,,,1vfuzp09s9oj95ruav4ln9ch6,J. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511980193,5,1,1,0,5,8w89tsles26jm12aoelwvlttt,1,42.5,67.8,2023-02-25T15:02:16.828Z,2023-02-28T05:19:09Z,4062889443,178,,4054687613,141,90.8,4054687617,213,0.8,4054687615,212,21.9,4054687611,140,57.1,4054687609,56,Left,,,,,,,9r28zj6fz3z8dzojktwambsut,Z. Jules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511980259,6,1,1,0,6,8w89tsles26jm12aoelwvlttt,1,57.1,90.8,2023-02-25T15:02:18.584Z,2023-02-28T05:19:17Z,4054687943,213,5.4,4054687935,56,Center,4062889513,178,,4054687939,141,75.7,4054687941,212,13.8,4054687937,140,65.9,,,,,,,8bx76kurepj0yqe9iixa0zyp6,H. Lawrence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513364373,757,61,1,0,8,8w89tsles26jm12aoelwvlttt,0,73.7,77.2,2023-02-25T15:02:20.093Z,2023-02-28T05:19:31Z,4062889715,178,,4062013425,56,Center,,,,,,,,,,,,,,,,,,,2uids8ea8jv4r62psqj37x3e2,M. Eisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513364425,791,49,1,0,9,8b523ujgl21tbc01me65q0aoh,1,24.9,13.6,2023-02-25T15:02:21.185Z,2023-02-28T05:19:49Z,,,,,,,,,,,,,,,,,,,,,,,,,b7yfyzrvj7yjo48pu8faqnvft,H. Clarke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
