id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2475070841,1,34,16,0,0,3ptd7zlc5isrongig0wij2id4,1,0,0,2022-10-21T18:15:48.714Z,2022-10-21T18:57:24Z,3860324275,130,16,3860324277,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3860324269,30,"2xd9g0s3888o99iq0eb5j6ead, e2sj7bhk2s9du1bs1vza1b4k5, ddc712ebtmrrpvj4shekecus5, 69lg8jmug501h6biol5itk02y, 6kz7c7i4wzph7qlzi9nzt266t, 6l49pcwtyyv56v30g994nuz85, 8thtb5uqqv63f880cwhpc5zv9, bwu80wn3lca4x2txuelku0a21, bf7ph89zhr5y6rtct5k9bvqc4, 6kxph7ulzz58v8tm3aaomy1ka, 85vh43wsin67z2dj0iod12fop, ebsspe8jslej9a253w4xpf55h, 8y3obwxpwckjfl7hkrrg97sgl, f2d0i9t2qeyppfqrdv6xzc3px, h4x8lz5ou8esdao80mvls9yi, e01znd47zh4hk0g8jx67wzl9m, edro98mz0sqrfjed1o4bvl7md, 67j73dckmb73ntxo81hc840r9",3860324281,197,13091,3860324285,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3860324279,194,6kz7c7i4wzph7qlzi9nzt266t,3860324271,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3860324273,59,"1, 11, 7, 6, 33, 5, 12, 8, 23, 18, 17, 3, 4, 10, 15, 16, 19, 21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475070933,1,34,16,0,0,8b523ujgl21tbc01me65q0aoh,1,0,0,2022-10-21T18:16:00.756Z,2022-10-21T20:05:34Z,3860324729,194,dgzuswl2pnk7t03ts7nguholx,3860324733,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3860324721,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3860324723,59,"1, 7, 3, 4, 6, 44, 8, 5, 14, 11, 19, 2, 9, 10, 12, 29, 30, 31",3860324731,197,13815,3860324725,130,13,3860324727,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3860324719,30,"4905drgcc9husos98ppdup4gl, 6v9kb953ugi8odu4tdly7v3yt, a9352zsh3xr7rcxs0jmho7o8a, c4p70bri4hf1ktz4xfv5j87vt, 91f9qkusefgcrv2ri2h1nci96, 6bejhzrjgg7dz6cp6s45rah91, 7hduohz6mo32mbtdepyv5u7yt, dgzuswl2pnk7t03ts7nguholx, epoveky29f4wroi3w6p1xcyy1, ab2bx5qzhdzlduh46iacngbf9, 6b7fxcw7upr57pku6gf6dteqd, dp69i4w71wdxciwbgus5cmbpx, 1feu2co3n49llnckcxffuo79x, 28izur14k14lcgegg8qede7yt, 932abz8zmqv4ilfnmq7m2ew9h, b7lmlxy1s3atzgtud5ofsc92h, d3si5voqkdc8did5gkp67tg5w, coupcn8k43jf15nqge220qo5x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475093957,2,32,1,0,0,3ptd7zlc5isrongig0wij2id4,1,0,0,2022-10-21T19:00:57.078Z,2022-10-21T19:00:57Z,3860448299,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475093967,2,32,1,0,0,8b523ujgl21tbc01me65q0aoh,1,0,0,2022-10-21T19:00:57.078Z,2022-10-24T03:45:42Z,3860448365,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475093975,3,1,1,0,0,3ptd7zlc5isrongig0wij2id4,1,49.9,49.9,2022-10-21T19:00:57.157Z,2022-10-24T04:25:00Z,3860448417,279,S,3860448415,213,3.0,3860448407,56,Back,3869263067,178,,3860448409,140,37.0,3860448413,212,13.8,3860448411,141,53.4,,,,bwu80wn3lca4x2txuelku0a21,M. Bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475093995,4,1,1,0,1,3ptd7zlc5isrongig0wij2id4,1,44.7,53.9,2022-10-21T19:00:58.859Z,2022-10-24T04:25:11Z,3860448519,141,75.6,3860448523,213,1.8,3860448521,212,15.0,3860448515,56,Back,3869263205,178,,3860448517,140,42.1,,,,,,,8thtb5uqqv63f880cwhpc5zv9,K. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475094025,5,1,1,0,4,3ptd7zlc5isrongig0wij2id4,1,43.5,80,2022-10-21T19:01:01.510Z,2022-10-24T04:25:17Z,3860448709,213,6.2,3869263265,178,,3860448701,56,Center,3867854247,155,,3860448703,140,76.5,3860448711,1,,3860448705,141,77.0,3860448707,212,34.7,69lg8jmug501h6biol5itk02y,E. Cashin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475094029,6,61,1,0,7,3ptd7zlc5isrongig0wij2id4,0,75.4,77.3,2022-10-21T19:01:04.205Z,2022-10-24T04:25:25Z,3860448719,56,Center,3869263361,178,,3869263359,21,,,,,,,,,,,,,,,,,bf7ph89zhr5y6rtct5k9bvqc4,W. Osula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475094043,3,1,1,0,7,8b523ujgl21tbc01me65q0aoh,0,28.3,29.8,2022-10-21T19:01:05.029Z,2022-10-24T04:25:37Z,3869263493,178,,3860448815,141,29.5,3860448817,212,11.2,3860448819,213,6.3,3860448811,56,Back,3860448813,140,39.0,,,,,,,7hduohz6mo32mbtdepyv5u7yt,L. Evans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475094111,7,4,1,0,12,3ptd7zlc5isrongig0wij2id4,1,64.2,73.2,2022-10-21T19:01:09.476Z,2022-10-24T04:25:49Z,3860449159,13,,3860449169,286,,3867855927,295,,3860449161,56,Center,3860449163,152,,3860449309,233,4,,,,,,,8thtb5uqqv63f880cwhpc5zv9,K. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475094129,4,4,1,0,12,8b523ujgl21tbc01me65q0aoh,0,35.8,26.8,2022-10-21T19:01:09.477Z,2022-10-24T04:25:49Z,3860449387,233,7,3860449269,56,Back,3860449275,285,,3867856205,295,,3869263605,178,,3860449271,152,,3860449267,13,,,,,ab2bx5qzhdzlduh46iacngbf9,M. Harness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475094459,8,1,1,0,38,3ptd7zlc5isrongig0wij2id4,0,62.5,78.5,2022-10-21T19:01:35.872Z,2022-10-24T04:25:58Z,3860451013,56,Center,3860451009,155,,3869263733,178,,3860451021,213,5.5,3860451017,141,39.4,3860451011,152,,3860451019,212,39.0,3860451007,5,,8thtb5uqqv63f880cwhpc5zv9,K. Smith,3860451023,1,3860451015,140,89.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475094485,5,12,1,0,41,8b523ujgl21tbc01me65q0aoh,1,13,57.2,2022-10-21T19:01:38.133Z,2022-10-24T04:26:09Z,3860451149,56,Back,3860451157,213,1.4,3860451155,212,18.2,3860451183,15,,3860451151,140,15.1,3869263821,388,,3860451153,141,83.8,,,,c4p70bri4hf1ktz4xfv5j87vt,G. Edmundson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475094525,9,1,1,0,45,3ptd7zlc5isrongig0wij2id4,1,94.8,16.5,2022-10-21T19:01:42.664Z,2022-10-24T04:26:14Z,3860451429,212,18.7,3860451431,213,1.8,3860451421,155,,3867857809,224,,3860451425,140,90.1,3867857811,20,,3860451423,56,Center,3860451419,2,,85vh43wsin67z2dj0iod12fop,L. Sibley,3860451427,141,3869263883,178,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475094527,10,61,1,0,46,3ptd7zlc5isrongig0wij2id4,0,89.6,44,2022-10-21T19:01:43.671Z,2022-10-24T04:26:21Z,3860451453,56,Center,3869263995,178,,,,,,,,,,,,,,,,,,,,69lg8jmug501h6biol5itk02y,E. Cashin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475126871,470,61,1,0,47,8b523ujgl21tbc01me65q0aoh,1,12.3,50.7,2022-10-21T19:01:44.175Z,2022-10-24T04:26:44Z,3869264281,178,,3869264279,21,,3860626205,56,Back,,,,,,,,,,,,,,,,6b7fxcw7upr57pku6gf6dteqd,K. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475094631,6,12,1,0,48,8b523ujgl21tbc01me65q0aoh,1,8.4,58.7,2022-10-21T19:01:45.495Z,2022-10-24T04:26:50Z,3860451985,212,43.3,3869264361,178,,3860451987,213,0.1,3860451979,56,Back,3860451983,141,68.2,3860451981,140,49.2,,,,,,,c4p70bri4hf1ktz4xfv5j87vt,G. Edmundson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475094639,7,45,1,0,54,8b523ujgl21tbc01me65q0aoh,0,44.8,71.1,2022-10-21T19:01:51.416Z,2022-10-24T04:26:57Z,3860452055,233,11,3860452013,285,,3860452011,56,Back,,,,,,,,,,,,,,,,dgzuswl2pnk7t03ts7nguholx,Sam Morsy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475094621,11,3,1,0,54,3ptd7zlc5isrongig0wij2id4,1,55.2,28.9,2022-10-21T19:01:51.416Z,2022-10-24T04:26:57Z,3860451925,56,Center,3860452031,233,7,3860451927,286,,3867860153,464,,3869264433,178,,,,,,,,,,,8thtb5uqqv63f880cwhpc5zv9,K. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475094629,12,50,1,0,56,3ptd7zlc5isrongig0wij2id4,1,66.8,32.4,2022-10-21T19:01:53.477Z,2022-10-24T04:27:10Z,3868196247,233,57,3867860867,286,,3860451969,56,Center,,,,,,,,,,,,,,,,8thtb5uqqv63f880cwhpc5zv9,K. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475098829,57,7,1,0,57,8b523ujgl21tbc01me65q0aoh,1,33.2,67.6,2022-10-21T19:01:54.179Z,2022-10-24T04:27:13Z,3867861079,285,,3867861303,384,,3868196239,233,12,3860474187,56,Back,3869264649,178,,,,,,,,,,,dgzuswl2pnk7t03ts7nguholx,Sam Morsy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
