id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,assist,qualifier/15/value,qualifier/18/value,qualifier/16/value
2488607935,1,34,16,0,0,dv9l02o316cd9hbkxaho2u12f,1,0,0,2022-12-02T19:00:14.017Z,2022-12-02T19:49:09Z,3931518071,197,16182,3931518061,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3931518067,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3931518069,194,4qg1mpymeaajx8gu7jycw5wph,3931518059,30,"3swij7ntrn9x9voc9clilgmvp, 7qnu4sb2a2vj7nw8gkvv1pxw5, f4p7kokn0a6epac4icy01l9lh, eg2xijdgtcaa44x57pjezy3ft, 1dzmlop3jwm8aeqxkmihjl7xm, 4qg1mpymeaajx8gu7jycw5wph, 3j78tgfptah530cydckvfsauh, enfxh6b65c9hx1rs0scszi2y2, adfgsbp3tv9wgatujcr9mfuju, 81d38h08s97e8kl7kxew6si5l, 56zd7s72x7izgeiybmmgc8acq, c1hj1hth3xj2f0ax3x6fdwj8q, ev42016zwnwiow3lbefukrbvt, 7djse28rpo31xno7d0exe5pzp, a993483h57leyjrkw3q0th905, 2nvu4o5lbowvig5ddb4563n8q, a65axspsu3w38f0dob3aibk5x, rqdgj7y5b0qjaxpz1i7k3a50",3931518065,130,13,3931518063,59,"18, 2, 27, 5, 39, 26, 8, 16, 9, 10, 12, 3, 6, 7, 14, 15, 20, 22",3931518073,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488607967,1,34,16,0,0,8xeuwzxnm7hdlbjjuezgfkz3w,1,0,0,2022-12-02T19:00:22.649Z,2022-12-02T19:00:22Z,3931518259,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3931518265,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3931518257,30,"af0te77bq4mgr7rkkqateiswl, b1or5u4dfuf4pvg7cgqnp3nxl, dhty303ilcb4cocqv68324xk9, 8f5io2957l6ye5u7bsan0ecfe, cqbxzfg7eb97z1rx01kms6ay1, 5h89f4rz70l545xkozdp99ck5, 2ykne43vtv8c00rvviyr3rre2, a06js9xdgcoqq2mjjp9bbozu2, 3ft5brlvxvw8otiyjppxkk6ad, ncyqchqipvfl6nhgecnw3giy, apgbqplqtvuc1dmdxi5gqhd04, dqgptypyedqzff38kn24en3s9, babqz0ziyoyw9ycgxh4stfh0p, 3nxrsmys3v8ci6xeqsx8yaac5, a69q0jj7tjwzxpo6b4i1ed3h1, 3ujxqdy1k9w7hf33scf16hm8l, 6s5n6ri7p16dbqb35b2dpl0wl, 3hjfotlalegyuxqoidz99f1ii",3931518263,130,8,3931518271,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3931518261,59,"1, 21, 4, 15, 16, 22, 17, 20, 9, 7, 25, 2, 3, 5, 6, 11, 12, 23",3931518267,194,af0te77bq4mgr7rkkqateiswl,3931518269,197,4867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488615553,2,32,1,0,0,dv9l02o316cd9hbkxaho2u12f,1,0,0,2022-12-02T19:45:21.440Z,2022-12-02T19:45:21Z,3931563933,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488615557,2,32,1,0,0,8xeuwzxnm7hdlbjjuezgfkz3w,1,0,0,2022-12-02T19:45:21.440Z,2022-12-04T22:34:51Z,3931563949,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488615561,3,1,1,0,0,8xeuwzxnm7hdlbjjuezgfkz3w,1,50,50.1,2022-12-02T19:45:21.456Z,2022-12-05T05:02:39Z,3931563971,213,3.3,3934886317,178,,3931563969,212,12.2,3931563967,141,47.8,3931563965,140,38.5,3931563963,56,Back,3931563973,279,S,,,,apgbqplqtvuc1dmdxi5gqhd04,A. Mayor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488615565,4,1,1,0,1,8xeuwzxnm7hdlbjjuezgfkz3w,0,31.9,44,2022-12-02T19:45:23.133Z,2022-12-05T05:02:48Z,3931563993,213,0.0,3931563987,140,44.8,3931563989,141,44.8,3931563985,56,Back,3934886373,178,,3931563995,1,,3931564021,233,3,3931564019,236,,a06js9xdgcoqq2mjjp9bbozu2,L. Shaw,3931563991,212,13.6,3931564025,286,3931563983,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488615567,3,74,1,0,1,dv9l02o316cd9hbkxaho2u12f,1,56.2,52.8,2022-12-02T19:45:23.344Z,2022-12-05T05:03:18Z,3931564027,233,4,3931563997,56,Center,3931563999,285,,3934886553,21,,3934886555,178,,,,,,,,,,,81d38h08s97e8kl7kxew6si5l,S. Nombe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488615617,5,52,1,0,12,8xeuwzxnm7hdlbjjuezgfkz3w,1,14.5,34.8,2022-12-02T19:45:33.485Z,2022-12-05T05:03:26Z,3933649999,377,,3934886613,178,,,,,,,,,,,,,,,,,,,,af0te77bq4mgr7rkkqateiswl,C. Ripley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488615649,6,80,1,0,15,8xeuwzxnm7hdlbjjuezgfkz3w,0,14.6,47.3,2022-12-02T19:45:37.385Z,2022-12-05T05:04:22Z,3934887017,178,,,,,,,,,,,,,,,,,,,,,,,af0te77bq4mgr7rkkqateiswl,C. Ripley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488615679,7,1,1,0,19,8xeuwzxnm7hdlbjjuezgfkz3w,0,20.6,41.5,2022-12-02T19:45:40.754Z,2022-12-05T05:04:30Z,3931564681,213,6.2,3931564673,56,Center,3931564675,140,61.1,3931564683,1,,3934887081,178,,3931564669,157,,3931564679,212,42.9,3931564677,141,33.6,af0te77bq4mgr7rkkqateiswl,C. Ripley,3931564671,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
