id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/12/value,qualifier/14/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2511978885,5,44,1,0,25,dv9l02o316cd9hbkxaho2u12f,0,53.9,5.8,2023-02-25T15:01:39.060Z,2023-02-28T01:57:42Z,4054681645,233,6,4054681447,286,,4054681445,56,Right,,,,,,,,,,,,,,,,56zd7s72x7izgeiybmmgc8acq,J. Key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511978945,7,1,1,0,25,dmz37633qbsvl7gncq5s51yjw,0,46.9,94.7,2023-02-25T15:01:39.082Z,2023-02-28T11:46:14Z,4054681669,3,,4054681671,56,Left,4054681675,141,100.0,4054681679,213,0.6,4054681673,140,53.2,4054681677,212,7.9,4062763397,388,,,,,9c3iyi7y3hdraso115kxmd87p,L. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511979129,6,5,1,0,26,dv9l02o316cd9hbkxaho2u12f,1,48.3,-1.4,2023-02-25T15:01:39.707Z,2023-02-28T01:58:45Z,4054682549,347,,4054682581,233,8,4054682547,56,Back,,,,,,,,,,,,,,,,56zd7s72x7izgeiybmmgc8acq,J. Key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511978957,8,5,1,0,26,dmz37633qbsvl7gncq5s51yjw,0,51.7,101.4,2023-02-25T15:01:39.707Z,2023-02-28T01:58:45Z,4054681741,347,,4054682657,233,6,4054681739,56,Left,,,,,,,,,,,,,,,,9c3iyi7y3hdraso115kxmd87p,L. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511979183,7,1,1,0,34,dv9l02o316cd9hbkxaho2u12f,1,53.6,0,2023-02-25T15:01:47.557Z,2023-02-28T01:58:51Z,4054682773,107,,4054682779,141,10.4,4054682777,140,52.8,4054682781,212,8.5,4054682783,213,1.7,4054682775,56,Right,,,,,,,4qg1mpymeaajx8gu7jycw5wph,P. Sweeney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511979253,8,1,1,0,34,dv9l02o316cd9hbkxaho2u12f,0,52.8,10.4,2023-02-25T15:01:48.463Z,2023-02-28T01:58:57Z,4054683103,212,8.3,4054683099,140,59.6,4054683097,56,Right,4054683101,141,4.1,4054683105,213,5.7,4062763593,178,,,,,,,,ec2bbo1w8byyuk15u9xrbzmqd,K. McDonald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511979233,9,8,1,0,35,dmz37633qbsvl7gncq5s51yjw,1,41,96,2023-02-25T15:01:49.292Z,2023-02-28T01:59:02Z,4054683029,56,Back,4061354187,385,,4062763625,178,,,,,,,,,,,,,,,,,5kyyaapya2gv5awlfgckmwpux,S. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511979587,9,5,1,0,36,dv9l02o316cd9hbkxaho2u12f,1,55.9,-2,2023-02-25T15:01:49.944Z,2023-02-28T01:59:06Z,4054684643,347,,4054684641,56,Right,4054684683,233,10,,,,,,,,,,,,,,,,ec2bbo1w8byyuk15u9xrbzmqd,K. McDonald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511979285,10,5,1,0,36,dmz37633qbsvl7gncq5s51yjw,0,44.1,102,2023-02-25T15:01:49.944Z,2023-02-28T01:59:06Z,4054683265,56,Back,4054684729,233,9,4054683267,347,,,,,,,,,,,,,,,,,5kyyaapya2gv5awlfgckmwpux,S. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511979661,10,1,1,0,48,dv9l02o316cd9hbkxaho2u12f,1,57.1,0,2023-02-25T15:02:02.121Z,2023-02-28T01:59:12Z,4054684991,56,Right,4054684995,141,9.2,4054684989,107,,4054684997,212,8.1,4054684999,213,1.9,4054684993,140,54.6,,,,,,,4qg1mpymeaajx8gu7jycw5wph,P. Sweeney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
