id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value
2518277827,1,34,16,0,0,8w89tsles26jm12aoelwvlttt,1,0,0,2023-03-11T14:15:08.216Z,2023-03-11T15:07:18Z,4088024123,59,"1, 24, 21, 3, 4, 2, 28, 42, 10, 16, 11, 6, 8, 9, 14, 22, 23, 29",4088024133,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4088024119,30,"32sqctjujedqsab4xwy1pwlbd, s2phyy6eoysnxu96rw2ivnx1, 9j8icoctjp1icwle91r62q76x, 5obqs1ezswoc3ns0c9k4qai8l, 1vfuzp09s9oj95ruav4ln9ch6, 4k2uxd5rl1u8ctyxh3d765fqh, bhtwzoyaqug2p0ezr7c6wxuui, 3nwvlft28lt3fiirchylvwtm1, 2uids8ea8jv4r62psqj37x3e2, 9mgcugydtvdr5wk7qii9wpd2i, 299g43uwcj4dblia1bihagmol, 8uch2zjj8vxmfi2l544j5ipxx, 5v9byi3v430ysdqb058eww3c9, 6evqqxq5e0y1uvigg6bss4frp, 9qeg65oa5skmypxvt73vckfrp, 8bx76kurepj0yqe9iixa0zyp6, enjlm4kjscxmu04a1tz7vo3fu, 12zn29b1dqhexzrkvm43yuiac",4088024131,197,2083,4088024127,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4088024125,130,13,4088024129,194,5obqs1ezswoc3ns0c9k4qai8l,4088024121,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518277847,1,34,16,0,0,dmz37633qbsvl7gncq5s51yjw,1,0,0,2023-03-11T14:15:09.097Z,2023-03-11T14:15:09Z,4088024237,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4088024255,197,17032,4088024235,30,"3j589r3jhjkgpxxopsfit7aad, 58yhuku61yc06xpc55v5cdtec, 2oqi7v6d676hbe9i9agdl9ckp, 9c3iyi7y3hdraso115kxmd87p, 6s4sb4st1ploeraxawlckr4r9, asy3qn4557iy3r55yl4v9xj9x, b6ctnwazqrxkw1639gn3vbahh, e3ff2af2lxs0rl8c4r5ns4wd1, 7b7ca1dklnp7reqcs5s4aauei, 5kyyaapya2gv5awlfgckmwpux, 4lws9jepuxzs33zbt3w1ff9ih, 61aryp2zoj2ymcd318t9i70lx, 9mshr96m8q37ng7w30rvhkl3p, 886i2kpcsn38tt7wqios1ip5, b3cehdu46pljqap9xw1j7pcyx, 2u4m2ja4yhgtqjgwns2om5y7e, c48yjuxzle51y3k7kr1fcyk4q, aral6zvx8qxkfqkqwb7ldfk5x",4088024259,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4088024249,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4088024253,194,e3ff2af2lxs0rl8c4r5ns4wd1,4088024241,59,"1, 28, 7, 6, 21, 23, 24, 4, 14, 10, 18, 2, 8, 25, 26, 27, 42, 9",4088024245,130,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518322633,2,32,1,0,0,dmz37633qbsvl7gncq5s51yjw,1,0,0,2023-03-11T15:01:24.675Z,2023-03-13T13:34:01Z,4088254961,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518322621,2,32,1,0,0,8w89tsles26jm12aoelwvlttt,1,0,0,2023-03-11T15:01:24.675Z,2023-03-13T11:13:47Z,4088254905,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518322671,3,1,1,0,0,dmz37633qbsvl7gncq5s51yjw,1,49.4,51.8,2023-03-11T15:01:24.682Z,2023-03-14T12:39:05Z,4088255145,279,S,4088255141,212,24.7,4097770753,178,,4088255139,141,50.7,4088255143,213,3.2,4088255137,140,25.9,4088255135,56,Back,,,,4lws9jepuxzs33zbt3w1ff9ih,S. Tracey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518323035,4,1,1,0,5,dmz37633qbsvl7gncq5s51yjw,1,25.4,49.3,2023-03-11T15:01:30.370Z,2023-03-14T12:39:43Z,4097771285,178,,4088256973,213,6.0,4088256959,157,,4088256963,140,72.2,4088256977,1,,4088256969,212,50.7,4088256961,56,Center,4088256967,141,30.9,3j589r3jhjkgpxxopsfit7aad,D. Mitov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518323065,5,1,1,0,10,dmz37633qbsvl7gncq5s51yjw,0,76.2,11.9,2023-03-11T15:01:35.002Z,2023-03-14T12:39:52Z,4088257153,140,72.9,4088257149,3,,4097771427,388,,4088257155,141,16.7,4088257157,212,4.8,4088257151,56,Right,4088257159,213,2.4,,,,58yhuku61yc06xpc55v5cdtec,L. Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518323047,3,49,1,0,11,8w89tsles26jm12aoelwvlttt,1,20.7,87.7,2023-03-11T15:01:35.962Z,2023-03-14T12:40:04Z,,,,,,,,,,,,,,,,,,,,,,,,,9j8icoctjp1icwle91r62q76x,D. Harvie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518323097,4,1,1,0,11,8w89tsles26jm12aoelwvlttt,0,20.7,87.7,2023-03-11T15:01:36.007Z,2023-03-14T12:40:01Z,4097771611,178,,4088257309,157,,4088257313,140,33.0,4088257321,1,,4088257317,212,16.2,4088257315,141,100.0,4088257319,213,0.6,4088257311,56,Back,9j8icoctjp1icwle91r62q76x,D. Harvie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518323105,5,5,1,0,13,8w89tsles26jm12aoelwvlttt,0,32.2,101.7,2023-03-11T15:01:38.200Z,2023-03-14T12:40:08Z,4088257353,347,,4088258495,233,6,4088257351,56,Back,,,,,,,,,,,,,,,,2uids8ea8jv4r62psqj37x3e2,M. Eisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518323281,6,5,1,0,13,dmz37633qbsvl7gncq5s51yjw,1,67.8,-1.7,2023-03-11T15:01:38.200Z,2023-03-14T12:40:08Z,4088258447,233,5,4088258351,56,Right,4088258353,347,,,,,,,,,,,,,,,,,58yhuku61yc06xpc55v5cdtec,L. Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
