id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,keyPass,qualifier/14/value,qualifier/19/value,assist,qualifier/17/value
2484556579,1,34,16,0,0,8b523ujgl21tbc01me65q0aoh,1,0,0,2022-11-12T14:13:40.072Z,2022-11-12T14:13:40Z,3910231925,59,"1, 7, 3, 4, 6, 44, 30, 5, 9, 10, 11, 2, 15, 19, 24, 28, 29, 31",3910231921,30,"4905drgcc9husos98ppdup4gl, 6v9kb953ugi8odu4tdly7v3yt, a9352zsh3xr7rcxs0jmho7o8a, c4p70bri4hf1ktz4xfv5j87vt, 91f9qkusefgcrv2ri2h1nci96, 6bejhzrjgg7dz6cp6s45rah91, d3si5voqkdc8did5gkp67tg5w, dgzuswl2pnk7t03ts7nguholx, 1feu2co3n49llnckcxffuo79x, 28izur14k14lcgegg8qede7yt, ab2bx5qzhdzlduh46iacngbf9, dp69i4w71wdxciwbgus5cmbpx, 1244ja0ma2r0071i7d45t6yfp, 6b7fxcw7upr57pku6gf6dteqd, 1uv1l0l2zhrv5rjb9dgko0r1l, 683w7bqk233kdcznry98ld23t, b7lmlxy1s3atzgtud5ofsc92h, coupcn8k43jf15nqge220qo5x",3910231927,130,17,3910231931,194,dgzuswl2pnk7t03ts7nguholx,3910231935,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3910231933,197,4778,3910231923,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3910231929,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484556587,1,34,16,0,0,fvr504m6gaxsfmtx4fwm7iq1,1,0,0,2022-11-12T14:13:40.115Z,2022-11-12T15:04:56Z,3910231975,130,18,3910231983,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3910231971,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3910231977,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3910231969,30,"dtl2jirk97xct4idsoj2vxbs9, cjwflve6ukph4h2az1irm099l, eslpks0nl5y4vnn6xi13iuqqx, ab7t8dk9884hrwa88o41wq8dl, af7cmpeqlk4lcxz3bxgzjh8lx, 75c432elegprf4f6hn72icset, btlomqnhw2ft72iwg7xbaoh2i, 61allnul4qlvl9s6wf0nehped, 8ceatyytb6gk5odzls21u2w2x, cqcwoymcrgf7wdi6091zplecp, 1nvaqc5633cmmgqu2bpvly5ex, 6n2iaeukutepfiee2nvfpvofe, ea28jq8w3nc9koizvgffy5a7d, 294qmhvll5kdyph3bfsc7v1m1, c0e79rr75bz36j1v4lr28aa96, dz4l89zgzj6zidxaerceesiga, 8e7i5qtbmz3ikj050mf4ef4h6, 9fdbjgbp780ql3ugygbuhie3t",3910231981,197,4843,3910231973,59,"1, 32, 3, 6, 5, 2, 23, 8, 36, 9, 30, 4, 7, 11, 16, 18, 19, 20",3910231979,194,75c432elegprf4f6hn72icset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484600227,2,32,1,0,0,fvr504m6gaxsfmtx4fwm7iq1,1,0,0,2022-11-12T15:03:10.522Z,2022-11-12T15:03:10Z,3910455707,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484600255,2,32,1,0,0,8b523ujgl21tbc01me65q0aoh,1,0,0,2022-11-12T15:03:10.522Z,2022-11-14T18:49:53Z,3910455791,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484600311,3,1,1,0,0,8b523ujgl21tbc01me65q0aoh,1,50,50.3,2022-11-12T15:03:10.533Z,2022-11-14T18:56:42Z,3910456041,279,S,3910456033,141,53.2,3910456029,56,Back,3917041209,178,,3910456039,213,3.0,3910456035,212,20.3,3910456031,140,30.8,,,,28izur14k14lcgegg8qede7yt,C. Chaplin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484600469,4,1,1,0,3,8b523ujgl21tbc01me65q0aoh,0,26.6,58.8,2022-11-12T15:03:13.582Z,2022-11-14T18:56:47Z,3910456757,212,48.4,3910456761,1,,3910456751,56,Left,3910456755,141,93.0,3910456759,213,0.5,3916671817,155,,3917041277,178,,3910456753,140,67.0,91f9qkusefgcrv2ri2h1nci96,L. Woolfenden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485778341,666,44,1,0,6,fvr504m6gaxsfmtx4fwm7iq1,1,28.5,19.9,2022-11-12T15:03:16.748Z,2022-11-15T05:59:24Z,3916673005,285,,3916910243,233,1105,3916673003,56,Back,,,,,,,,,,,,,,,,75c432elegprf4f6hn72icset,S. Long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485778249,1105,44,1,0,6,8b523ujgl21tbc01me65q0aoh,0,71.5,80.1,2022-11-12T15:03:16.749Z,2022-11-14T18:56:50Z,3916672469,56,Left,3916910247,233,666,3916672471,286,,,,,,,,,,,,,,,,,1feu2co3n49llnckcxffuo79x,F. Ladapo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484600503,3,1,1,0,6,fvr504m6gaxsfmtx4fwm7iq1,0,26.3,6.2,2022-11-12T15:03:16.850Z,2022-11-15T05:59:24Z,3910456953,212,25.7,3910456945,3,,3910456947,56,Back,3917041325,178,,3910456949,140,48.9,3910456955,213,0.4,3910456951,141,20.9,,,,75c432elegprf4f6hn72icset,S. Long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484600555,5,1,1,0,8,8b523ujgl21tbc01me65q0aoh,0,59.2,73.3,2022-11-12T15:03:19.087Z,2022-11-14T18:56:59Z,3910457227,212,12.7,3910457215,56,Left,3910457219,140,70.3,3910457223,141,80.9,3910457229,213,0.4,3917041379,178,,,,,,,,dgzuswl2pnk7t03ts7nguholx,Sam Morsy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
