id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,keyPass,qualifier/13/value,qualifier/12/value,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId
2545004245,1,34,16,0,0,5g1fnexeromjl0lvnxp8hpnhi,1,0,0,2023-05-07T10:15:26.110Z,2023-05-07T11:00:39Z,4257808413,194,5udpap0himq2ggsw4f0o5hqdx,4257808401,30,"82h98ebusz83rox95oi9kafh1, 5udpap0himq2ggsw4f0o5hqdx, 4lz9m2nwif7tql9hqsv2u7vft, 5a86e1pl8b7ibmrkz3h6gs1yh, wuidadmmyp6xcztp1lxdxg4p, oe0lbxtc4qftnd886dzfm385, 2q6bsyszm27v5uvs30j5ty311, ab9z3kubalp5l33vbi4a8n0iy, 6rzq8xkkst4hgbh2ysj52gwyx, 944ptuekuetkjifbeaycqcoh5, alhqwxs7t2pxxxuztmvy1ibpx, 9w0nk2mz77jqc62v4gv1h0vkl, ck0ialh1trb7rflysbsm6g6vp, 4xxoasz03erxlyonu2t8y5fqh, 4mjzjj2p0pzyw0hcq4no9y0o9, 4cyf8fcefkz6433g76okyd65m, 6q0zzgnbbzsbubnekye5dunai, ba8qp1eswz0kzcr0245r7q8kp",4257808417,197,16367,4257808407,130,17,4257808409,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4257808405,59,"25, 8, 17, 3, 6, 5, 4, 20, 11, 26, 10, 9, 15, 16, 18, 21, 28, 32",4257808421,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4257808403,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545004361,1,34,16,0,0,ejm092fnt9zoxbpuklzd52ji8,1,0,0,2023-05-07T10:15:48.557Z,2023-05-07T13:06:23Z,4257809147,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4257809145,30,"41lv87i23sxmdyrs4xxh96m3u, 3avfwbde1n5ti7w690ve0cges, 6ln898p7stih8l7ikzloet0b9, 5ozfcga88glwzazkg65ahwa8l, 89agv6797txmlw6m4nyhhsa2, 6xjftfuwhkbs39xfc3phdbyl1, agvyoqarq5zhflge7bm1hn36d, a1muz32ocg2650ll5kjc02u39, b0l7hknmc27qttjxv094mi5zp, 1yzyn48jb8yd8bc0xywrhg0r9, 4m9vn1q30f1c8ksiyxtei63ft, a2gluxzt6a3z5xwgu2q482rqh, 71pv32h5sxhopm6aetxjm50ph, 5lngv6xyqc7xanqv8ytifc3px, 4y3hm9ljv62c5jswanl0gk5, 1etperk4v88ohoddjdb5dj2l1, 7uyeblt67sq5s7zhhv4u8es5w, 1788amerrk9fg3f9qddyxz8x5",4257809149,59,"1, 29, 7, 11, 5, 6, 14, 10, 9, 19, 26, 2, 13, 20, 23, 25, 31, 33",4257809151,130,13,4257809157,197,4680,4257809159,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4257809155,194,a1muz32ocg2650ll5kjc02u39,4257809153,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545028323,2,32,1,0,0,ejm092fnt9zoxbpuklzd52ji8,1,0,0,2023-05-07T11:00:12.964Z,2023-05-09T12:28:50Z,4257938755,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545028327,2,32,1,0,0,5g1fnexeromjl0lvnxp8hpnhi,1,0,0,2023-05-07T11:00:12.964Z,2023-05-07T11:00:17Z,4257938769,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545028341,3,1,1,0,0,5g1fnexeromjl0lvnxp8hpnhi,1,50,50,2023-05-07T11:00:12.967Z,2023-05-09T19:59:11Z,4257938831,212,9.6,4265277819,178,,4257938829,141,48.2,4257938833,213,3.3,4257938825,56,Back,4257938827,140,40.9,4257938835,279,S,,,,944ptuekuetkjifbeaycqcoh5,C. Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545028351,4,1,1,0,1,5g1fnexeromjl0lvnxp8hpnhi,0,40.9,48.2,2023-05-07T11:00:14.295Z,2023-05-09T19:59:15Z,4257939057,1,,4257938903,213,0.4,4257938895,56,Left,4257938899,141,87.1,4257938897,140,100.0,4257938901,212,68.4,4257938893,155,,4265277879,178,,ab9z3kubalp5l33vbi4a8n0iy,A. Randell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545028399,3,5,1,0,7,ejm092fnt9zoxbpuklzd52ji8,1,-1,16,2023-05-07T11:00:20.800Z,2023-05-09T19:59:18Z,4257939127,346,,4257939125,56,Back,4257939153,233,5,,,,,,,,,,,,,,,,b0l7hknmc27qttjxv094mi5zp,J. Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545028387,5,5,1,0,7,5g1fnexeromjl0lvnxp8hpnhi,0,101,84,2023-05-07T11:00:20.800Z,2023-05-09T19:59:18Z,4257939171,233,3,4257939059,56,Left,4257939063,346,,,,,,,,,,,,,,,,,ab9z3kubalp5l33vbi4a8n0iy,A. Randell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545028747,4,1,1,0,36,ejm092fnt9zoxbpuklzd52ji8,0,4.1,41.3,2023-05-07T11:00:49.098Z,2023-05-09T19:59:22Z,4257940973,124,,4257940981,212,71.2,4257940975,56,Center,4257940979,141,33.7,4257940977,140,71.7,4257940983,213,6.2,4257940985,1,,4257940987,74,,41lv87i23sxmdyrs4xxh96m3u,A. Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545755777,636,44,1,0,39,5g1fnexeromjl0lvnxp8hpnhi,1,23.1,52.7,2023-05-07T11:00:52.739Z,2023-05-09T21:25:51Z,4261792853,56,Back,4262111893,233,813,4261792855,285,,,,,,,,,,,,,,,,,wuidadmmyp6xcztp1lxdxg4p,D. Scarr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545755789,813,44,1,0,39,ejm092fnt9zoxbpuklzd52ji8,0,76.9,47.3,2023-05-07T11:00:52.740Z,2023-05-09T19:59:27Z,4261792913,286,,4261792911,56,Center,4262111901,233,636,,,,,,,,,,,,,,,,b0l7hknmc27qttjxv094mi5zp,J. Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545028767,6,1,1,0,39,5g1fnexeromjl0lvnxp8hpnhi,0,37.5,58.4,2023-05-07T11:00:52.786Z,2023-05-09T21:25:51Z,4265278049,388,,4257941091,213,5.4,4257941081,3,,4257941087,141,42.2,4257941085,140,46.7,4257941089,212,14.7,4257941083,56,Back,,,,wuidadmmyp6xcztp1lxdxg4p,D. Scarr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545028795,5,1,1,0,41,ejm092fnt9zoxbpuklzd52ji8,0,54.4,62.3,2023-05-07T11:00:54.595Z,2023-05-09T19:59:37Z,4257941239,213,5.6,4257941237,212,30.9,4257941223,56,Center,4257941225,140,77.9,4257941221,3,,4257941231,141,34.9,4265278173,178,,,,,6ln898p7stih8l7ikzloet0b9,D. Worrall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545028813,7,12,1,0,43,5g1fnexeromjl0lvnxp8hpnhi,1,37.3,68.7,2023-05-07T11:00:56.614Z,2023-05-09T19:59:44Z,4257941299,56,Back,4257941303,141,79.4,4265278235,388,,4261796487,15,,4257941307,213,0.6,4257941305,212,12.5,4257941301,140,47.0,,,,5a86e1pl8b7ibmrkz3h6gs1yh,M. Gillesphey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545028875,6,3,1,0,47,ejm092fnt9zoxbpuklzd52ji8,0,65.4,3.4,2023-05-07T11:01:00.241Z,2023-05-09T19:59:50Z,4265278305,178,,4261797603,465,,4257941665,56,Right,4261797399,211,,4261797307,286,,,,,,,,,,,3avfwbde1n5ti7w690ve0cges,J. Plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545756799,637,49,1,0,50,5g1fnexeromjl0lvnxp8hpnhi,1,7,86.4,2023-05-07T11:01:03.427Z,2023-05-09T19:59:57Z,,,,,,,,,,,,,,,,,,,,,,,,,5a86e1pl8b7ibmrkz3h6gs1yh,M. Gillesphey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545028913,8,1,1,0,50,5g1fnexeromjl0lvnxp8hpnhi,0,10.4,92.7,2023-05-07T11:01:03.535Z,2023-05-09T20:00:02Z,4265278431,178,,4257941891,212,51.6,4257941893,213,6.3,4257941883,157,,4257941889,141,91.2,4257941887,140,59.5,4257941885,56,Left,4257941895,1,,5a86e1pl8b7ibmrkz3h6gs1yh,M. Gillesphey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545028927,7,44,1,0,53,ejm092fnt9zoxbpuklzd52ji8,1,39.2,10.5,2023-05-07T11:01:06.532Z,2023-05-09T21:25:51Z,4257941925,285,,4257941923,56,Back,4257941979,233,9,,,,,,,,,,,,,,,,89agv6797txmlw6m4nyhhsa2,A. Donnelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
