id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,assist,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId,keyPass,qualifier/15/value,qualifier/16/value
2490037951,1,34,16,0,0,5jjqm8h6qm1w4s5f93uubhdrj,1,0,0,2022-12-10T11:45:06.245Z,2022-12-10T12:35:54Z,3939092165,197,16179,3939092161,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3939092157,59,"1, 23, 3, 2, 4, 6, 8, 22, 9, 14, 11, 5, 7, 10, 16, 17, 24, 28",3939092153,30,"2f49etxdi4l2tsobpmsg5i5pm, kxfjnow9ky2mxefjujv392ol, 2k02tiy3x2a7o11h0kxw33fmd, cee3wxxx7lrluzh7kog7g07ah, em0i6q0h6q80melaxwx2nvz3e, 6cfr9qa1khqzv5oxsi8d3ug9h, 4y9ghbncgfgpv4qd604g8jw15, ewtroels9b5fc9hv9c2laj90q, dxndu5lwom3srja7xhiadmdw5, e8whj7tdfmuk66shr30htmhud, 37ea7qzvbzt3zr4y2q4o5boq, azp9bk80ozwjy2xx7tvqot5gp, 9iwkidg6lykej8vrhfz6z4ct1, 6ictgtdi9ogl7n8dqh4dm1fxl, czsjz7u9u01z5a4pyue7tu5wq, 3e79d5436l57bfj3ywbjvfr6y, 1zpxu396rz1b3gymuheg69h3p, 45i2fz3wya2x8gsa1hn8yd65m",3939092155,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3939092159,130,12,3939092167,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3939092163,194,dxndu5lwom3srja7xhiadmdw5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490038013,1,34,16,0,0,8b523ujgl21tbc01me65q0aoh,1,0,0,2022-12-10T11:45:14.345Z,2022-12-10T12:39:42Z,3939092511,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3939092515,197,4778,3939092509,130,17,3939092505,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3939092507,59,"1, 7, 3, 15, 6, 44, 5, 30, 19, 23, 10, 2, 9, 18, 21, 24, 29, 31",3939092503,30,"4905drgcc9husos98ppdup4gl, 6v9kb953ugi8odu4tdly7v3yt, a9352zsh3xr7rcxs0jmho7o8a, 1244ja0ma2r0071i7d45t6yfp, 91f9qkusefgcrv2ri2h1nci96, 6bejhzrjgg7dz6cp6s45rah91, dgzuswl2pnk7t03ts7nguholx, d3si5voqkdc8did5gkp67tg5w, 6b7fxcw7upr57pku6gf6dteqd, 3fwxh0c612fj1flqrbozvja39, 28izur14k14lcgegg8qede7yt, dp69i4w71wdxciwbgus5cmbpx, 1feu2co3n49llnckcxffuo79x, byem8e04h7nlgk9ythcswoley, 1oeekgzkzju2jce7651vbdrrp, 1uv1l0l2zhrv5rjb9dgko0r1l, b7lmlxy1s3atzgtud5ofsc92h, coupcn8k43jf15nqge220qo5x",3939092513,194,dgzuswl2pnk7t03ts7nguholx,3939092517,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490059465,2,32,1,0,0,8b523ujgl21tbc01me65q0aoh,1,0,0,2022-12-10T12:32:32.779Z,2022-12-13T04:08:01Z,3939207349,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490059473,2,32,1,0,0,5jjqm8h6qm1w4s5f93uubhdrj,1,0,0,2022-12-10T12:32:32.779Z,2022-12-10T12:32:33Z,3939207385,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490059509,3,1,1,0,0,5jjqm8h6qm1w4s5f93uubhdrj,1,50.2,49.7,2022-12-10T12:32:32.875Z,2022-12-13T04:17:33Z,3939207585,141,57.2,3939207591,279,S,3939207589,213,2.8,3939207581,140,38.3,3943334875,178,,3939207577,56,Back,3939207587,212,13.5,,,,e8whj7tdfmuk66shr30htmhud,J. Marriott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490724651,735,1,1,0,1,5jjqm8h6qm1w4s5f93uubhdrj,1,33.5,52.2,2022-12-10T12:32:33.864Z,2022-12-13T04:17:38Z,3942741921,140,32.7,3943334931,178,,3942741925,212,3.2,3942741927,213,4.5,3942741923,141,47.6,3942741919,56,Back,,,,,,,ewtroels9b5fc9hv9c2laj90q,H. Kyprianou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490059519,4,1,1,0,2,5jjqm8h6qm1w4s5f93uubhdrj,0,37.3,50.9,2022-12-10T12:32:34.922Z,2022-12-13T04:17:42Z,3939207645,56,Center,3939207653,213,0.3,3939207649,141,63.7,3939207651,212,34.2,3939207655,1,,3939207643,157,,3943334959,178,,3939207647,140,68.8,6cfr9qa1khqzv5oxsi8d3ug9h,F. Kent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490059541,3,1,1,0,5,8b523ujgl21tbc01me65q0aoh,0,26,31.5,2022-12-10T12:32:38.146Z,2022-12-13T04:17:49Z,3939207763,140,41.0,3939207767,212,15.8,3943335003,178,,3939207759,3,,3939207761,56,Back,3939207769,213,0.1,3939207765,141,32.7,,,,dgzuswl2pnk7t03ts7nguholx,Sam Morsy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490059553,5,44,1,0,7,5jjqm8h6qm1w4s5f93uubhdrj,1,62.4,67.8,2022-12-10T12:32:40.111Z,2022-12-13T07:02:07Z,3939207799,56,Center,3939207801,286,,3939207885,233,4,,,,,,,,,,,,,,,,4y9ghbncgfgpv4qd604g8jw15,J. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490059563,4,44,1,0,7,8b523ujgl21tbc01me65q0aoh,0,37.6,32.2,2022-12-10T12:32:40.112Z,2022-12-13T04:17:55Z,3939207865,56,Back,3939207909,233,5,3939207867,285,,,,,,,,,,,,,,,,,3fwxh0c612fj1flqrbozvja39,S. Aluko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
