id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2506232743,1,34,16,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,0,0,2023-02-11T14:15:02.209Z,2023-02-11T14:58:19Z,4024410719,194,dzitwscdk6ogkf6bstbrik53p,4024410713,59,"1, 14, 11, 15, 43, 50, 6, 22, 25, 7, 20, 2, 8, 18, 21, 30, 38, 39",4024410703,30,"3wew9tjsjrsoyioiuzd7ve356, 8w9kh0cuund2pw8wzs0rjrbah, dzitwscdk6ogkf6bstbrik53p, 4eyngv286u5zbtppuih1g67s9, 2vwxulro5pc73zviman08je38, ag8f1ksvfel1a0y49d0iypuui, 6ipjgy0ewyx7mnmolu0pp0mw9, a5cmnj0nhdbux68291ipqcei2, 20z2xkmqc3em5dol00ko4sp62, 7uhajc3suc68vemamuc3dyvp, f4ef7in4fxoylsy29anhgqep5, 2asjeedy6igcuixqktdmk5k2x, 8i4qnoil4877e0wpwx3fj5b10, 4m5w23fmydm3or1ff42hgeqne, 8vwzh7t772qg1r3uxo83eiqui, 2hdl7ccy1jxh95aa00x1nlnu, 1cf8mr9jdz0h0o4bzn1dcjsb8, dv1g5fozbyj5r55grfp8x7uac",4024410721,197,16213,4024410717,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4024410723,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4024410707,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4024410715,130,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506233793,1,34,16,0,0,fvr504m6gaxsfmtx4fwm7iq1,1,0,0,2023-02-11T14:15:58.538Z,2023-02-13T18:15:00Z,4024416471,197,4843,4024416469,194,75c432elegprf4f6hn72icset,4024416473,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4024416463,59,"1, 22, 32, 5, 14, 2, 28, 8, 27, 10, 26, 7, 9, 17, 20, 30, 36, 37",4024416467,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4024416461,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4024416457,30,"dtl2jirk97xct4idsoj2vxbs9, 9em8141j1bdvykowhmoyeob85, cjwflve6ukph4h2az1irm099l, af7cmpeqlk4lcxz3bxgzjh8lx, 552cgdv8qya776at130r2d0mi, 75c432elegprf4f6hn72icset, 75lptyj9mjvb2zyupi4fnnox5, 61allnul4qlvl9s6wf0nehped, 4hcjk936uj5hm4bmnnin5nsh5, 7617zihboc2wywyoyou6nhuqd, 5r7zhmb338nvjaawyyvbuh5yi, ea28jq8w3nc9koizvgffy5a7d, dgnkrsmri0xznduprfjwfro8a, 458sjwuhbhei0203uyja2afbo, 9fdbjgbp780ql3ugygbuhie3t, 1nvaqc5633cmmgqu2bpvly5ex, 8ceatyytb6gk5odzls21u2w2x, 9axxrbxkk15aa3wdyj66gyr6c",4024416465,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506275677,2,32,1,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,0,0,2023-02-11T15:01:30.278Z,2023-02-11T15:01:32Z,4024622803,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506275661,2,32,1,0,0,fvr504m6gaxsfmtx4fwm7iq1,1,0,0,2023-02-11T15:01:30.278Z,2023-02-13T22:58:39Z,4024622741,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506275745,3,1,1,0,0,fvr504m6gaxsfmtx4fwm7iq1,1,50,50.5,2023-02-11T15:01:30.316Z,2023-02-14T01:12:25Z,4024623147,140,40.7,4024623145,56,Back,4024623159,279,S,4031666405,178,,4024623149,141,47.6,4024623151,212,10.0,4024623155,213,3.3,,,,75lptyj9mjvb2zyupi4fnnox5,T. Perry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506275823,4,1,1,0,1,fvr504m6gaxsfmtx4fwm7iq1,1,42.1,48.4,2023-02-11T15:01:31.880Z,2023-02-14T01:12:31Z,4024623473,1,,4030918651,155,,4024623469,212,44.0,4024623471,213,0.7,4024623465,140,73.8,4024623467,141,90.8,4031666581,178,,4024623463,56,Left,75c432elegprf4f6hn72icset,S. Long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506275845,6,44,1,0,4,fvr504m6gaxsfmtx4fwm7iq1,1,64.7,83,2023-02-11T15:01:34.873Z,2023-02-14T09:17:30Z,4024623573,286,,4024623571,56,Left,4024623599,233,3,,,,,,,,,,,,,,,,4hcjk936uj5hm4bmnnin5nsh5,A. Keena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506275809,3,44,1,0,4,5qwskbjpa17fvmtuu5qijy7cz,0,35.3,17,2023-02-11T15:01:34.874Z,2023-02-14T01:12:41Z,4024623611,233,6,4024623407,56,Back,4024623409,285,,,,,,,,,,,,,,,,,a5cmnj0nhdbux68291ipqcei2,D. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506275833,5,1,1,0,4,fvr504m6gaxsfmtx4fwm7iq1,0,72.9,89,2023-02-11T15:01:34.897Z,2023-02-14T09:17:30Z,4024623529,56,Left,4024623527,168,,4024623533,141,100.0,4024623525,3,,4031666783,388,,4024623531,140,77.5,4024623537,213,1.0,4024623535,212,9.6,4hcjk936uj5hm4bmnnin5nsh5,A. Keena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506275871,7,43,1,0,6,fvr504m6gaxsfmtx4fwm7iq1,1,0,0,2023-02-11T15:01:36.378Z,2023-02-13T14:29:41Z,4030919609,144,1,4024623729,212,9.5,4024623731,213,0.8,4024623723,56,Left,4024623725,140,80.3,4024623727,141,100.0,4024623721,3,0,,,,5r7zhmb338nvjaawyyvbuh5yi,D. Barkers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
