id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/9/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist
2515036975,1,34,16,0,0,5jjqm8h6qm1w4s5f93uubhdrj,1,0,0,2023-03-04T14:15:15.200Z,2023-03-04T14:15:15Z,4070848121,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4070848119,130,8,4070848117,59,"1, 12, 15, 8, 6, 4, 11, 18, 9, 16, 10, 17, 20, 22, 23, 24, 28, 39",4070848123,194,dxndu5lwom3srja7xhiadmdw5,4070848113,30,"4s848k6xkf7jqp11jkoit2a51, 93hm64q02lz37wj7xzbkv1m1h, 9ofz3mgz4077lbkuba1l3kru1, 4y9ghbncgfgpv4qd604g8jw15, 6cfr9qa1khqzv5oxsi8d3ug9h, em0i6q0h6q80melaxwx2nvz3e, 37ea7qzvbzt3zr4y2q4o5boq, boc9kr63xs5j2lx89tl1vjxsl, dxndu5lwom3srja7xhiadmdw5, czsjz7u9u01z5a4pyue7tu5wq, 6ictgtdi9ogl7n8dqh4dm1fxl, 3e79d5436l57bfj3ywbjvfr6y, 7tx36b9v0w35xs0402q76qycq, ewtroels9b5fc9hv9c2laj90q, kxfjnow9ky2mxefjujv392ol, 1zpxu396rz1b3gymuheg69h3p, 45i2fz3wya2x8gsa1hn8yd65m, dzboc2cmovo7k3g70y5socpn9",4070848127,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4070848125,197,16179,4070848115,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515037103,1,34,16,0,0,1musyruv2ufjrjnj6gvdbr8kt,1,0,0,2023-03-04T14:15:25.429Z,2023-03-04T14:15:25Z,4070848899,197,16162,4070848901,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4070848891,59,"25, 2, 3, 15, 44, 6, 14, 10, 11, 24, 4, 8, 9, 19, 22, 32, 37, 47",4070848889,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4070848887,30,"4c56c2zanbiv8q28f54i5rp3p, cyrr9517kjkt2l5tuqe966zth, 9r7ngbyjgfukassxtl07wnn55, 76tis9hdvmec3jcvgnsf6cdex, 77yt60bz6k3rqv316v9qxxyad, 4mg6kr1jernr98unfp5p8shqt, 6hrtxdf59nba5ietwyfe3b2t, ekbsso6hq913ss7jerbusyled, 4l7yeuoabotmlfo5n719msrmd, 1szy525fae134zxfbt7vyw991, 2gf1wld07zyiuvq7iikfrvoid, 8lvhd97efhjcg03fj1num1bzd, 583ujnml31x2cnl6jxwnbs2xh, 94opm6ljk3l7yqa2rzwq2gw6h, 2nm6gmvnf6bmqpgd286p3yeqc, dwbbiqw9923azm3rpg2m8aqj9, cix63ukho97zzuwzkojnky3h0, exv9botl02a3ogwy6v2ocz310",4070848895,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4070848897,194,ekbsso6hq913ss7jerbusyled,4070848893,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515070629,2,32,1,0,0,1musyruv2ufjrjnj6gvdbr8kt,1,0,0,2023-03-04T15:01:04.514Z,2023-03-06T22:40:35Z,4071015109,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515070727,2,32,1,0,0,5jjqm8h6qm1w4s5f93uubhdrj,1,0,0,2023-03-04T15:01:04.514Z,2023-03-04T15:01:08Z,4071015543,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515070741,3,1,1,0,0,1musyruv2ufjrjnj6gvdbr8kt,1,50,50,2023-03-04T15:01:04.661Z,2023-03-07T07:54:15Z,4071015621,212,16.2,4071015619,141,54.2,4071015617,140,34.8,4071015623,213,3.0,4071015625,279,S,4079848291,178,,4071015615,56,Back,,,,4l7yeuoabotmlfo5n719msrmd,J. Windass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515070745,4,1,1,0,1,1musyruv2ufjrjnj6gvdbr8kt,1,34.8,54.2,2023-03-04T15:01:05.865Z,2023-03-07T07:54:23Z,4071015633,56,Back,4071015641,213,4.9,4071015637,141,43.6,4071015635,140,35.9,4071242197,156,,4079848397,178,,4071015639,212,7.3,,,,2gf1wld07zyiuvq7iikfrvoid,W. Vaulks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515070747,5,1,1,0,2,1musyruv2ufjrjnj6gvdbr8kt,0,37,44.6,2023-03-04T15:01:07.044Z,2023-03-07T07:54:29Z,4071015653,212,63.9,4071015655,213,0.3,4079848539,178,,4071015649,140,94.5,4071015651,141,75.6,4071015647,56,Center,4071015645,155,,4071015833,1,,ekbsso6hq913ss7jerbusyled,B. Bannan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515070807,3,52,1,0,6,5jjqm8h6qm1w4s5f93uubhdrj,1,12,25.3,2023-03-04T15:01:11.034Z,2023-03-07T07:54:33Z,4079848599,178,,4078034197,377,,,,,,,,,,,,,,,,,,,,4s848k6xkf7jqp11jkoit2a51,W. Norris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515071035,4,80,1,0,18,5jjqm8h6qm1w4s5f93uubhdrj,0,13.6,59.6,2023-03-04T15:01:23.006Z,2023-03-07T07:54:38Z,4079848813,178,,,,,,,,,,,,,,,,,,,,,,,4s848k6xkf7jqp11jkoit2a51,W. Norris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515071303,5,1,1,0,20,5jjqm8h6qm1w4s5f93uubhdrj,1,16.2,66.6,2023-03-04T15:01:25.402Z,2023-03-07T07:54:42Z,4071018129,1,,4071018119,141,76.6,4079848907,178,,4071018115,140,67.6,4071018123,212,54.4,4071018113,56,Center,4071018127,213,0.1,4071018103,157,,4s848k6xkf7jqp11jkoit2a51,W. Norris,4071018109,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
