id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/19/value
2506233111,1,34,16,0,0,69t8imcdaqlgfbds2p58596my,1,0,0,2023-02-11T14:15:20.339Z,2023-02-11T14:15:20Z,4024412843,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4024412851,194,aqu903olqgqkljzwr658cogd1,4024412845,59,"19, 2, 3, 28, 5, 18, 16, 22, 20, 10, 17, 8, 12, 23, 27, 29, 35, 38",4024412847,130,18,4024412853,197,16113,4024412841,30,"1c4nu9s3t3p83pufjf3n3xqay, 9eaozqsxv2347nryh9pkmg251, 64tpd90skhh1yj8yztefhahn9, 96hgdxqla3prs8zusk58lmdey, aqu903olqgqkljzwr658cogd1, 74vpeqcguo2sb2qgpt3b6zq3t, 6q06inb8ukzfsrxy0arxl78q1, dndv2nbwzzvgrlgf6gmeqtryt, 8zcwhxcdh09wxdn29kzpox591, b1yok7nf3a2fu9voe0oy7o6ad, awsbedog2zaz7zpjucbcba82y, 7iruezvsore21eboc96g7oqtx, 8c0rbwtrr5p2em8lyb2uzt785, ltd25ksbai4wbpl56pwg0dlh, 7edc89hg3r6ueacgnkde7fzvu, d866x81xlp0h24rtpg9jbczbp, dd5h02pcz142eha2peyc0j2s5, 10ak89g8v3k5vx9vyo0m6rofe",4024412849,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4024412855,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506233157,1,34,16,0,0,5jjqm8h6qm1w4s5f93uubhdrj,1,0,0,2023-02-11T14:15:23.319Z,2023-02-11T14:15:23Z,4024413113,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4024413115,59,"1, 12, 3, 8, 6, 4, 23, 22, 9, 11, 10, 15, 5, 16, 17, 24, 28, 39",4024413121,194,dxndu5lwom3srja7xhiadmdw5,4024413117,130,8,4024413111,30,"4s848k6xkf7jqp11jkoit2a51, 93hm64q02lz37wj7xzbkv1m1h, 2k02tiy3x2a7o11h0kxw33fmd, 4y9ghbncgfgpv4qd604g8jw15, 6cfr9qa1khqzv5oxsi8d3ug9h, em0i6q0h6q80melaxwx2nvz3e, kxfjnow9ky2mxefjujv392ol, ewtroels9b5fc9hv9c2laj90q, dxndu5lwom3srja7xhiadmdw5, 37ea7qzvbzt3zr4y2q4o5boq, 6ictgtdi9ogl7n8dqh4dm1fxl, 9ofz3mgz4077lbkuba1l3kru1, azp9bk80ozwjy2xx7tvqot5gp, czsjz7u9u01z5a4pyue7tu5wq, 3e79d5436l57bfj3ywbjvfr6y, 1zpxu396rz1b3gymuheg69h3p, 45i2fz3wya2x8gsa1hn8yd65m, dzboc2cmovo7k3g70y5socpn9",4024413125,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4024413119,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4024413123,197,16178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506278953,2,32,1,0,0,5jjqm8h6qm1w4s5f93uubhdrj,1,0,0,2023-02-11T15:03:21.752Z,2023-02-13T19:11:42Z,4024638005,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506278987,2,32,1,0,0,69t8imcdaqlgfbds2p58596my,1,0,0,2023-02-11T15:03:21.752Z,2023-02-11T15:03:24Z,4024638125,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506279013,3,1,1,0,0,69t8imcdaqlgfbds2p58596my,1,50.1,49.9,2023-02-11T15:03:21.793Z,2023-02-14T03:16:53Z,4024638261,279,S,4024638255,212,17.1,4031730825,178,,4024638247,140,34.0,4024638259,213,3.0,4024638251,141,53.4,4024638243,56,Back,,,,awsbedog2zaz7zpjucbcba82y,S. Shoretire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506279165,4,1,1,0,1,69t8imcdaqlgfbds2p58596my,1,38.7,49.4,2023-02-11T15:03:23.502Z,2023-02-14T03:16:58Z,4024638991,140,43.1,4024638989,56,Back,4024638993,141,16.1,4031730853,178,,4024638997,213,4.9,4024638995,212,23.1,,,,,,,6q06inb8ukzfsrxy0arxl78q1,A. Morley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506279305,5,1,1,0,4,69t8imcdaqlgfbds2p58596my,0,39.8,10.1,2023-02-11T15:03:26.295Z,2023-02-14T03:17:01Z,4024639585,1,,4024639571,56,Right,4024639583,213,6.2,4024639569,155,,4024639579,212,47.9,4024639575,141,3.8,4031730885,178,,4024639573,140,85.2,74vpeqcguo2sb2qgpt3b6zq3t,E. Toal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507466051,844,49,1,0,8,5jjqm8h6qm1w4s5f93uubhdrj,1,12.9,92.2,2023-02-11T15:03:29.940Z,2023-02-14T03:17:11Z,,,,,,,,,,,,,,,,,,,,,,,,,em0i6q0h6q80melaxwx2nvz3e,R. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506279385,3,1,1,0,8,5jjqm8h6qm1w4s5f93uubhdrj,1,13.8,96.2,2023-02-11T15:03:29.974Z,2023-02-14T03:17:16Z,4024639945,141,99.3,4024639947,212,17.3,4024639943,140,30.2,4024639939,155,,4024639941,56,Back,4024639949,213,0.1,4031730987,178,,,,,em0i6q0h6q80melaxwx2nvz3e,R. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506279473,4,1,1,0,9,5jjqm8h6qm1w4s5f93uubhdrj,0,29.3,99.1,2023-02-11T15:03:31.144Z,2023-02-14T03:17:42Z,4024640397,168,,4024640395,3,,4024640401,140,34.3,4024640407,213,0.3,4024640399,56,Back,4024640405,212,5.5,4024640403,141,100.0,4031731081,178,,2k02tiy3x2a7o11h0kxw33fmd,D. Butler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
