id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/13/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/9/value,qualifier/14/value,qualifier/15/value,qualifier/16/value
2480332621,1,34,16,0,0,ahm0t06rup1bkd9z0mxl2lmph,1,0,0,2022-11-01T19:00:43.471Z,2022-11-01T19:03:40Z,3888191589,130,4,3888191583,30,"3oyhjrd1ohnwf1x3d65997xzp, c48yjuxzle51y3k7kr1fcyk4q, 987r1vdgx95x30elzrisjrzs9, 3jzhwh7lq7xzcz7clm28h0mvp, bsrhtxhpnlxho2o4zvli5qmeh, cqfbp8me2n00cve66v797omvp, 8olbkp9lqy3em5s9h7a4aod4a, 50flg4aoq4l0glnh61yzngc7p, 8g19rw3eni5p8jt5v1j9skwdl, cz30ywnq6p6dig7x3hu6h7cnp, 33ci88veciqvd4w5y145dyooa, 8lcnj37j5nswqsqzud3t1a6l1, 9pd78l4lxwbbfnjmwvhu618tl, dp1q81h7kbbf9qokm7osub0et, 6fphke4c1tsj6xvvp7aki65sl, exrh01dw52b651aet2am7v015, uluqgj69z6yunsl8m505lyi, 3cy13tw0tdconbwzlwteg6xas",3888191593,194,bsrhtxhpnlxho2o4zvli5qmeh,3888191591,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3888191587,59,"13, 42, 16, 8, 5, 4, 14, 18, 11, 33, 22, 6, 12, 15, 17, 21, 27, 39",3888191595,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3888191659,197,16221,3888191585,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480332631,1,34,16,0,0,8rfydplrc9ki0sirqi0drcybk,1,0,0,2022-11-01T19:00:48.606Z,2022-11-01T19:57:38Z,3888191647,194,f1rmwe24zg4697bqpc3z0y40l,3888191641,59,"13, 26, 3, 32, 18, 37, 24, 8, 7, 10, 16, 1, 4, 11, 21, 28, 39, 55",3888191645,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3888191643,130,10,3888191639,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3888191637,30,"4e1c6yk50fl8hnwv6u1132j85, 5q6s3r5ychv1d3r1tch4sot05, czwcateaukr5r9yibdem642qd, 2eu3cz65piv0j91gi396p9ega, emuuuhvah1jtq2fqs9ybfovvu, 430ffnfs8g98t6tkctdqhhd78, 74fouzsgp25muot2pp6as5otl, f1rmwe24zg4697bqpc3z0y40l, 3je74tc5emuou6ckwdbscsbu, 7ht3grz484ru1bcgp9gn7d2i1, 71or1ne6d9zuo038qdt6vcvoq, bg9aayv3d1y0qxgqrdohnrcdm, 6tqiy5a5cfpfm90j8r5udl8bu, a70y8ayeh05hzo5yc8gotsbh0, e4xeswr8cpdkmlhijuf7oonsa, 937mkgz0gstvxyjiwfe9xiuzu, 1d4f90y6wm6i63g8sqeu4sqqy, 74d8bp6aojtkglyiayd8u22ac",3888191649,197,4826,3888191651,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480341709,2,32,1,0,0,ahm0t06rup1bkd9z0mxl2lmph,1,0,0,2022-11-01T19:44:31.637Z,2022-11-03T04:44:44Z,3888234723,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480341705,2,32,1,0,0,8rfydplrc9ki0sirqi0drcybk,1,0,0,2022-11-01T19:44:31.637Z,2022-11-01T19:44:31Z,3888234709,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480341725,3,1,1,0,0,8rfydplrc9ki0sirqi0drcybk,1,49.8,50.1,2022-11-01T19:44:31.720Z,2022-11-03T05:43:03Z,3888234773,56,Back,3888234775,140,28.6,3888234777,141,49.9,3888234779,212,22.3,3888234781,213,3.1,3890445659,178,,3888234783,279,S,,,,f1rmwe24zg4697bqpc3z0y40l,J. Vela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480341727,4,1,1,0,2,8rfydplrc9ki0sirqi0drcybk,0,32.2,49.9,2022-11-01T19:44:34.540Z,2022-11-03T05:43:08Z,3890445771,178,,3888234793,141,30.0,3888234795,212,53.1,3888234791,140,81.1,3888234787,155,,3888234797,213,6.0,3888234789,56,Center,3888234799,1,,2eu3cz65piv0j91gi396p9ega,J. Earl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480341733,3,1,1,0,6,ahm0t06rup1bkd9z0mxl2lmph,1,21.1,69.1,2022-11-01T19:44:38.419Z,2022-11-03T05:43:24Z,3888234817,212,7.1,3888234815,141,63.6,3888234811,56,Back,3888234813,140,26.9,3890446059,388,,3888234809,3,,3888234819,213,5.7,,,,cqfbp8me2n00cve66v797omvp,S. Findlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480579441,953,61,1,0,8,ahm0t06rup1bkd9z0mxl2lmph,1,31.5,68.6,2022-11-01T19:44:40.009Z,2022-11-03T05:43:30Z,3889437937,56,Back,3890446145,178,,,,,,,,,,,,,,,,,,,,50flg4aoq4l0glnh61yzngc7p,M. McGuane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480341735,5,61,1,0,8,8rfydplrc9ki0sirqi0drcybk,1,78.5,39.2,2022-11-01T19:44:40.193Z,2022-11-03T05:43:34Z,3888234821,56,Center,3890446189,178,,,,,,,,,,,,,,,,,,,,f1rmwe24zg4697bqpc3z0y40l,J. Vela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480341745,6,1,1,0,9,8rfydplrc9ki0sirqi0drcybk,1,83.4,44.5,2022-11-01T19:44:40.838Z,2022-11-03T05:43:43Z,3888234835,56,Center,3890446347,178,,3888234837,140,78.3,3888234841,212,5.9,3888235021,156,,3888234843,213,2.7,3888234839,141,48.1,,,,7ht3grz484ru1bcgp9gn7d2i1,C. Morton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
