id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId
2521083161,1,34,16,0,0,69t8imcdaqlgfbds2p58596my,1,0,0,2023-03-17T19:00:06.230Z,2023-03-17T19:52:45Z,4102908659,30,"1c4nu9s3t3p83pufjf3n3xqay, 5tbz2hexz7vind39ot6govqzu, 64tpd90skhh1yj8yztefhahn9, 74vpeqcguo2sb2qgpt3b6zq3t, aqu903olqgqkljzwr658cogd1, 9eaozqsxv2347nryh9pkmg251, 7iruezvsore21eboc96g7oqtx, dndv2nbwzzvgrlgf6gmeqtryt, 8zcwhxcdh09wxdn29kzpox591, d866x81xlp0h24rtpg9jbczbp, b1yok7nf3a2fu9voe0oy7o6ad, cqcwoymcrgf7wdi6091zplecp, 6q06inb8ukzfsrxy0arxl78q1, awsbedog2zaz7zpjucbcba82y, az767vfe6ig8vwir9uu2eu3th, 7edc89hg3r6ueacgnkde7fzvu, 96hgdxqla3prs8zusk58lmdey, dd5h02pcz142eha2peyc0j2s5",4102908675,130,18,4102908679,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4102908665,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4102908671,59,"19, 21, 3, 18, 5, 2, 8, 22, 20, 29, 10, 11, 16, 17, 24, 27, 28, 35",4102908689,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4102908687,197,18659,4102908683,194,aqu903olqgqkljzwr658cogd1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521084641,1,34,16,0,0,1musyruv2ufjrjnj6gvdbr8kt,1,0,0,2023-03-17T19:02:06.057Z,2023-03-17T19:16:21Z,4102916555,130,12,4102916559,194,ekbsso6hq913ss7jerbusyled,4102916561,197,16162,4102916557,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4102916553,59,"25, 32, 33, 15, 44, 2, 17, 10, 9, 11, 4, 3, 8, 18, 19, 24, 31, 37",4102916549,30,"4c56c2zanbiv8q28f54i5rp3p, dwbbiqw9923azm3rpg2m8aqj9, 3hq7q7p30s923cbbvw1070lp1, 76tis9hdvmec3jcvgnsf6cdex, 77yt60bz6k3rqv316v9qxxyad, cyrr9517kjkt2l5tuqe966zth, 7f87a26gzayk0bfzbm42huuw9, ekbsso6hq913ss7jerbusyled, 583ujnml31x2cnl6jxwnbs2xh, 4l7yeuoabotmlfo5n719msrmd, 2gf1wld07zyiuvq7iikfrvoid, 9r7ngbyjgfukassxtl07wnn55, 8lvhd97efhjcg03fj1num1bzd, 3fjobcho19bkofw9h042i2v9x, 94opm6ljk3l7yqa2rzwq2gw6h, 1szy525fae134zxfbt7vyw991, 24g3kj5853y2af5ncqhwlfbp, cix63ukho97zzuwzkojnky3h0",4102916551,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4102916563,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521127211,2,32,1,0,0,1musyruv2ufjrjnj6gvdbr8kt,1,0,0,2023-03-17T19:48:35.782Z,2023-03-20T02:37:50Z,4103140083,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521127205,2,32,1,0,0,69t8imcdaqlgfbds2p58596my,1,0,0,2023-03-17T19:48:35.782Z,2023-03-17T19:48:35Z,4103140065,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521127253,3,1,1,0,0,69t8imcdaqlgfbds2p58596my,1,49.9,49.7,2023-03-17T19:48:35.882Z,2023-03-20T03:50:05Z,4103140271,140,38.4,4103140269,56,Back,4103140273,141,49.7,4103140277,213,3.1,4103140275,212,12.1,4112212693,178,,4103140279,279,S,,,,8zcwhxcdh09wxdn29kzpox591,K. Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521127323,4,1,1,0,1,69t8imcdaqlgfbds2p58596my,1,38.4,49.7,2023-03-17T19:48:37.485Z,2023-03-20T03:50:15Z,4103140651,212,25.8,4112212799,178,,4103140649,141,11.7,4103140645,56,Back,4103140655,213,4.7,4103140647,140,38.6,,,,,,,7iruezvsore21eboc96g7oqtx,J. Sheehan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521127337,5,50,1,0,7,69t8imcdaqlgfbds2p58596my,1,64.4,13,2023-03-17T19:48:42.875Z,2023-03-20T03:50:41Z,4103141491,233,3,4103140731,56,Right,4103141437,286,,,,,,,,,,,,,,,,,9eaozqsxv2347nryh9pkmg251,G. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521127379,3,7,1,0,7,1musyruv2ufjrjnj6gvdbr8kt,0,35.6,87,2023-03-17T19:48:42.987Z,2023-03-20T03:50:46Z,4109667823,385,,4112212961,178,,4103140929,285,,4103140921,56,Back,4103141463,233,5,,,,,,,,,,3hq7q7p30s923cbbvw1070lp1,R. James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522870125,1186,67,1,0,7,69t8imcdaqlgfbds2p58596my,1,67.2,12.8,2023-03-17T19:48:43.750Z,2023-03-20T14:20:09Z,4112345299,233,859,,,,,,,,,,,,,,,,,,,,,,8zcwhxcdh09wxdn29kzpox591,K. Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522870119,859,67,1,0,7,1musyruv2ufjrjnj6gvdbr8kt,0,32.8,87.2,2023-03-17T19:48:43.751Z,2023-03-20T07:08:48Z,4112345309,233,1186,,,,,,,,,,,,,,,,,,,,,,76tis9hdvmec3jcvgnsf6cdex,A. Famewo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
