id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,keyPass,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/13/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/16/value,qualifier/18/value,qualifier/19/value,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId
2540656847,1,34,16,0,0,80jtkz2echk6yyyb9e2595cxr,1,0,0,2023-04-29T13:15:17.145Z,2023-04-29T13:15:17Z,4234613881,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4234613891,197,16220,4234613885,130,8,4234613883,59,"1, 17, 6, 16, 28, 34, 29, 7, 9, 10, 24, 4, 15, 19, 20, 21, 23, 26",4234613893,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4234613887,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4234613889,194,dypefa5ubw9m9xefxdd4365lh,4234613877,30,"21hyrpedxxu2ilkspxq4uril1, 9ovnysf6fd2ophwdyfznztsk5, 541yhibvfn0fv2izdfudm7651, dlfoufhh8dc14s10vnbjrfvmd, 5ykgwunfc9pg5iq8h5cihg3xl, 9kacd96xriqrc23e0a8vzov3e, a70y8ayeh05hzo5yc8gotsbh0, dypefa5ubw9m9xefxdd4365lh, 6d9maq3oecwobp2t2220vf4r9, 41cihaqh4lxje5nx17g0rbgt1, dgl4fbdrmolqgg0xzejl7ve8l, f1g68yocf85lxkf17pt2j7v85, eswokn90i34kdbfvax0y7365l, 33h8s55zcj0j535g2dyz9tnqi, cn988bjn09tb806b05wgp7ys5, c23tcl4dl40wu4i8vntbv0tm1, 3zmb22ct3lkf04kbpuxr22hud, 610qf6vm0fsq97hvdcpj4ka95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540656887,1,34,16,0,0,3ptd7zlc5isrongig0wij2id4,1,0,0,2023-04-29T13:15:19.317Z,2023-04-29T14:22:45Z,4234614091,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4234614067,30,"2xd9g0s3888o99iq0eb5j6ead, 1la1hsnuheliwojwmcbxroy96, h4x8lz5ou8esdao80mvls9yi, 69lg8jmug501h6biol5itk02y, 6kz7c7i4wzph7qlzi9nzt266t, ebsspe8jslej9a253w4xpf55h, bwu80wn3lca4x2txuelku0a21, 8y3obwxpwckjfl7hkrrg97sgl, f2d0i9t2qeyppfqrdv6xzc3px, 85vh43wsin67z2dj0iod12fop, e2sj7bhk2s9du1bs1vza1b4k5, ddc712ebtmrrpvj4shekecus5, a64e8yqggr7fmtdlyr9v80yxh, 8thtb5uqqv63f880cwhpc5zv9, 6kxph7ulzz58v8tm3aaomy1ka, 6ge15340tp9n57m88z6rli6i2, 535ecbyyd28elesvxtvbxurpx, akatb6qaa078a72zvl8gapoiy",4234614071,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4234614077,59,"1, 38, 15, 6, 33, 3, 8, 4, 10, 17, 11, 7, 9, 12, 18, 23, 32, 34",4234614089,197,4925,4234614087,194,6kz7c7i4wzph7qlzi9nzt266t,4234614083,130,17,4234614085,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540698155,2,32,1,0,0,80jtkz2echk6yyyb9e2595cxr,1,0,0,2023-04-29T14:01:14.704Z,2023-04-29T14:01:15Z,4234819403,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540698175,2,32,1,0,0,3ptd7zlc5isrongig0wij2id4,1,0,0,2023-04-29T14:01:14.704Z,2023-05-01T12:38:30Z,4234819495,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540698327,3,1,1,0,0,80jtkz2echk6yyyb9e2595cxr,1,49.8,50.4,2023-04-29T14:01:14.713Z,2023-05-01T13:27:15Z,4234820155,141,50.6,4243304331,178,,4234820153,140,36.1,4234820157,212,14.4,4234820159,213,3.1,4234820151,56,Back,4234820161,279,S,,,,dlfoufhh8dc14s10vnbjrfvmd,J. Morrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540698335,4,1,1,0,2,80jtkz2echk6yyyb9e2595cxr,0,36.3,49.4,2023-04-29T14:01:16.845Z,2023-05-01T13:27:18Z,4234820181,56,Back,4234820259,233,3,4243304483,178,,4234820179,155,,4234820187,212,3.7,4234820189,213,0.7,4234820183,140,39.0,4234820185,141,53.0,dypefa5ubw9m9xefxdd4365lh,M. Pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540698365,5,4,1,0,2,80jtkz2echk6yyyb9e2595cxr,1,36,57.9,2023-04-29T14:01:17.076Z,2023-05-01T13:27:29Z,4234820319,286,,4234820317,152,,4234820315,56,Back,4234821313,233,3,4234820313,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540698343,3,4,1,0,2,3ptd7zlc5isrongig0wij2id4,0,64,42.1,2023-04-29T14:01:17.077Z,2023-05-01T13:27:28Z,4234820209,285,,4243305091,388,,4234820207,56,Center,4234821275,152,,4234821273,10,,4234821335,233,5,,,,,,,e2sj7bhk2s9du1bs1vza1b4k5,N. Mendez-Laing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540698661,6,1,1,0,15,80jtkz2echk6yyyb9e2595cxr,0,38.5,52.1,2023-04-29T14:01:30.627Z,2023-05-01T13:27:33Z,4243305391,178,,4234821651,5,,4234821661,212,25.8,4234821653,152,,4234821655,56,Back,4234821657,140,46.8,4234821663,213,5.1,4234821659,141,16.4,dypefa5ubw9m9xefxdd4365lh,M. Pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540698687,4,8,1,0,18,3ptd7zlc5isrongig0wij2id4,1,59.9,78.5,2023-04-29T14:01:32.965Z,2023-05-01T13:27:39Z,4243305743,178,,4234821777,56,Center,4242710679,383,,,,,,,,,,,,,,,,,85vh43wsin67z2dj0iod12fop,L. Sibley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
