id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId
2510728753,1,34,16,0,0,ejm092fnt9zoxbpuklzd52ji8,1,0,0,2023-02-21T18:55:54.375Z,2023-02-21T19:42:05Z,4048131985,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4048131995,197,4680,4048131983,30,"41lv87i23sxmdyrs4xxh96m3u, 6ln898p7stih8l7ikzloet0b9, 8nzkkwhmox9lgbmwomq1rruju, 89agv6797txmlw6m4nyhhsa2, 6xjftfuwhkbs39xfc3phdbyl1, 5n4s7vdp0dx0ndkph7oyg7v1l, 4y3hm9ljv62c5jswanl0gk5, a1muz32ocg2650ll5kjc02u39, aclrl318d420oqe1fjgl1m3xm, 1yzyn48jb8yd8bc0xywrhg0r9, 5lngv6xyqc7xanqv8ytifc3px, 5ozfcga88glwzazkg65ahwa8l, 71pv32h5sxhopm6aetxjm50ph, bybpo6v76mntngcl9xwpil7u1, bojsqjfaoi810xuyz0qeqs0r9, 8tjvmh45ea9wy42siytdtkmzu, 1etperk4v88ohoddjdb5dj2l1, 4m9vn1q30f1c8ksiyxtei63ft",4048131997,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4048131989,130,18,4048131991,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4048131993,194,a1muz32ocg2650ll5kjc02u39,4048131987,59,"1, 7, 27, 5, 6, 15, 23, 10, 8, 19, 20, 11, 13, 17, 22, 24, 25, 26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510729479,1,34,16,0,0,8xeuwzxnm7hdlbjjuezgfkz3w,1,0,0,2023-02-21T19:00:09.126Z,2023-02-21T19:56:08Z,4048136009,130,8,4048136017,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4048136007,59,"1, 2, 4, 20, 5, 16, 11, 15, 9, 8, 25, 7, 10, 12, 14, 21, 22, 29",4048136003,30,"af0te77bq4mgr7rkkqateiswl, dqgptypyedqzff38kn24en3s9, dhty303ilcb4cocqv68324xk9, a06js9xdgcoqq2mjjp9bbozu2, 3nxrsmys3v8ci6xeqsx8yaac5, cqbxzfg7eb97z1rx01kms6ay1, epb1j3o8uv7qo4yu31eoquicq, 8f5io2957l6ye5u7bsan0ecfe, 3ft5brlvxvw8otiyjppxkk6ad, b9apqidquztaojf6e3my6v7bp, apgbqplqtvuc1dmdxi5gqhd04, ncyqchqipvfl6nhgecnw3giy, 5x46bjvslvsozkw1o5ddni12h, 6s5n6ri7p16dbqb35b2dpl0wl, 5pf4sma6x95qcuhx6wmqqzu1h, b1or5u4dfuf4pvg7cgqnp3nxl, 1225w9qp3uzp1fkblmyidsfhm, 1vni33hvf1nchb5gou5n5b2i2",4048136011,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4048136013,194,dqgptypyedqzff38kn24en3s9,4048136005,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4048136015,197,4867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510735359,2,32,1,0,0,ejm092fnt9zoxbpuklzd52ji8,1,0,0,2023-02-21T19:44:01.780Z,2023-02-21T19:44:01Z,4048169559,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510735365,2,32,1,0,0,8xeuwzxnm7hdlbjjuezgfkz3w,1,0,0,2023-02-21T19:44:01.780Z,2023-02-23T20:17:45Z,4048169573,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510735373,3,1,1,0,0,ejm092fnt9zoxbpuklzd52ji8,1,50,50,2023-02-21T19:44:01.833Z,2023-02-24T06:27:11Z,4048169595,56,Back,4048169605,279,S,4051706369,178,,4048169599,141,49.9,4048169597,140,31.3,4048169601,212,19.6,4048169603,213,3.1,,,,5lngv6xyqc7xanqv8ytifc3px,M. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510735383,4,1,1,0,3,ejm092fnt9zoxbpuklzd52ji8,0,31,50,2023-02-21T19:44:05.110Z,2023-02-24T06:27:25Z,4048169665,213,0.7,4048169655,140,68.1,4048169661,212,50.0,4048169657,141,96.0,4048169653,56,Left,4048169667,1,,4051706491,178,,4048169651,155,,5n4s7vdp0dx0ndkph7oyg7v1l,W. Forrester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510735393,3,8,1,0,6,8xeuwzxnm7hdlbjjuezgfkz3w,1,35.4,6.2,2023-02-21T19:44:08.148Z,2023-02-24T06:27:29Z,4048348327,15,,4050433507,385,,4051706521,388,,4048169719,56,Back,,,,,,,,,,,,,dqgptypyedqzff38kn24en3s9,D. Love,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510735397,4,5,1,0,8,8xeuwzxnm7hdlbjjuezgfkz3w,0,44,-1.8,2023-02-21T19:44:09.927Z,2023-02-24T06:27:34Z,4048169735,347,,4048169733,56,Back,4048169819,233,5,,,,,,,,,,,,,,,,3nxrsmys3v8ci6xeqsx8yaac5,F. Rawson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510735423,5,5,1,0,8,ejm092fnt9zoxbpuklzd52ji8,1,56,101.8,2023-02-21T19:44:09.927Z,2023-02-24T06:27:34Z,4048169815,233,4,4048169803,56,Left,4048169805,347,,,,,,,,,,,,,,,,,5n4s7vdp0dx0ndkph7oyg7v1l,W. Forrester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510735437,6,1,1,0,19,ejm092fnt9zoxbpuklzd52ji8,0,67.6,100,2023-02-21T19:44:21.219Z,2023-02-24T06:27:38Z,4048169855,56,Left,4048169853,107,,4048169861,212,19.4,4048169859,141,80.8,4048169857,140,79.9,4048169863,213,5.4,,,,,,,89agv6797txmlw6m4nyhhsa2,A. Donnelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
