id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,assist,qualifier/12/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value,qualifier/16/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2473617081,7,1,1,0,15,80jtkz2echk6yyyb9e2595cxr,0,41.9,31,2022-10-17T19:00:58.684Z,2022-10-20T05:35:32Z,3853819147,155,,3852644085,141,32.6,3853819311,1,,3857397343,178,,3852644087,212,62.2,3852644081,56,Center,3852644089,213,0.0,3852644083,140,100.0,asy3qn4557iy3r55yl4v9xj9x,M. Morrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473617099,3,5,1,0,20,2ezfenuwk3y65p8jdbj55xqt0,1,-1,66.8,2022-10-17T19:01:03.476Z,2022-10-20T05:35:34Z,3852644219,346,,3852644217,56,Back,3852644263,233,9,,,,,,,,,,,,,,,,74p53a79q1tlis3a3gladqor9,J. Stockley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473617111,9,5,1,0,20,80jtkz2echk6yyyb9e2595cxr,0,101,33.2,2022-10-17T19:01:03.476Z,2022-10-20T05:35:34Z,3852644253,56,Center,3852644283,233,3,3852644255,346,,,,,,,,,,,,,,,,,cn988bjn09tb806b05wgp7ys5,S. Raggett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473617205,4,1,1,0,39,2ezfenuwk3y65p8jdbj55xqt0,0,4.6,50.1,2022-10-17T19:01:22.597Z,2022-10-20T05:35:37Z,3853819485,189,,3852644735,140,69.2,3852644731,124,,3852644737,141,59.0,3852644743,1,,3852644739,212,68.1,3852644741,213,0.1,3852644747,74,,46q465awyk7ndr9faq83vmuw9,J. Wollacott,3852644733,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473617221,10,44,1,0,44,80jtkz2echk6yyyb9e2595cxr,1,32.8,36.2,2022-10-17T19:01:27.436Z,2022-10-20T06:27:42Z,3852644835,233,5,3852644823,285,,3852644821,56,Back,,,,,,,,,,,,,,,,dypefa5ubw9m9xefxdd4365lh,M. Pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473617207,5,44,1,0,44,2ezfenuwk3y65p8jdbj55xqt0,0,67.2,63.8,2022-10-17T19:01:27.437Z,2022-10-20T05:35:41Z,3852644749,56,Center,3852644859,233,10,3852644751,286,,,,,,,,,,,,,,,,,74p53a79q1tlis3a3gladqor9,J. Stockley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473617237,12,1,1,0,44,80jtkz2echk6yyyb9e2595cxr,0,34.9,31.5,2022-10-17T19:01:27.552Z,2022-10-20T06:27:43Z,3852644895,56,Back,3852644901,212,7.6,3852644897,140,40.9,3852644899,141,25.2,3852644893,3,,3857397581,388,,3852644903,213,5.7,,,,dypefa5ubw9m9xefxdd4365lh,M. Pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473617225,11,43,1,0,48,80jtkz2echk6yyyb9e2595cxr,1,0,0,2022-10-17T19:01:30.912Z,2022-10-18T13:46:41Z,3853819695,144,61,3852644833,56,Back,,,,,,,,,,,,,,,,,,,dypefa5ubw9m9xefxdd4365lh,M. Pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473617239,13,44,1,0,48,80jtkz2echk6yyyb9e2595cxr,1,38.3,25.4,2022-10-17T19:01:31.175Z,2022-10-20T06:27:43Z,3852644981,233,6,3852644909,285,,3852644907,56,Back,,,,,,,,,,,,,,,,eswokn90i34kdbfvax0y7365l,O. Dale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473617231,6,44,1,0,48,2ezfenuwk3y65p8jdbj55xqt0,0,61.7,74.6,2022-10-17T19:01:31.176Z,2022-10-20T05:35:49Z,3852644943,233,13,3852644873,56,Center,3852644875,286,,,,,,,,,,,,,,,,,6a08s0d0sgt7iw37spmo4bro5,S. Fraser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473621929,140,1,1,0,48,80jtkz2echk6yyyb9e2595cxr,0,43.4,25.5,2022-10-17T19:01:31.229Z,2022-10-20T06:27:43Z,3852668483,56,Back,3852668489,212,10.0,3852668481,3,,3852668487,141,37.9,3852668491,213,2.1,3857397669,388,,3852668485,140,38.2,,,,eswokn90i34kdbfvax0y7365l,O. Dale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
