id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value,qualifier/18/value
2472007931,1,34,16,0,0,5jjqm8h6qm1w4s5f93uubhdrj,1,0,0,2022-10-15T13:15:05.266Z,2022-10-15T14:03:28Z,3844144289,130,8,3844144285,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3844144293,194,dxndu5lwom3srja7xhiadmdw5,3844144287,59,"1, 12, 3, 7, 5, 6, 23, 16, 9, 24, 17, 2, 4, 10, 14, 22, 26, 28",3844144297,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3844144295,197,17268,3844144291,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3844144283,30,"2f49etxdi4l2tsobpmsg5i5pm, 93hm64q02lz37wj7xzbkv1m1h, 2k02tiy3x2a7o11h0kxw33fmd, 9iwkidg6lykej8vrhfz6z4ct1, azp9bk80ozwjy2xx7tvqot5gp, 6cfr9qa1khqzv5oxsi8d3ug9h, kxfjnow9ky2mxefjujv392ol, czsjz7u9u01z5a4pyue7tu5wq, dxndu5lwom3srja7xhiadmdw5, 1zpxu396rz1b3gymuheg69h3p, 3e79d5436l57bfj3ywbjvfr6y, cee3wxxx7lrluzh7kog7g07ah, em0i6q0h6q80melaxwx2nvz3e, 6ictgtdi9ogl7n8dqh4dm1fxl, e8whj7tdfmuk66shr30htmhud, ewtroels9b5fc9hv9c2laj90q, 1ur2h01o6jgewwzydb2caggoa, 45i2fz3wya2x8gsa1hn8yd65m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472007985,1,34,16,0,0,jv3jh5m5t7qy5t37vwwmnj16,1,0,0,2022-10-15T13:15:08.405Z,2022-10-15T13:15:08Z,3844144609,30,"1sw0ywyl0cgn97mu65tnzv0t1, 7fvj3ev8ov0cnalck9x48z3kl, 1kw6qz2pi7wlam068oeirztud, 5bkjye9thnohmdgzwsrsy1n9, ex186m2z3yp666b1g219a8ted, dbvkpe7bc9clualadtx9rf1uc, 40wbrqny2ekenyy37ver8dyol, 93kxb8ch3auv9li22mh1aidey, am0ggkrw8rzw5shdvaceyr3kl, 4oogur7f8tfx3z011ap58ao5x, 7yqdri2a1wz80jfzbcyfc904p, f5zei3x0mg1i5q3soziuy579, s2phyy6eoysnxu96rw2ivnx1, 90bk4lcfnlqtvwlttwybhs4wl, 99uiqjteov3qby19bs8kozill, 7khs4gdkzgpejvrskcvrcw0h6, 90jxl6g221eakwc8qjl27jf56, e6bryp1e5ezlt4je8ueuh0opg",3844144619,194,5bkjye9thnohmdgzwsrsy1n9,3844144611,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3844144615,130,17,3844144621,197,16167,3844144617,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3844144623,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3844144613,59,"1, 26, 23, 3, 20, 5, 22, 10, 9, 12, 11, 2, 16, 17, 18, 21, 24, 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472052895,2,32,1,0,0,jv3jh5m5t7qy5t37vwwmnj16,1,0,0,2022-10-15T14:00:22.829Z,2022-10-17T18:02:52Z,3844378657,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472052883,2,32,1,0,0,5jjqm8h6qm1w4s5f93uubhdrj,1,0,0,2022-10-15T14:00:22.829Z,2022-10-15T14:00:22Z,3844378615,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472052951,3,1,1,0,0,5jjqm8h6qm1w4s5f93uubhdrj,1,49.8,50,2022-10-15T14:00:22.860Z,2022-10-17T21:10:39Z,3844378873,140,30.8,3844378881,279,S,3844378875,141,54.9,3844378871,56,Back,3844378877,212,20.2,3844378879,213,3.0,3852815413,178,,,,,1zpxu396rz1b3gymuheg69h3p,B. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472052997,4,1,1,0,3,5jjqm8h6qm1w4s5f93uubhdrj,1,30.4,55.8,2022-10-15T14:00:26.646Z,2022-10-17T21:10:53Z,3852815545,178,,3844379055,213,4.2,3844379051,141,31.8,3844379049,140,21.7,3844379047,56,Back,3844379053,212,18.7,,,,,,,6cfr9qa1khqzv5oxsi8d3ug9h,F. Kent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472053009,5,1,1,0,6,5jjqm8h6qm1w4s5f93uubhdrj,0,23,31,2022-10-15T14:00:28.866Z,2022-10-17T21:11:04Z,3844379139,140,62.9,3844379143,212,42.3,3844379137,56,Center,3844379135,157,,3844379141,141,40.1,3844379145,213,0.1,3852815695,178,,3844379147,1,,2f49etxdi4l2tsobpmsg5i5pm,L. Bergström,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472053091,3,44,1,0,8,jv3jh5m5t7qy5t37vwwmnj16,1,36.6,84,2022-10-15T14:00:31.578Z,2022-10-18T05:03:14Z,3844379565,285,,3844379563,56,Back,3844379751,233,6,,,,,,,,,,,,,,,,5bkjye9thnohmdgzwsrsy1n9,J. Jacobson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472053127,6,44,1,0,8,5jjqm8h6qm1w4s5f93uubhdrj,0,63.4,16,2022-10-15T14:00:31.579Z,2022-10-17T21:11:09Z,3844379775,233,3,3844379721,56,Right,3844379723,286,,,,,,,,,,,,,,,,,czsjz7u9u01z5a4pyue7tu5wq,H. Burrows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472053107,4,12,1,0,8,jv3jh5m5t7qy5t37vwwmnj16,1,32.7,86.3,2022-10-15T14:00:31.681Z,2022-10-18T05:03:14Z,3844379649,212,10.8,3844379639,56,Back,3844380115,167,,3844379641,140,36.0,3844379645,141,100.0,3852815799,388,,3844380113,15,,3844379651,213,1.2,5bkjye9thnohmdgzwsrsy1n9,J. Jacobson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472053121,5,5,1,0,9,jv3jh5m5t7qy5t37vwwmnj16,0,38,101.6,2022-10-15T14:00:32.670Z,2022-10-17T21:11:17Z,3844379695,347,,3844380667,233,7,3844379693,56,Back,,,,,,,,,,,,,,,,5bkjye9thnohmdgzwsrsy1n9,J. Jacobson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472053307,7,5,1,0,9,5jjqm8h6qm1w4s5f93uubhdrj,1,62,-1.6,2022-10-15T14:00:32.670Z,2022-10-17T21:11:17Z,3844380529,56,Right,3844380531,347,,3844380617,233,5,,,,,,,,,,,,,,,,czsjz7u9u01z5a4pyue7tu5wq,H. Burrows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472053339,8,1,1,0,19,5jjqm8h6qm1w4s5f93uubhdrj,1,59.3,0,2022-10-15T14:00:42.657Z,2022-10-17T21:11:20Z,3844380697,141,8.5,3844380691,107,,3844380695,140,74.1,3844380699,212,17.1,3844380693,56,Right,3844380701,213,0.4,,,,,,,93hm64q02lz37wj7xzbkv1m1h,N. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472053359,9,1,1,0,20,5jjqm8h6qm1w4s5f93uubhdrj,1,73.6,8.6,2022-10-15T14:00:43.574Z,2022-10-17T21:11:25Z,3844380869,141,4.6,3844380867,140,64.0,3844380873,213,3.4,3844380865,56,Right,3852816159,178,,3844380871,212,10.4,,,,,,,dxndu5lwom3srja7xhiadmdw5,J. Clarke-Harris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
