id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/12/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2495525311,1,34,16,0,0,69t8imcdaqlgfbds2p58596my,1,0,0,2023-01-07T14:14:59.929Z,2023-01-07T14:15:00Z,3968171163,197,16113,3968171151,59,"19, 21, 27, 6, 15, 18, 16, 22, 20, 9, 10, 2, 4, 7, 11, 24, 30, 8",3968171165,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3968171161,194,8zcwhxcdh09wxdn29kzpox591,3968171159,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3968171155,130,18,3968171147,30,"1c4nu9s3t3p83pufjf3n3xqay, 5tbz2hexz7vind39ot6govqzu, 7edc89hg3r6ueacgnkde7fzvu, do0vklx8voqfr05b3j04ilex, 35f2se8cf2zmpxl45zulorpat, 74vpeqcguo2sb2qgpt3b6zq3t, 6q06inb8ukzfsrxy0arxl78q1, dndv2nbwzzvgrlgf6gmeqtryt, 8zcwhxcdh09wxdn29kzpox591, 7h6eazahfe5epf6zgx1b1urpx, b1yok7nf3a2fu9voe0oy7o6ad, 9eaozqsxv2347nryh9pkmg251, 9bpm5m1tsplxq77m3cbpfm4t1, 4qafo1hp52b8lqsqkxym0d8lx, 4luphb29oi2p9ftkag6xb69jp, az767vfe6ig8vwir9uu2eu3th, dlek4e9wgzy10smm0ph933nu2, 7iruezvsore21eboc96g7oqtx",3968171149,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495526327,1,34,16,0,0,5g1fnexeromjl0lvnxp8hpnhi,1,0,0,2023-01-07T14:17:25.359Z,2023-01-07T15:02:30Z,3968176925,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3968176935,197,16367,3968176929,130,17,3968176937,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3968176933,194,5udpap0himq2ggsw4f0o5hqdx,3968176923,30,"247o80ri7od76lxfrkmccz2ay, 4lz9m2nwif7tql9hqsv2u7vft, 5udpap0himq2ggsw4f0o5hqdx, 4cyf8fcefkz6433g76okyd65m, wuidadmmyp6xcztp1lxdxg4p, oe0lbxtc4qftnd886dzfm385, 2q6bsyszm27v5uvs30j5ty311, ab9z3kubalp5l33vbi4a8n0iy, 4xxoasz03erxlyonu2t8y5fqh, 944ptuekuetkjifbeaycqcoh5, alhqwxs7t2pxxxuztmvy1ibpx, 5a86e1pl8b7ibmrkz3h6gs1yh, 9llmzvk9nw1kwy73o8z9f8usp, 9w0nk2mz77jqc62v4gv1h0vkl, e713hl3clivldop8wln53rsyy, 75n089x1zca6gw23j27ohrhii, 82h98ebusz83rox95oi9kafh1, 6q0zzgnbbzsbubnekye5dunai",3968176927,59,"1, 17, 8, 21, 6, 5, 4, 20, 16, 26, 10, 3, 7, 9, 23, 24, 25, 28",3968176931,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495540861,2,32,1,0,0,5g1fnexeromjl0lvnxp8hpnhi,1,0,0,2023-01-07T14:59:58.865Z,2023-01-07T14:59:58Z,3968255429,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495540867,2,32,1,0,0,69t8imcdaqlgfbds2p58596my,1,0,0,2023-01-07T14:59:58.865Z,2023-01-09T20:25:19Z,3968255449,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495540901,3,1,1,0,0,5g1fnexeromjl0lvnxp8hpnhi,1,49.9,50.1,2023-01-07T14:59:58.885Z,2023-01-10T04:50:38Z,3968255597,213,3.2,3968255593,141,49.7,3968255599,279,S,3968255591,140,39.8,3968255589,56,Back,3968255595,212,10.6,3972219661,178,,,,,944ptuekuetkjifbeaycqcoh5,C. Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495540931,4,1,1,0,1,5g1fnexeromjl0lvnxp8hpnhi,1,39.8,49.7,2023-01-07T15:00:00.458Z,2023-01-10T04:50:44Z,3972219689,178,,3968255721,155,,3968255731,213,0.7,3968255723,56,Left,3968255727,141,82.9,3968255733,1,,3968255729,212,33.4,3968255725,140,63.2,2q6bsyszm27v5uvs30j5ty311,J. Houghton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495540947,5,44,1,0,4,5g1fnexeromjl0lvnxp8hpnhi,1,56.4,77.4,2023-01-07T15:00:03.314Z,2023-01-10T08:50:15Z,3968255803,56,Center,3971926965,286,,3968255981,233,3,,,,,,,,,,,,,,,,4xxoasz03erxlyonu2t8y5fqh,S. Cosgrove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495540935,3,44,1,0,4,69t8imcdaqlgfbds2p58596my,0,43.6,22.6,2023-01-07T15:00:03.315Z,2023-01-10T04:50:48Z,3968265397,233,5,3968255757,56,Back,3968255759,285,,,,,,,,,,,,,,,,,5tbz2hexz7vind39ot6govqzu,C. Bradley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495540959,6,1,1,0,4,5g1fnexeromjl0lvnxp8hpnhi,0,63.2,82.9,2023-01-07T15:00:03.341Z,2023-01-10T08:50:15Z,3968255835,141,75.6,3968255837,212,5.3,3968255829,3,,3968255833,140,65.1,3968255839,213,5.1,3972219751,388,,3968255831,56,Center,,,,4xxoasz03erxlyonu2t8y5fqh,S. Cosgrove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495540971,5,1,1,0,5,69t8imcdaqlgfbds2p58596my,0,24.9,33,2023-01-07T15:00:04.175Z,2023-01-10T04:50:58Z,3968255901,56,Center,3968255915,1,,3968255903,140,70.0,3968255907,212,48.1,3972219771,178,,3968255911,213,0.2,3968255905,141,45.5,3968255899,157,,6q06inb8ukzfsrxy0arxl78q1,A. Morley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
