id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,keyPass,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,assist
2486658223,1,34,16,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,0,0,2022-11-19T14:15:03.610Z,2022-11-19T16:07:29Z,3921229683,30,"1aq6osi0b0c580dlu9ugnjaei, 2asjeedy6igcuixqktdmk5k2x, 8w9kh0cuund2pw8wzs0rjrbah, a2g77lv071rnz76ujh30364tl, 74x5iaolqfr7r3on2uuriooyy, ag8f1ksvfel1a0y49d0iypuui, ex0gkrnzj98vrwpk9tpcfw91x, 6ipjgy0ewyx7mnmolu0pp0mw9, 7d9la6gbbobi9yie2ejf9uj1l, 7uhajc3suc68vemamuc3dyvp, 8i4qnoil4877e0wpwx3fj5b10, 3wew9tjsjrsoyioiuzd7ve356, 1vigb3e3dsxufbtvt4ed48e09, 9sbbk3dgso5zk3g48c8q8ypcl, 46ums24te70jl5qclztg8xhwp, 8vwzh7t772qg1r3uxo83eiqui, a5cmnj0nhdbux68291ipqcei2, emr44tyxp0paz40ay1336hh0q",3921229693,194,ex0gkrnzj98vrwpk9tpcfw91x,3921229691,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3921229685,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3921229687,59,"40, 2, 14, 16, 34, 50, 28, 6, 4, 7, 8, 1, 17, 18, 19, 21, 22, 27",3921229689,130,18,3921229697,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3921229695,197,16213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486658237,1,34,16,0,0,dmz37633qbsvl7gncq5s51yjw,1,0,0,2022-11-19T14:15:05.172Z,2022-11-19T14:15:05Z,3921229793,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3921229805,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3921229791,130,8,3921229789,59,"25, 2, 11, 4, 15, 6, 26, 22, 9, 14, 7, 5, 10, 13, 17, 18, 27, 30",3921229787,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3921229785,30,"886i2kpcsn38tt7wqios1ip5, 61aryp2zoj2ymcd318t9i70lx, 8x2yublirj5430deybqft0xxx, e3ff2af2lxs0rl8c4r5ns4wd1, bkpr0uwpx5kbu2ms41uxoljah, 9c3iyi7y3hdraso115kxmd87p, b3cehdu46pljqap9xw1j7pcyx, 68emhvrwqi5m0q155ww2bzn1m, aral6zvx8qxkfqkqwb7ldfk5x, 7b7ca1dklnp7reqcs5s4aauei, 2oqi7v6d676hbe9i9agdl9ckp, 6fd57izyk7hteztf9lnd1a6l1, 5kyyaapya2gv5awlfgckmwpux, 7xt0zamdkelc77pnx0hwgmeei, 6zl8z33wsnss7q7p8ybh19n56, 4lws9jepuxzs33zbt3w1ff9ih, 2u4m2ja4yhgtqjgwns2om5y7e, 90f1ffowfan7v6gdcnw0wry8k",3921229801,197,4631,3921229797,194,e3ff2af2lxs0rl8c4r5ns4wd1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486668385,2,32,1,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,0,0,2022-11-19T15:01:23.876Z,2022-11-19T15:01:24Z,3921281447,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486668393,2,32,1,0,0,dmz37633qbsvl7gncq5s51yjw,1,0,0,2022-11-19T15:01:23.876Z,2022-11-21T19:36:51Z,3921281465,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486668429,3,1,1,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,49.9,49.7,2022-11-19T15:01:23.919Z,2022-11-22T04:26:12Z,3921281613,56,Center,3923766903,178,,3921281617,141,28.8,3921281615,140,60.2,3921281619,212,17.9,3921281621,213,5.4,3921281623,279,S,,,,7d9la6gbbobi9yie2ejf9uj1l,E. Hamilton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486668469,4,1,1,0,1,5qwskbjpa17fvmtuu5qijy7cz,1,60.2,28.8,2022-11-19T15:01:25.863Z,2022-11-22T04:26:17Z,3921281829,56,Right,3921281833,141,8.5,3921281831,140,62.2,3923766919,178,,3921281837,213,4.9,3921281835,212,14.0,,,,,,,7uhajc3suc68vemamuc3dyvp,S. Whalley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486668491,5,1,1,0,4,5qwskbjpa17fvmtuu5qijy7cz,1,63.7,12.5,2022-11-19T15:01:28.444Z,2022-11-22T04:26:21Z,3921281913,141,24.9,3921281911,140,59.4,3923766943,178,,3921281919,213,2.1,3921281915,212,9.6,3921281909,56,Center,,,,,,,2asjeedy6igcuixqktdmk5k2x,M. Clark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486721601,317,43,1,0,5,5qwskbjpa17fvmtuu5qijy7cz,1,0,0,2022-11-19T15:01:28.876Z,2022-11-19T15:51:13Z,3921563781,56,Right,3921564391,144,8,,,,,,,,,,,,,,,,,,,6ipjgy0ewyx7mnmolu0pp0mw9,L. Coyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486668507,6,1,1,0,5,5qwskbjpa17fvmtuu5qijy7cz,0,55.5,25.3,2022-11-19T15:01:29.221Z,2022-11-22T04:26:24Z,3921281997,141,20.3,3921281995,140,65.4,3921281999,212,10.9,3923766957,178,,3921281993,56,Right,3921282001,213,6.0,,,,,,,6ipjgy0ewyx7mnmolu0pp0mw9,L. Coyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487141283,779,67,1,0,6,dmz37633qbsvl7gncq5s51yjw,1,31.9,87.5,2022-11-19T15:01:30.113Z,2022-11-22T05:48:52Z,3923777519,233,768,,,,,,,,,,,,,,,,,,,,,,8x2yublirj5430deybqft0xxx,H. Dunk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487141281,768,67,1,0,6,5qwskbjpa17fvmtuu5qijy7cz,0,68.1,12.5,2022-11-19T15:01:30.114Z,2022-11-22T05:00:00Z,3923777523,233,779,,,,,,,,,,,,,,,,,,,,,,7uhajc3suc68vemamuc3dyvp,S. Whalley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
