id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/14/value
2493222385,1,34,16,0,0,fvr504m6gaxsfmtx4fwm7iq1,1,0,0,2022-12-26T14:15:05.553Z,2022-12-26T14:15:05Z,3956022177,194,75c432elegprf4f6hn72icset,3956022167,30,"dtl2jirk97xct4idsoj2vxbs9, cjwflve6ukph4h2az1irm099l, eslpks0nl5y4vnn6xi13iuqqx, ab7t8dk9884hrwa88o41wq8dl, af7cmpeqlk4lcxz3bxgzjh8lx, 75c432elegprf4f6hn72icset, 61allnul4qlvl9s6wf0nehped, btlomqnhw2ft72iwg7xbaoh2i, 8ceatyytb6gk5odzls21u2w2x, cqcwoymcrgf7wdi6091zplecp, 7617zihboc2wywyoyou6nhuqd, ea28jq8w3nc9koizvgffy5a7d, 552cgdv8qya776at130r2d0mi, 4i81y9jhkouk3zmd03gjp1gx5, 9fdbjgbp780ql3ugygbuhie3t, 9em8141j1bdvykowhmoyeob85, 75lptyj9mjvb2zyupi4fnnox5, 1nvaqc5633cmmgqu2bpvly5ex",3956022181,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3956022171,59,"1, 32, 3, 6, 5, 2, 8, 23, 36, 9, 10, 7, 14, 15, 20, 22, 28, 30",3956022179,197,4843,3956022175,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3956022169,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3956022173,130,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493222433,1,34,16,0,0,5g1fnexeromjl0lvnxp8hpnhi,1,0,0,2022-12-26T14:15:09.048Z,2022-12-26T14:15:09Z,3956022503,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3956022489,30,"247o80ri7od76lxfrkmccz2ay, 5udpap0himq2ggsw4f0o5hqdx, 4lz9m2nwif7tql9hqsv2u7vft, 5a86e1pl8b7ibmrkz3h6gs1yh, wuidadmmyp6xcztp1lxdxg4p, 4cyf8fcefkz6433g76okyd65m, ab9z3kubalp5l33vbi4a8n0iy, 9llmzvk9nw1kwy73o8z9f8usp, 6rzq8xkkst4hgbh2ysj52gwyx, ady374prjuht3fs9va8n303jd, alhqwxs7t2pxxxuztmvy1ibpx, 2q6bsyszm27v5uvs30j5ty311, oe0lbxtc4qftnd886dzfm385, 9w0nk2mz77jqc62v4gv1h0vkl, 4xxoasz03erxlyonu2t8y5fqh, 82h98ebusz83rox95oi9kafh1, 56y2duyhs0m5k084fnyorx2j8, c91xqk7frtlqhv3m4decyq3h0",3956022497,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3956022501,197,16466,3956022493,59,"1, 8, 17, 3, 6, 21, 20, 7, 11, 19, 10, 4, 5, 9, 16, 25, 44, 49",3956022499,194,5udpap0himq2ggsw4f0o5hqdx,3956022491,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3956022495,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493236221,2,32,1,0,0,fvr504m6gaxsfmtx4fwm7iq1,1,0,0,2022-12-26T15:01:18.081Z,2022-12-28T05:29:55Z,3956098077,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493236215,2,32,1,0,0,5g1fnexeromjl0lvnxp8hpnhi,1,0,0,2022-12-26T15:01:18.081Z,2022-12-26T15:01:18Z,3956098051,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493236347,3,1,1,0,0,5g1fnexeromjl0lvnxp8hpnhi,1,49.8,49.9,2022-12-26T15:01:18.141Z,2022-12-28T11:41:00Z,3956098697,140,36.2,3956098707,279,S,3958400513,178,,3956098703,213,3.1,3956098699,141,50.3,3956098701,212,14.3,3956098695,56,Back,,,,ady374prjuht3fs9va8n303jd,M. Whittaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493236353,4,1,1,0,1,5g1fnexeromjl0lvnxp8hpnhi,0,42.3,45.6,2022-12-26T15:01:19.644Z,2022-12-29T09:36:11Z,3956098747,140,72.2,3956098749,141,92.3,3956098745,56,Left,3956098751,212,44.7,3956098757,1,,3956098743,155,,3958400561,178,,3956098753,213,0.8,ab9z3kubalp5l33vbi4a8n0iy,A. Randell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493236359,3,1,1,0,4,fvr504m6gaxsfmtx4fwm7iq1,0,25,8.6,2022-12-26T15:01:22.722Z,2022-12-28T11:41:23Z,3956098773,56,Back,3958400805,388,,3956098771,3,,3956098779,212,13.8,3956098775,140,36.6,3956098781,213,0.5,3956098777,141,18.2,,,,75c432elegprf4f6hn72icset,S. Long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493236377,5,1,1,0,6,5g1fnexeromjl0lvnxp8hpnhi,1,60.3,85.3,2022-12-26T15:01:24.141Z,2022-12-28T11:41:29Z,3958400889,178,,3956098905,213,1.2,3956098901,141,95.6,3956098897,56,Left,3956098903,212,7.5,3956098899,140,62.8,,,,,,,9llmzvk9nw1kwy73o8z9f8usp,M. Butcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493236439,6,1,1,0,8,5g1fnexeromjl0lvnxp8hpnhi,1,62.8,95.6,2022-12-26T15:01:26.386Z,2022-12-28T11:41:33Z,3956099229,140,33.7,3956099233,212,31.1,3956099235,213,3.3,3956099231,141,86.9,3956099227,56,Back,3958400957,178,,,,,,,,alhqwxs7t2pxxxuztmvy1ibpx,D. Mayor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493236499,7,1,1,0,10,5g1fnexeromjl0lvnxp8hpnhi,1,33.7,86.9,2022-12-26T15:01:28.673Z,2022-12-28T11:41:40Z,3956099463,56,Back,3956099475,1,,3956099471,213,3.8,3956099465,140,9.5,3958401007,178,,3956099469,212,32.2,3956099467,141,57.9,,,,5a86e1pl8b7ibmrkz3h6gs1yh,M. Gillesphey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
