id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/11/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,assist
2494443219,1,34,16,0,0,8mbtyq0has0uu0565fm9t5cdo,1,0,0,2023-01-01T14:15:01.757Z,2023-01-01T15:17:42Z,3962472971,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3962472977,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3962472969,30,"3yamg9wboimwxyklpekdxgxxx, a6sikfu3j1pp7mlfcdte2inoq, dt6qnodvlkioltvbbhn08tqs5, 90ljpsmc6jf9657bs8cwkavl6, 8nudzikxeestbjz4yww8r13v9, 5kdcg5tlzqdsmqdvyvxf49rrp, b0hjaqg0on2lrpfcjxfyz7uqy, d41ua67591gafg6gb9iwg3p7u, d866x81xlp0h24rtpg9jbczbp, 39gerw0vkyeriats1e0rgdn56, 5n4yyffs5f8b7exry819c4xxx, 8wnv741y7ghjolf8g5c7psru1, 7mcxkeo8701m9cs3hfy6towrt, 5djouum2kdazpcjf79gbk2ju1, enwfqkgv2m6hfwwjmbvfx9m1h, 268os78lzi8fggnve9n15h5ux, 3gecp9ekr3ge4dk1zl4gt8amt, 2u29ogddmahu2ursn73e5yw9h",3962472983,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3962472981,197,4823,3962472979,194,8nudzikxeestbjz4yww8r13v9,3962472975,130,12,3962472973,59,"1, 37, 3, 15, 2, 8, 23, 12, 14, 39, 4, 7, 10, 11, 21, 24, 38, 45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494443439,1,34,16,0,0,8xeuwzxnm7hdlbjjuezgfkz3w,1,0,0,2023-01-01T14:15:58.394Z,2023-01-02T17:43:45Z,3962474349,197,4867,3962474351,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3962474345,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3962474337,30,"af0te77bq4mgr7rkkqateiswl, b1or5u4dfuf4pvg7cgqnp3nxl, apgbqplqtvuc1dmdxi5gqhd04, a69q0jj7tjwzxpo6b4i1ed3h1, cqbxzfg7eb97z1rx01kms6ay1, 3nxrsmys3v8ci6xeqsx8yaac5, a06js9xdgcoqq2mjjp9bbozu2, dhty303ilcb4cocqv68324xk9, 8f5io2957l6ye5u7bsan0ecfe, 3ft5brlvxvw8otiyjppxkk6ad, 3hjfotlalegyuxqoidz99f1ii, dqgptypyedqzff38kn24en3s9, 5zmy857tqaz6h9g3hqyank82d, 3ujxqdy1k9w7hf33scf16hm8l, 6s5n6ri7p16dbqb35b2dpl0wl, 5pf4sma6x95qcuhx6wmqqzu1h, 2ykne43vtv8c00rvviyr3rre2, 5h89f4rz70l545xkozdp99ck5",3962474343,130,18,3962474347,194,af0te77bq4mgr7rkkqateiswl,3962474341,59,"1, 21, 25, 6, 16, 5, 20, 4, 15, 9, 23, 2, 8, 11, 12, 14, 17, 22",3962474339,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449687,2,32,1,0,0,8mbtyq0has0uu0565fm9t5cdo,1,0,0,2023-01-01T15:02:13.896Z,2023-01-01T15:02:16Z,3962508135,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449679,2,32,1,0,0,8xeuwzxnm7hdlbjjuezgfkz3w,1,0,0,2023-01-01T15:02:13.896Z,2023-01-03T04:06:49Z,3962508105,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449701,3,1,1,0,0,8xeuwzxnm7hdlbjjuezgfkz3w,1,49.8,50.1,2023-01-01T15:02:13.917Z,2023-01-03T08:53:02Z,3962508231,213,2.9,3962508227,141,54.9,3962508225,140,35.7,3962508223,56,Back,3962508229,212,15.2,3964366021,178,,3962508233,279,S,,,,8f5io2957l6ye5u7bsan0ecfe,J. Weir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449717,4,1,1,0,1,8xeuwzxnm7hdlbjjuezgfkz3w,1,35.7,54.9,2023-01-01T15:02:15.687Z,2023-01-03T08:53:18Z,3962508291,155,,3962508297,140,68.6,3962508301,212,43.1,3962508305,1,,3962508303,213,0.6,3962508299,141,92.7,3964366167,178,,3962508295,56,Left,a06js9xdgcoqq2mjjp9bbozu2,L. Shaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449721,5,44,1,0,4,8xeuwzxnm7hdlbjjuezgfkz3w,1,70.6,89.6,2023-01-01T15:02:18.216Z,2023-01-03T10:19:35Z,3962508313,56,Left,3962508315,286,,3962508487,233,3,,,,,,,,,,,,,,,,3ft5brlvxvw8otiyjppxkk6ad,C. Stockton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449757,3,44,1,0,4,8mbtyq0has0uu0565fm9t5cdo,0,29.4,10.4,2023-01-01T15:02:18.217Z,2023-01-03T08:53:43Z,3962508497,233,5,3962508473,285,,3962508471,56,Back,,,,,,,,,,,,,,,,5n4yyffs5f8b7exry819c4xxx,A. Oshilaja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449729,6,1,1,0,4,8xeuwzxnm7hdlbjjuezgfkz3w,0,68.6,92.7,2023-01-01T15:02:18.295Z,2023-01-03T10:19:36Z,3962508377,213,0.7,3962508369,56,Left,3964366429,388,,3962508371,140,75.9,3962508365,3,,3962508367,168,,3962508375,212,9.9,3962508373,141,100.0,3ft5brlvxvw8otiyjppxkk6ad,C. Stockton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449799,4,5,1,0,7,8mbtyq0has0uu0565fm9t5cdo,1,22.9,-2,2023-01-01T15:02:21.076Z,2023-01-03T08:54:04Z,3962508657,347,,3962508681,233,7,3962508655,56,Back,,,,,,,,,,,,,,,,5n4yyffs5f8b7exry819c4xxx,A. Oshilaja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
