id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/18/value
2494139621,1,34,16,0,0,dmz37633qbsvl7gncq5s51yjw,1,0,0,2022-12-30T18:59:35.821Z,2022-12-30T18:59:36Z,3960897979,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5",3960897977,30,"886i2kpcsn38tt7wqios1ip5, 61aryp2zoj2ymcd318t9i70lx, 2oqi7v6d676hbe9i9agdl9ckp, 2u4m2ja4yhgtqjgwns2om5y7e, bkpr0uwpx5kbu2ms41uxoljah, 6fd57izyk7hteztf9lnd1a6l1, b3cehdu46pljqap9xw1j7pcyx, e3ff2af2lxs0rl8c4r5ns4wd1, 5kyyaapya2gv5awlfgckmwpux, 7b7ca1dklnp7reqcs5s4aauei, 4lws9jepuxzs33zbt3w1ff9ih, aral6zvx8qxkfqkqwb7ldfk5x, 7xt0zamdkelc77pnx0hwgmeei, 6zl8z33wsnss7q7p8ybh19n56, 68emhvrwqi5m0q155ww2bzn1m, 9gh28gs9i4hfnqqwymzc7s36c",3960897985,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0",3960897989,197,17032,3960897987,194,6fd57izyk7hteztf9lnd1a6l1,3960897983,130,8,3960897981,59,"25, 2, 7, 27, 15, 5, 26, 4, 10, 14, 18, 9, 13, 17, 22, 37",3960897991,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494139631,1,34,16,0,0,3ptd7zlc5isrongig0wij2id4,1,0,0,2022-12-30T18:59:37.899Z,2022-12-30T19:18:39Z,3960898061,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3960898041,30,"2xd9g0s3888o99iq0eb5j6ead, 8thtb5uqqv63f880cwhpc5zv9, 85vh43wsin67z2dj0iod12fop, bwu80wn3lca4x2txuelku0a21, ebsspe8jslej9a253w4xpf55h, 69lg8jmug501h6biol5itk02y, e2sj7bhk2s9du1bs1vza1b4k5, 8y3obwxpwckjfl7hkrrg97sgl, a64e8yqggr7fmtdlyr9v80yxh, f2d0i9t2qeyppfqrdv6xzc3px, 6kxph7ulzz58v8tm3aaomy1ka, ddc712ebtmrrpvj4shekecus5, h4x8lz5ou8esdao80mvls9yi, e01znd47zh4hk0g8jx67wzl9m, 67j73dckmb73ntxo81hc840r9, bf7ph89zhr5y6rtct5k9bvqc4, 6kz7c7i4wzph7qlzi9nzt266t, 1la1hsnuheliwojwmcbxroy96",3960898053,194,bwu80wn3lca4x2txuelku0a21,3960898043,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3960898057,197,13091,3960898047,130,8,3960898049,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3960898045,59,"1, 12, 17, 8, 3, 6, 11, 4, 9, 10, 18, 7, 15, 16, 21, 23, 33, 38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494149935,2,32,1,0,0,3ptd7zlc5isrongig0wij2id4,1,0,0,2022-12-30T19:46:15.365Z,2023-01-01T19:28:51Z,3960954619,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494149933,2,32,1,0,0,dmz37633qbsvl7gncq5s51yjw,1,0,0,2022-12-30T19:46:15.365Z,2022-12-30T19:46:15Z,3960954617,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494149951,3,1,1,0,0,dmz37633qbsvl7gncq5s51yjw,1,50.1,50.1,2022-12-30T19:46:15.397Z,2023-01-02T06:11:06Z,3960954701,140,27.5,3960954703,141,48.2,3963243177,178,,3960954699,56,Back,3960954709,279,S,3960954705,212,23.8,3960954707,213,3.2,,,,7b7ca1dklnp7reqcs5s4aauei,J. Lankester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494149971,4,1,1,0,3,dmz37633qbsvl7gncq5s51yjw,0,27.5,48.2,2022-12-30T19:46:18.422Z,2023-01-02T06:11:13Z,3960954843,213,0.5,3963243243,178,,3960954845,1,,3960955237,155,,3960954839,141,73.2,3960954837,140,60.1,3960954835,56,Center,3960954841,212,38.2,886i2kpcsn38tt7wqios1ip5,W. Mannion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494149981,3,5,1,0,8,3ptd7zlc5isrongig0wij2id4,1,30.4,-2,2022-12-30T19:46:23.868Z,2023-01-02T06:11:23Z,3960954893,56,Back,3960954897,233,5,3960954895,347,,,,,,,,,,,,,,,,,e2sj7bhk2s9du1bs1vza1b4k5,N. Mendez-Laing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494149979,5,5,1,0,8,dmz37633qbsvl7gncq5s51yjw,0,69.6,102,2022-12-30T19:46:23.868Z,2023-01-02T06:11:23Z,3960954927,233,3,3960954887,347,,3960954885,56,Left,,,,,,,,,,,,,,,,886i2kpcsn38tt7wqios1ip5,W. Mannion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494150005,4,1,1,0,10,3ptd7zlc5isrongig0wij2id4,1,30.4,0,2022-12-30T19:46:25.713Z,2023-01-02T06:11:46Z,3960955051,140,44.3,3960955049,56,Back,3960955047,107,,3960955057,212,15.5,3960955059,213,0.3,3960955055,141,5.5,,,,,,,8thtb5uqqv63f880cwhpc5zv9,K. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494150007,5,1,1,0,12,3ptd7zlc5isrongig0wij2id4,0,43.9,5.3,2022-12-30T19:46:27.888Z,2023-01-02T06:11:54Z,3960955071,141,17.4,3963243595,178,,3960955075,213,1.8,3960955073,212,8.4,3962433541,155,,3960955069,140,42.1,3960955067,56,Back,,,,e2sj7bhk2s9du1bs1vza1b4k5,N. Mendez-Laing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
