id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/11/value,keyPass,qualifier/15/value,qualifier/14/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/18/value
2521734071,1,34,16,0,0,9q0arba2kbnywth8bkxlhgmdr,1,0,0,2023-03-18T16:30:05.819Z,2023-03-18T23:33:24Z,4106298033,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4106298027,59,"1, 24, 21, 4, 26, 33, 5, 8, 11, 29, 10, 7, 12, 13, 14, 15, 23, 30, 31, 32",4106298043,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4106298029,130,13,4106298019,30,"6j3wbk9xlq4om4m8ih6b3tyvp, dczrgxyolp7lcz413wkz7ap61, 7usl4495egoptlrd762f0arbp, 5g5wwp5luxo1rz1kp6chvz0x6, b1srdmp4cmwl9k768h8a2ixn9, 7yirx71oya71zjsgldj5ucqcq, 1zxwich342p8fholev7ddkwh6, ehopba709zukxj4vgcync942d, 4z60ztggqxzfbp8w9ijoqefop, ed20ebhqi5c32vbbsze8r6yuh, 93soe2rjn0z874cc9ofcesgkp, am70epdl0361z5af8ahskcdsl, e6jaaazxqeczj6ziaj0qnqpxx, 9l3cvbbgw484v7la0bjv43mj9, 5e2zgfe3ltc6qbnoqdfshqsph, ay02byqc6zdrh5xy3d4fy5qay, c83h08n0vnjvfgglyefy03h0p, 5ql70wwevaoqpxabylew5f696, e3il1t1s5lrn4g8t85fcm40oa, 7c2wnewpcf1idj6ghj6gu0wyd",4106298023,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4106298037,194,ehopba709zukxj4vgcync942d,4106298039,197,11560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521734123,1,34,16,0,0,ehd2iemqmschhj2ec0vayztzz,1,0,0,2023-03-18T16:30:07.516Z,2023-03-18T16:30:07Z,4106298241,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4106298251,197,410,4106298253,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4106298243,59,"1, 23, 22, 16, 5, 2, 17, 8, 11, 27, 7, 4, 13, 15, 19, 20, 26, 30, 37, 50",4106298245,130,5,4106298249,194,9nq9bocnqq6bu8ho4m26qmkt1,4106298247,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4106298239,30,"e8dina16u5kt5ho4u5igtmimt, 9nq9bocnqq6bu8ho4m26qmkt1, 8ro3lpzufz8ea9pa2j1jivqad, 8g7clz1z04oqjxhg8xnqc7105, 6og6s61vrg51rfqxk9cipylzp, 35jaxclh329duzefna708jk5x, 8kb5h8df97ju107n9ibigo1cl, do3duah478rhz9cg2icde4h9m, 4n782p6eaok71ai7ecj1jo1jp, ceerfv28fygp7m2euv5n5uu39, 7qgt7sht6py670pt6t4wjhqay, 4njl5iqybub0cxbhjh2xbft9l, d4vdrtte9kb9qmlkrx1rvgk45, 5tlxrhab4kdeud8d2r9z9hk2d, 9o1vesnpfiucpoq35ihhpstex, xu7mykgl15kaib3olilmsez9, cpd8prwzxf0rzevtk33fpryt, ed4w2l6hglrrxu2a75bn0tt5h, 15948izygnu32cu1pw6h5wp9l, 4b3axlxopby87f4luevihgwdl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521804919,2,32,1,0,0,ehd2iemqmschhj2ec0vayztzz,1,0,0,2023-03-18T17:30:51.794Z,2023-03-18T17:30:52Z,4106679195,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521804923,2,32,1,0,0,9q0arba2kbnywth8bkxlhgmdr,1,0,0,2023-03-18T17:30:51.794Z,2023-03-19T01:51:08Z,4106679217,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521804955,3,1,1,0,0,9q0arba2kbnywth8bkxlhgmdr,1,50.1,50.1,2023-03-18T17:30:51.858Z,2023-03-19T03:02:40Z,4106679383,213,2.5,4106679381,212,11.8,4106679377,140,41.0,4106679379,141,60.3,4106679375,56,Back,4108555883,178,,4106679385,279,S,,,,4z60ztggqxzfbp8w9ijoqefop,João Félix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521804961,4,1,1,0,1,9q0arba2kbnywth8bkxlhgmdr,1,40.2,60.5,2023-03-18T17:30:53.472Z,2023-03-19T03:02:45Z,4106679417,213,3.7,4106679415,212,8.5,4106679407,140,33.5,4106679405,56,Back,4108555999,178,,4106679411,141,53.6,,,,,,,ehopba709zukxj4vgcync942d,M. Kovačić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521804985,5,1,1,0,3,9q0arba2kbnywth8bkxlhgmdr,1,33.2,57.9,2023-03-18T17:30:54.953Z,2023-03-19T03:02:48Z,4106679521,212,16.8,4106679515,56,Back,4108556079,178,,4106679523,213,1.8,4106679517,140,29.1,4106679519,141,81.8,,,,,,,1zxwich342p8fholev7ddkwh6,E. Fernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521805011,6,1,1,0,5,9q0arba2kbnywth8bkxlhgmdr,1,30.9,87.8,2023-03-18T17:30:57.538Z,2023-03-19T03:02:53Z,4106679645,141,97.7,4108556213,178,,4106679647,212,8.8,4106679649,213,0.9,4106679643,140,36.3,4106679641,56,Back,,,,,,,5g5wwp5luxo1rz1kp6chvz0x6,B. Badiashile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521805063,7,1,1,0,7,9q0arba2kbnywth8bkxlhgmdr,1,34.8,98.1,2023-03-18T17:30:59.253Z,2023-03-19T03:02:56Z,4106679925,213,6.0,4108556317,178,,4106679919,140,47.7,4106679917,56,Back,4106679923,212,14.3,4106679921,141,91.3,,,,,,,7usl4495egoptlrd762f0arbp,B. Chilwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521805085,8,1,1,0,8,9q0arba2kbnywth8bkxlhgmdr,1,42.5,89.9,2023-03-18T17:31:00.368Z,2023-03-19T03:03:03Z,4106680021,213,3.9,4106680015,140,35.3,4106680019,212,10.8,4106680017,141,78.6,4108556509,178,,4106680013,56,Back,,,,,,,93soe2rjn0z874cc9ofcesgkp,C. Pulišić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
