id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/8/value,qualifier/12/value,qualifier/15/value,qualifier/11/value,qualifier/10/value,qualifier/9/value,qualifier/14/value,qualifier/16/value,assist
2496778825,2,34,16,0,0,hzqh7z0mdl3v7gwete66syxp,1,0,0,2023-01-12T19:00:26.574Z,2023-01-12T20:01:24Z,3974747157,59,"17, 2, 33, 6, 4, 13, 14, 26, 30, 18, 20, 1, 3, 8, 10, 11, 12, 21, 31, 38",3974747165,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3974747155,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3974747159,130,8,3974747163,194,b1el7j39v2pgvl9zodd9usded,3974747153,30,"2f79rc4i712sxstahjkq6pxp1, 2qy2d8xkwkbeyw5v8ljlzb845, bgc1psqiv7vagmphfl920nbah, a9k2946gt4hcqw8jpi6ow3jdh, 661b6x35l9b9uieqbcq7el1hx, b1el7j39v2pgvl9zodd9usded, ch8dgambei1xbzmikkglg3c9h, ecp0v1dxqfjbgy3urnkz5d3o5, 94zmvxw7yw020w43dn0qiclbd, ah7iqgru0htz9lh1bff94cjbp, afcwu800ox2u5zx6xaiygg1qt, 46jsa691lantlbcfqm1rtnlcl, 8oyxr0sr61uhi2gm6bbtjdy39, dlpk0a4jgiswcm2r75uh1czpx, cgvp2cli2gi4cnyl62kt80r11, f0drogjsrwqv3hyjxuqcnk8vd, 8u8he2dwkbgjf3yo8jsltq9qt, dkwkmrmpb7rq4e660efcu5hat, chn2v9j6dqmuz2haoiuulbd91, afef63w1s01vagw51lo85qcd0",3974747161,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3974808583,197,4967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496778831,1,34,16,0,0,9q0arba2kbnywth8bkxlhgmdr,1,0,0,2023-01-12T19:00:32.269Z,2023-01-12T20:01:34Z,3974747191,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3974747181,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3974806839,197,11560,3974747183,59,"1, 28, 67, 26, 6, 14, 19, 8, 29, 11, 20, 4, 5, 9, 13, 22, 23, 27, 30, 32",3974747189,194,bvw1jgmhfyc896gfi6uj0skwl,3974747185,130,12,3974747179,30,"6j3wbk9xlq4om4m8ih6b3tyvp, bvw1jgmhfyc896gfi6uj0skwl, 8i46yzejeiwdmz0tywmy42o2y, b1srdmp4cmwl9k768h8a2ixn9, c6pqhaqusk8s1c2m21i5wtrkl, 5e2zgfe3ltc6qbnoqdfshqsph, 8nh6qf9i1d0qw7nx4wk25qzth, ehopba709zukxj4vgcync942d, ed20ebhqi5c32vbbsze8r6yuh, 4z60ztggqxzfbp8w9ijoqefop, 2jc6sdkse1kxjztsgystidot1, 5g5wwp5luxo1rz1kp6chvz0x6, 9id859f7xnqwj0jazjzkbjzdh, actvnm36s31zf8wh8hjikzlqt, 9l3cvbbgw484v7la0bjv43mj9, 8r547g1qv706wo9iqr5unfnpx, c83h08n0vnjvfgglyefy03h0p, 6ita8t40qk3b85mrqpq71gjys, 5ql70wwevaoqpxabylew5f696, 7c2wnewpcf1idj6ghj6gu0wyd",3974747187,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496789211,2,32,1,0,0,9q0arba2kbnywth8bkxlhgmdr,1,0,0,2023-01-12T20:00:17.061Z,2023-01-12T20:00:20Z,3974807953,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496789209,3,32,1,0,0,hzqh7z0mdl3v7gwete66syxp,1,0,0,2023-01-12T20:00:17.061Z,2023-01-14T17:39:40Z,3974807951,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496789213,4,1,1,0,0,hzqh7z0mdl3v7gwete66syxp,1,49.9,50.1,2023-01-12T20:00:17.072Z,2023-01-13T04:20:55Z,3974971887,178,,3974807967,140,28.6,3974807973,213,3.6,3974807971,212,25.0,3974807969,141,33.7,3974807965,56,Back,3974807975,279,S,,,,a9k2946gt4hcqw8jpi6ow3jdh,H. Reed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496789215,5,1,1,0,2,hzqh7z0mdl3v7gwete66syxp,1,29.9,34.3,2023-01-12T20:00:19.805Z,2023-01-13T04:20:58Z,3974807993,140,73.9,3974808001,1,,3974807991,56,Left,3974971919,178,,3974807997,212,60.9,3974807989,155,,3974807999,213,0.7,3974807995,141,92.6,661b6x35l9b9uieqbcq7el1hx,T. Adarabioyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496789217,6,1,1,0,6,hzqh7z0mdl3v7gwete66syxp,0,73.9,92.6,2023-01-12T20:00:23.638Z,2023-01-13T04:21:01Z,3974971967,388,,3974808015,141,86.4,3974808019,213,5.4,3974808017,212,5.4,3974808011,56,Left,3974808009,3,,3974808013,140,77.1,,,,afcwu800ox2u5zx6xaiygg1qt,Willian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496789219,3,43,1,0,7,9q0arba2kbnywth8bkxlhgmdr,1,0,0,2023-01-12T20:00:24.488Z,2023-01-12T20:01:43Z,3974808883,144,49,,,,,,,,,,,,,,,,,,,,,,bvw1jgmhfyc896gfi6uj0skwl,César Azpilicueta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496789223,4,1,1,0,7,9q0arba2kbnywth8bkxlhgmdr,1,20.9,14.2,2023-01-12T20:00:24.946Z,2023-01-13T04:21:08Z,3974808031,56,Back,3974808033,140,20.4,3974971993,178,,3974808039,213,4.6,3974808035,141,9.4,3974808037,212,3.3,,,,,,,bvw1jgmhfyc896gfi6uj0skwl,César Azpilicueta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496824345,996,67,1,0,8,9q0arba2kbnywth8bkxlhgmdr,1,20.9,10.7,2023-01-12T20:00:25.741Z,2023-01-13T05:21:47Z,3974996235,233,916,,,,,,,,,,,,,,,,,,,,,,5e2zgfe3ltc6qbnoqdfshqsph,T. Chalobah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
