id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value
2445244717,1,34,16,0,0,b9si1jn1lfxfund69e9ogcu2n,1,0,0,2022-08-13T13:00:03.050Z,2022-08-13T14:04:24Z,3701758439,59,"1, 19, 3, 32, 4, 23, 18, 8, 11, 10, 7, 13, 15, 17, 22, 24, 25, 37, 39, 77",3701758449,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3701758443,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3701758435,30,"71rob1lsnmdviy1siakkzpqdx, 7wzwqegxhekjwq361dd2nidp1, 9jxhgh1vhc531ho0ez5alfazu, 1emj0rlthc8syfleox4c39kut, csinkvzxcphggdjeflmo173zd, 2nz313c0ot91untg011l3pc6h, 55yy0p6johtu9nxk90zsfctt5, 8kw1y8mzxtwl4fv8qkc8hoc7p, dl8x6fzdexn8r0sj65vgcgq8l, 50y6nq2eok9lnmldevkamkkwl, 6psklvi66inwws7buzf16yjft, ee0c6prj79s48erjp7bgbr3dh, cfpqqzqrpzv6dq89yw7nfd1p1, 7pmigpf4yfi6dfih8e1ogdwb9, 3fhoof7n4sjaizvotcmypb9at, 29f3jvukalzylzr19t9phgxgq, ehv4rise2fx4u1wepwtwllb6x, e83zd56y74k8uecxqyo5xw7v9, dp3cwbaz62y3kemf4b6dg08vd, dez3rm7q89xk157fwnc3tgqcq",3701758445,194,8kw1y8mzxtwl4fv8qkc8hoc7p,3701758441,130,8,3701758447,197,4986,3701758437,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445244733,1,34,16,0,0,hzqh7z0mdl3v7gwete66syxp,1,0,0,2022-08-13T13:00:05.686Z,2022-08-13T14:04:40Z,3701758543,130,8,3701758545,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3701758541,59,"1, 2, 33, 26, 4, 13, 14, 6, 9, 18, 7, 5, 10, 12, 17, 19, 27, 31, 35, 65",3701758547,194,b1el7j39v2pgvl9zodd9usded,3701758537,30,"46jsa691lantlbcfqm1rtnlcl, 2qy2d8xkwkbeyw5v8ljlzb845, bgc1psqiv7vagmphfl920nbah, ecp0v1dxqfjbgy3urnkz5d3o5, 661b6x35l9b9uieqbcq7el1hx, b1el7j39v2pgvl9zodd9usded, ch8dgambei1xbzmikkglg3c9h, a9k2946gt4hcqw8jpi6ow3jdh, b27pmpcvny40pkcx87tdddsyd, ah7iqgru0htz9lh1bff94cjbp, 1ehvdoglquy9ldibpvajw34d1, 8jf11l2tivq8jpw0fblgdvh05, cgvp2cli2gi4cnyl62kt80r11, 8u8he2dwkbgjf3yo8jsltq9qt, 2f79rc4i712sxstahjkq6pxp1, 9wqqm1lr6y75yl27asdcygf3e, fwu0bja02waqct7l682s5mfp, chn2v9j6dqmuz2haoiuulbd91, 6cbixj2kogb7ibypc15x6crxm, adfgsbp3tv9wgatujcr9mfuju",3701758551,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3701758539,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3701758549,197,4967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445273603,2,32,1,0,0,hzqh7z0mdl3v7gwete66syxp,1,0,0,2022-08-13T14:00:11.390Z,2022-08-13T14:00:11Z,3701900779,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445273631,2,32,1,0,0,b9si1jn1lfxfund69e9ogcu2n,1,0,0,2022-08-13T14:00:11.390Z,2022-08-13T21:53:35Z,3701900839,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445273643,3,1,1,0,0,hzqh7z0mdl3v7gwete66syxp,1,49.8,50,2022-08-13T14:00:11.426Z,2022-08-13T21:59:49Z,3701900877,56,Back,3704399559,178,,3701900879,140,33.7,3701900887,279,S,3701900881,141,54.0,3701900885,213,3.0,3701900883,212,17.1,,,,ecp0v1dxqfjbgy3urnkz5d3o5,João Palhinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445273695,4,1,1,0,2,hzqh7z0mdl3v7gwete66syxp,1,34.1,54.2,2022-08-13T14:00:13.952Z,2022-08-13T22:00:01Z,3701901039,212,44.9,3701901043,1,,3704399797,178,,3701901035,140,63.8,3701901031,155,,3701901033,56,Right,3701901041,213,5.5,3701901037,141,6.7,b1el7j39v2pgvl9zodd9usded,T. Ream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445273707,5,44,1,0,5,hzqh7z0mdl3v7gwete66syxp,1,62.6,10.6,2022-08-13T14:00:17.007Z,2022-08-14T00:47:25Z,3701901199,233,3,3701901081,56,Right,3701901083,286,,,,,,,,,,,,,,,,,b27pmpcvny40pkcx87tdddsyd,A. Mitrović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445273725,3,44,1,0,5,b9si1jn1lfxfund69e9ogcu2n,0,37.4,89.4,2022-08-13T14:00:17.008Z,2022-08-13T22:00:06Z,3701901143,285,,3701901215,233,5,3701901141,56,Back,,,,,,,,,,,,,,,,1emj0rlthc8syfleox4c39kut,L. Dendoncker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445273741,6,1,1,0,5,hzqh7z0mdl3v7gwete66syxp,0,63.8,6.5,2022-08-13T14:00:17.064Z,2022-08-14T00:47:25Z,3701901223,3,,3704399983,388,,3701901225,56,Center,3701901227,140,76.9,3701901231,212,18.2,3701901233,213,0.7,3701901229,141,24.1,,,,b27pmpcvny40pkcx87tdddsyd,A. Mitrović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445273753,4,49,1,0,7,b9si1jn1lfxfund69e9ogcu2n,1,22,71.3,2022-08-13T14:00:19.260Z,2022-08-13T22:00:18Z,,,,,,,,,,,,,,,,,,,,,,,,,2nz313c0ot91untg011l3pc6h,M. Kilman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
