id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/14/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2445244731,1,34,16,0,0,1pse9ta7a45pi2w2grjim70ge,1,0,0,2022-08-13T13:00:05.674Z,2022-08-13T14:35:25Z,3701758533,197,2071,3701758525,59,"1, 15, 17, 5, 8, 6, 4, 22, 21, 16, 10, 11, 13, 18, 19, 23, 25, 29, 32, 20",3701758521,30,"12l99v9rpet6ug6n121tg6ay1, 80bmtj7l07ohb2h475w955n9, bzjzvw54k5cmo93wdkjv89knp, 7gyfpskzbb3r5nhiniky22o6h, 6gxyeuqjnyj9bl4n8kz14sv6d, bvlkh4zxfuo5frhj7ogpnecbt, djelmk2oafas355n2u0d1bumt, 2ubxzcc4zioelrh0cvxnae4lx, efq6i6kz6ca3u91snwmptef2t, b3gobhr43y8oxpafvp4f8rgmh, cr4c6htcw2jewsvboj6s8p045, 1e7gbqj7riv8a7kxsfjr0q7kl, 1um5sa7iogc29aadvkabadyad, 8yp9la3fl2zym7vie19lmw0k5, 4fsvhj2hcujfwrz0kjo76u1g5, 9ea8t509bssf2bhp1n5xxvrl6, 95pzsjfh0wf6isp6qpf9lddyh, 33cny48k38nlo8pcx3i24ldqt, 8cmkqkrjme3wb0gegzn1e6xre, b187awt0wdxh20fx1rn5vgewa",3701758531,194,7gyfpskzbb3r5nhiniky22o6h,3701758535,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3701758527,130,17,3701758523,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3701758529,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445244745,1,34,16,0,0,a3nyxabgsqlnqfkeg41m6tnpp,1,0,0,2022-08-13T13:00:08.437Z,2022-08-13T23:24:09Z,3701758621,197,4978,3701758615,130,8,3701758611,59,"31, 2, 7, 8, 3, 6, 26, 16, 9, 17, 47, 5, 10, 18, 19, 20, 48, 79, 82, 97",3701758601,30,"23637o19ff0sw18pqv8g96ndh, e9wu8dcamrtj3ftbx3nmhusid, 29pq64smaxdwlraopnxoleqxh, 9wbf00lybk9fqablaqwg5cn2t, 2t5s4f41jefzuzth0bhcixtcl, 7jn9kl5wq29d41ekc2fz2rs2d, exiribcpg9vnuq9ekhlk74dlh, dqfk7czrayirrvonirtk2mk15, atzboo800gv7gic2rgvgo0kq1, c2jqa9vozhqu7x79h5rr2n1ed, 693z0rzfh3m0h0wsma9v8c9ux, 3gem1jrrkgye0omb88fk1lsk5, 72nph557ee2a9tdky8rvk12vp, 5d6d4oc2rpau0mbbbt2dmtzv9, 9ikkuxd19avliz1khcrm82gyy, b3974hgsmyff5xtq7qf1onhlh, 5jk0wq14a8emikh2vh53aw0ve, 96hgdxqla3prs8zusk58lmdey, d0azo0spzov2hg6ul40l58e3u, w541dxowigldl3yvsp55arfu",3701758619,194,9wbf00lybk9fqablaqwg5cn2t,3701758607,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3701758623,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3701758617,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445274037,2,32,1,0,0,a3nyxabgsqlnqfkeg41m6tnpp,1,0,0,2022-08-13T14:00:34.939Z,2022-08-13T17:41:58Z,3701902417,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445274027,2,32,1,0,0,1pse9ta7a45pi2w2grjim70ge,1,0,0,2022-08-13T14:00:34.939Z,2022-08-13T14:00:35Z,3701902391,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445274115,3,1,1,0,0,1pse9ta7a45pi2w2grjim70ge,1,50.1,49.9,2022-08-13T14:00:34.966Z,2022-08-13T22:50:28Z,3701902731,56,Back,3704518511,178,,3701902737,141,49.9,3701902733,140,26.4,3701902739,212,24.9,3701902747,279,S,3701902743,213,3.1,,,,efq6i6kz6ca3u91snwmptef2t,K. Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445274157,4,1,1,0,3,1pse9ta7a45pi2w2grjim70ge,1,28,50.6,2022-08-13T14:00:38.543Z,2022-08-13T22:50:34Z,3701902899,140,32.0,3701902905,213,1.3,3701902897,56,Back,3701902901,141,75.0,3704518791,178,,3701902903,212,17.1,,,,,,,6gxyeuqjnyj9bl4n8kz14sv6d,J. Lerma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445274225,5,1,1,0,5,1pse9ta7a45pi2w2grjim70ge,1,32.2,74.4,2022-08-13T14:00:40.735Z,2022-08-13T22:50:37Z,3701903197,56,Right,3701903207,1,,3701903199,140,68.0,3701903203,212,57.2,3704518881,178,,3703291303,157,,3701903205,213,5.4,3701903201,141,10.9,7gyfpskzbb3r5nhiniky22o6h,L. Kelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445274263,6,1,1,0,10,1pse9ta7a45pi2w2grjim70ge,1,68,10.9,2022-08-13T14:00:45.808Z,2022-08-13T22:50:41Z,3701903403,56,Right,3701903409,212,8.1,3701903407,141,19.9,3704519027,178,,3701903405,140,62.9,3701903411,213,2.3,,,,,,,80bmtj7l07ohb2h475w955n9,A. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445274339,7,1,1,0,13,1pse9ta7a45pi2w2grjim70ge,1,62.9,21.5,2022-08-13T14:00:48.039Z,2022-08-13T22:50:44Z,3701903793,140,43.3,3701903797,212,20.6,3701903801,213,3.1,3704519201,178,,3701903791,56,Back,3701903795,141,21.8,,,,,,,djelmk2oafas355n2u0d1bumt,L. Cook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445274373,8,1,1,0,15,1pse9ta7a45pi2w2grjim70ge,1,41.5,26.4,2022-08-13T14:00:50.358Z,2022-08-13T22:50:47Z,3701903939,213,2.0,3701903933,140,32.8,3701903937,212,22.7,3704519335,178,,3701903935,141,56.9,3701903931,56,Back,,,,,,,bvlkh4zxfuo5frhj7ogpnecbt,C. Mepham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
