id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/18/value,qualifier/20/id,qualifier/20/qualifierId,assist
2485372449,1,34,16,0,0,hzqh7z0mdl3v7gwete66syxp,1,0,0,2022-11-13T15:30:31.153Z,2022-11-13T16:30:27Z,3914490417,30,"2f79rc4i712sxstahjkq6pxp1, ch8dgambei1xbzmikkglg3c9h, bgc1psqiv7vagmphfl920nbah, cgvp2cli2gi4cnyl62kt80r11, chn2v9j6dqmuz2haoiuulbd91, b1el7j39v2pgvl9zodd9usded, dlpk0a4jgiswcm2r75uh1czpx, ecp0v1dxqfjbgy3urnkz5d3o5, 94zmvxw7yw020w43dn0qiclbd, ah7iqgru0htz9lh1bff94cjbp, afcwu800ox2u5zx6xaiygg1qt, 46jsa691lantlbcfqm1rtnlcl, 661b6x35l9b9uieqbcq7el1hx, 8jf11l2tivq8jpw0fblgdvh05, 8u8he2dwkbgjf3yo8jsltq9qt, dkwkmrmpb7rq4e660efcu5hat, 5q5q7pp5zwdy0x1vnutgeomad, fwu0bja02waqct7l682s5mfp, afef63w1s01vagw51lo85qcd0, b7p8sir7ovgwmpw8534snk6qc",3914490443,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3914490419,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3914490435,194,cgvp2cli2gi4cnyl62kt80r11,3914490431,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3914490423,59,"17, 14, 33, 10, 31, 13, 8, 26, 30, 18, 20, 1, 4, 5, 12, 21, 25, 27, 38, 45",3914490439,197,4967,3914490427,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485372507,1,34,16,0,0,6eqit8ye8aomdsrrq0hk3v7gh,1,0,0,2022-11-13T15:30:34.811Z,2022-11-13T15:30:34Z,3914490779,59,"1, 12, 23, 14, 2, 6, 36, 18, 9, 8, 10, 5, 17, 30, 31, 34, 39, 49, 55",3914490799,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3914490777,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",3914490787,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3914490771,30,"e00004wkpfc8jawioejmpu1n9, bl8667xvrhy0tft8x3lgopomh, 7uxt9a7t22ij4reg1uire5uqd, awda32rw2clw0sjemf7rkcel1, a3ms8havadt1y9x381l325txx, b17tkj4ea4jld8yupekcolall, 5wengf05apke7rv3kms186j56, 6nb8hub5usi3iasywa2fjf1lh, 3ikhefktnj44ys7rqjzr5q09h, 3vtjjrqof5z2tjj84ehadqc45, 604osk9a3lxpfpkavuziqmn6x, 1vz038uyzmq8saskeeo0qhm8l, dubi41xs74u89icfnn80vxx3p, 9ko5fv7udjofbnm940nph6nd, 7w4l5mrrrg66wvdd8ndb5zb9x, 6gruusc463fdln5uz1uzhne8l, 9fvo9v5e9r0ptibied6ejv3zd, e5eiuko5p1yms97xndrvcr0bu, dmnk8dz6w8n4fcso88fuvusfe",3914490783,130,8,3914490791,194,3vtjjrqof5z2tjj84ehadqc45,3914490795,197,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485423839,2,32,1,0,0,6eqit8ye8aomdsrrq0hk3v7gh,1,0,0,2022-11-13T16:30:46.740Z,2022-11-13T16:30:46Z,3914765327,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485423851,2,32,1,0,0,hzqh7z0mdl3v7gwete66syxp,1,0,0,2022-11-13T16:30:46.740Z,2022-11-13T21:31:33Z,3914765389,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485423891,3,1,1,0,0,6eqit8ye8aomdsrrq0hk3v7gh,1,49.9,49.9,2022-11-13T16:30:46.832Z,2022-11-13T23:16:36Z,3914765579,212,16.2,3914765573,56,Back,3914765581,213,3.2,3914765577,141,48.4,3915952937,178,,3914765575,140,34.5,3914765583,279,S,,,,3vtjjrqof5z2tjj84ehadqc45,Bruno Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485423919,4,1,1,0,1,6eqit8ye8aomdsrrq0hk3v7gh,1,34.5,48.4,2022-11-13T16:30:47.788Z,2022-11-13T23:16:39Z,3915953013,178,,3914765693,141,59.0,3914765691,140,36.0,3914765695,212,7.4,3914765689,56,Back,3914765697,213,1.4,,,,,,,6nb8hub5usi3iasywa2fjf1lh,Casemiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485423979,5,1,1,0,3,6eqit8ye8aomdsrrq0hk3v7gh,1,35.7,61.9,2022-11-13T16:30:50.447Z,2022-11-13T23:16:42Z,3914765993,141,88.3,3914765997,213,1.9,3915953057,178,,3914765989,56,Back,3914765995,212,18.9,3914765991,140,30.0,,,,,,,awda32rw2clw0sjemf7rkcel1,C. Eriksen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485424013,6,1,1,0,6,6eqit8ye8aomdsrrq0hk3v7gh,1,29.3,89.5,2022-11-13T16:30:53.466Z,2022-11-13T23:16:45Z,3914766181,140,23.1,3914766185,212,13.1,3915953105,178,,3914766179,56,Back,3914766183,141,72.7,3914766187,213,4.2,,,,,,,7uxt9a7t22ij4reg1uire5uqd,L. Shaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485424069,7,1,1,0,10,6eqit8ye8aomdsrrq0hk3v7gh,1,24.9,74.7,2022-11-13T16:30:57.069Z,2022-11-13T23:16:49Z,3914766523,212,10.7,3915953143,178,,3914766517,56,Back,3914766525,213,1.4,3914766519,140,27.0,3914766521,141,90.1,,,,,,,b17tkj4ea4jld8yupekcolall,Lisandro Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485424095,8,1,1,0,12,6eqit8ye8aomdsrrq0hk3v7gh,0,28.1,91.8,2022-11-13T16:30:59.121Z,2022-11-13T23:16:51Z,3914766645,140,40.3,3915953159,178,,3914766651,213,5.4,3914766647,141,68.9,3914766643,56,Back,3914766649,212,20.2,,,,,,,7uxt9a7t22ij4reg1uire5uqd,L. Shaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
