id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/8/value,keyPass,qualifier/9/value,qualifier/12/value
2460868421,1,34,16,0,0,b9si1jn1lfxfund69e9ogcu2n,1,0,0,2022-09-17T10:30:53.762Z,2022-09-17T11:31:51Z,3784876837,59,"1, 19, 3, 8, 4, 23, 27, 28, 10, 7, 17, 6, 11, 13, 14, 22, 24, 25, 64, 77",3784876833,30,"71rob1lsnmdviy1siakkzpqdx, 7wzwqegxhekjwq361dd2nidp1, 9jxhgh1vhc531ho0ez5alfazu, 8kw1y8mzxtwl4fv8qkc8hoc7p, csinkvzxcphggdjeflmo173zd, 2nz313c0ot91untg011l3pc6h, 3trkre1c81pzretsjsi8jk6sq, 9l7ph5603tbb7xwyxpvjg22fp, 50y6nq2eok9lnmldevkamkkwl, 6psklvi66inwws7buzf16yjft, 7pmigpf4yfi6dfih8e1ogdwb9, 5v5jv44a8y2n7p1tb8jsxt2ei, dl8x6fzdexn8r0sj65vgcgq8l, ee0c6prj79s48erjp7bgbr3dh, 8i3y6fo1y3gizq05j2im17c6i, 3fhoof7n4sjaizvotcmypb9at, 29f3jvukalzylzr19t9phgxgq, ehv4rise2fx4u1wepwtwllb6x, f1lellpt59ka10kyngi7vsqy2, dez3rm7q89xk157fwnc3tgqcq",3784876843,194,8kw1y8mzxtwl4fv8qkc8hoc7p,3784876847,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3784876841,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3784876845,197,4986,3784876839,130,4,3784876835,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460868505,1,34,16,0,0,a3nyxabgsqlnqfkeg41m6tnpp,1,0,0,2022-09-17T10:31:00.509Z,2022-09-17T11:34:19Z,3784877249,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3784877251,194,c2jqa9vozhqu7x79h5rr2n1ed,3784877241,30,"23637o19ff0sw18pqv8g96ndh, 3gem1jrrkgye0omb88fk1lsk5, 29pq64smaxdwlraopnxoleqxh, dqfk7czrayirrvonirtk2mk15, almf0gtdjmsdm5zhyot1hvydx, 2t5s4f41jefzuzth0bhcixtcl, c2jqa9vozhqu7x79h5rr2n1ed, b3974hgsmyff5xtq7qf1onhlh, atzboo800gv7gic2rgvgo0kq1, 693z0rzfh3m0h0wsma9v8c9ux, 72nph557ee2a9tdky8rvk12vp, e9wu8dcamrtj3ftbx3nmhusid, 7jn9kl5wq29d41ekc2fz2rs2d, 9wbf00lybk9fqablaqwg5cn2t, 5d6d4oc2rpau0mbbbt2dmtzv9, 9ikkuxd19avliz1khcrm82gyy, d4tdx2ctadv6kc3tbq4as8bmx, exiribcpg9vnuq9ekhlk74dlh, 6o74ue6gk2m4qyiq2wimael79, dl10343h8yopcgerzur5samwa",3784877255,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3784877245,59,"31, 5, 7, 16, 25, 3, 17, 20, 9, 47, 10, 2, 6, 8, 18, 19, 21, 26, 33, 80",3784877253,197,4978,3784877243,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3784877247,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460904717,2,32,1,0,0,a3nyxabgsqlnqfkeg41m6tnpp,1,0,0,2022-09-17T11:30:59.856Z,2022-09-17T11:31:00Z,3785062373,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460904729,2,32,1,0,0,b9si1jn1lfxfund69e9ogcu2n,1,0,0,2022-09-17T11:30:59.856Z,2022-09-17T17:11:16Z,3785062409,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460904789,3,1,1,0,0,a3nyxabgsqlnqfkeg41m6tnpp,1,49.8,49.9,2022-09-17T11:30:59.891Z,2022-09-17T18:07:47Z,3785062747,279,S,3785062743,212,20.4,3785062737,56,Back,3785062739,140,31.0,3787506351,178,,3785062745,213,2.9,3785062741,141,57.5,,,,atzboo800gv7gic2rgvgo0kq1,E. Haaland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460904809,4,1,1,0,2,a3nyxabgsqlnqfkeg41m6tnpp,1,32.7,53.9,2022-09-17T11:31:02.127Z,2022-09-17T18:07:56Z,3787507137,178,,3785062917,141,30.4,3785062913,56,Back,3785062919,212,16.2,3785062915,140,35.2,3785062921,213,4.9,,,,,,,2t5s4f41jefzuzth0bhcixtcl,Rúben Dias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460904853,5,1,1,0,5,a3nyxabgsqlnqfkeg41m6tnpp,1,37.8,29.7,2022-09-17T11:31:05.297Z,2022-09-17T18:08:00Z,3785063125,213,0.1,3785063121,212,17.4,3785063111,56,Center,3785063115,140,54.2,3785063117,141,33.0,3787507651,178,,,,,,,,almf0gtdjmsdm5zhyot1hvydx,M. Akanji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460904895,6,1,1,0,6,a3nyxabgsqlnqfkeg41m6tnpp,1,53.9,34,2022-09-17T11:31:06.273Z,2022-09-17T18:08:06Z,3785063349,213,2.5,3785063345,141,56.4,3785063341,56,Back,3785063343,140,35.1,3785063347,212,24.9,3787508259,178,,,,,,,,dqfk7czrayirrvonirtk2mk15,Rodri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460904939,7,1,1,0,13,a3nyxabgsqlnqfkeg41m6tnpp,1,44.6,69.3,2022-09-17T11:31:13.380Z,2022-09-17T18:08:12Z,3787508887,178,,3785063641,213,5.7,3785063627,56,Center,3785063629,140,54.0,3785063637,212,11.6,3785063633,141,60.3,,,,,,,2t5s4f41jefzuzth0bhcixtcl,Rúben Dias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461398407,990,43,1,0,14,a3nyxabgsqlnqfkeg41m6tnpp,1,0,0,2022-09-17T11:31:14.081Z,2022-09-17T18:39:38Z,3787673525,178,0,3787673689,144,82,,,,,,,,,,,,,,,,,,,dqfk7czrayirrvonirtk2mk15,Rodri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
