id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/15/value,assist,qualifier/18/value
2495052989,1,34,16,0,0,d5ydtvt96bv7fq04yqm2w2632,1,0,0,2023-01-04T18:30:45.202Z,2023-01-04T19:35:47Z,3965718385,197,425,3965718387,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3965718381,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3965718383,194,7r6vds5j65fohi1k28cnqjqvp,3965718371,30,"8jw1c54yfsk2m13uyl5yi5hm2, 2uiza5b6fbum38chxtvmnkzqh, 67qku7vyvbw76086eu05nowd1, 4042kk7ylrs378rh26b7mh42x, 7zkku0gboniozaks9yx0ous8a, 2r1u01vlym0nwcwx86bwbuusq, 7r6vds5j65fohi1k28cnqjqvp, dgjl6ks0r7lbh09fe8cuwj7ro, 1qcj2upaz0xa98zkc835djo8a, 59ujnkvl7rlffomi2bqpsmbpx, 6tckvu2rw7ns18dq7dim0sout, dzsd79k6345s9105mb2r4fqol, 6gymgqxnu2zavuxgp6amm3zkl, 37bmb84zex63yoipqwj01bcgl, dusjrdiyxfadenwx4pjr7catx, 6bhm9cfkwxv5ojh49rqv11g45, axnmil0bg1giwhoa31tks7ljp, e382powtgetwn8npxf9nqeaga, 67oh9fkwrut68eegfjf5emaui, 6xdgasd4dvfgg4n23jw38473d",3965718377,130,19,3965718375,59,"31, 2, 15, 4, 37, 22, 8, 45, 18, 10, 24, 3, 6, 7, 9, 13, 17, 19, 23, 27",3965718373,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495053045,1,34,16,0,0,1qtaiy11gswx327s0vkibf70n,1,0,0,2023-01-04T18:31:08.237Z,2023-01-04T20:08:17Z,3965718809,130,23,3965718803,30,"5z8ycnd0smdkumi5fgtzf7c9h, 8pb6iiphpyxdlpbs4dpunr8wl, 59wmst2hxu6y4zut9a48jxiw9, 19nlw3sa0khwz0el4wqc7zrp, 1tuivl8zdnsaz8vbed2z582qx, cfpqqzqrpzv6dq89yw7nfd1p1, ece7xph4emgawvh7mr56319ex, 55yy0p6johtu9nxk90zsfctt5, 1l228p52d8wdf8qhfxqu8rca, 55eiicx10oqok1601fqyovt1x, 95uxoznu15m2xywirv43rcmol, av7e2wk5ub7qnh3sqcvssvh79, 3mgjcyaseuexxlssgatjgsand, 25kl6261u9xft9cfvot8aezf9, 8bhdwi4p824s82bbzkh2vy6t, 1vklxifs8qpj71s4reu3pkw5x, 8kfciybd6filv663ebckuerjd, 3ztcz2dgfniqv141w7xsky7zd, 12cgiy0t282ywdbr5j78hrxsl, 6jbeiiziegtchyv2zjt87kslx",3965718815,197,16649,3965718811,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3965718817,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3965718805,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3965718813,194,1tuivl8zdnsaz8vbed2z582qx,3965718807,59,"1, 24, 32, 23, 4, 30, 22, 10, 20, 9, 5, 3, 7, 8, 13, 15, 16, 25, 26, 31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495068945,2,32,1,0,0,d5ydtvt96bv7fq04yqm2w2632,1,0,0,2023-01-04T19:30:20.990Z,2023-01-05T01:35:49Z,3965801737,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495068943,2,32,1,0,0,1qtaiy11gswx327s0vkibf70n,1,0,0,2023-01-04T19:30:20.990Z,2023-01-04T19:30:21Z,3965801731,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495068955,3,1,1,0,0,1qtaiy11gswx327s0vkibf70n,1,50.1,49.9,2023-01-04T19:30:21.024Z,2023-01-05T03:19:43Z,3965801815,56,Back,3965801817,140,29.6,3965801823,213,2.7,3966083555,178,,3965801819,141,66.4,3965801821,212,24.3,3965801825,279,S,,,,ece7xph4emgawvh7mr56319ex,R. Yates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495068965,4,1,1,0,3,1qtaiy11gswx327s0vkibf70n,1,27.9,71.4,2023-01-04T19:30:24.323Z,2023-01-05T03:19:50Z,3965801887,56,Back,3965801889,140,33.7,3965801895,213,1.1,3965801891,141,88.1,3965801893,212,12.9,3966083593,178,,,,,,,,cfpqqzqrpzv6dq89yw7nfd1p1,W. Boly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495068977,5,1,1,0,6,1qtaiy11gswx327s0vkibf70n,1,36.5,93.4,2023-01-04T19:30:27.778Z,2023-01-05T03:19:53Z,3965801949,140,54.8,3966083607,178,,3965801953,212,19.5,3965801951,141,98.1,3965801955,213,0.2,3965801947,56,Left,,,,,,,59wmst2hxu6y4zut9a48jxiw9,Renan Lodi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495068979,6,1,1,0,8,1qtaiy11gswx327s0vkibf70n,1,54.8,98.3,2023-01-04T19:30:29.138Z,2023-01-05T03:20:22Z,3965801969,212,8.3,3966083797,178,,3965801965,140,62.4,3965801961,168,,3965801967,141,95.2,3965801971,213,6.0,3965801963,56,Left,,,,55yy0p6johtu9nxk90zsfctt5,M. Gibbs-White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495070865,71,3,1,0,10,1qtaiy11gswx327s0vkibf70n,0,61.8,95.6,2023-01-04T19:30:31.170Z,2023-01-05T03:20:26Z,3965811977,56,Left,3965814043,233,83,3966002305,465,,3966083841,178,,3965811979,286,,,,,,,,,,,95uxoznu15m2xywirv43rcmol,O. Mangala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495071223,83,7,1,0,10,d5ydtvt96bv7fq04yqm2w2632,1,38.2,4.4,2023-01-04T19:30:31.268Z,2023-01-05T03:20:31Z,3966083881,178,,3965814039,233,71,3966002333,384,,3965813965,285,,3965813963,56,Back,,,,,,,,,,dgjl6ks0r7lbh09fe8cuwj7ro,R. Lavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
