id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/13/value,qualifier/10/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2519113293,1,34,16,0,0,6eqit8ye8aomdsrrq0hk3v7gh,1,0,0,2023-03-12T13:00:36.616Z,2023-03-12T14:03:38Z,4092446069,194,3vtjjrqof5z2tjj84ehadqc45,4092446073,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4092446059,30,"e00004wkpfc8jawioejmpu1n9, e1t5rgvs2hwnldts6vn8agzc9, 7uxt9a7t22ij4reg1uire5uqd, 6nb8hub5usi3iasywa2fjf1lh, 3dph74ixutmbpscaon0b25sl, b17tkj4ea4jld8yupekcolall, v22q59d00b5v78rgx7v8z3vu, cv8egyrq9dlfgeamk6b7fdgq1, 57btqxe5sy3ygzxpp55p4umdx, 3vtjjrqof5z2tjj84ehadqc45, 604osk9a3lxpfpkavuziqmn6x, 1vz038uyzmq8saskeeo0qhm8l, bl8667xvrhy0tft8x3lgopomh, dubi41xs74u89icfnn80vxx3p, 3f3jcsa7gk6in9fskp9w5a5t5, 84hisj17nuwx4scnizuxap239, 6oq2axbijb2qrhw86l7erxmcq, 9fvo9v5e9r0ptibied6ejv3zd, e5eiuko5p1yms97xndrvcr0bu, cgm6zre07l5qauif32jtfqsk4",4092446061,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4092446067,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4092446071,197,418,4092446063,59,"1, 29, 23, 18, 19, 6, 21, 25, 27, 8, 10, 5, 12, 17, 20, 22, 28, 39, 49, 73",4092446065,130,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519113437,1,34,16,0,0,d5ydtvt96bv7fq04yqm2w2632,1,0,0,2023-03-12T13:00:45.311Z,2023-03-12T13:00:45Z,4092446675,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4092446685,197,17364,4092446673,30,"8jw1c54yfsk2m13uyl5yi5hm2, 2uiza5b6fbum38chxtvmnkzqh, 67qku7vyvbw76086eu05nowd1, dgjl6ks0r7lbh09fe8cuwj7ro, 1tbc8iokapjgu8zjrc1knq28l, 7zkku0gboniozaks9yx0ous8a, 2oijcg6e36mwy3ie1num5wclx, 7r6vds5j65fohi1k28cnqjqvp, 59ujnkvl7rlffomi2bqpsmbpx, 18qxb54ol1s4mtgl7n3224ciy, 448wxnlqhqqf2hcecwut90n6y, d3p7p18i2ybzlwz5p5gjdd239, 6gymgqxnu2zavuxgp6amm3zkl, dusjrdiyxfadenwx4pjr7catx, 7wh91ajt4v3w9kfdpp5hf5mmt, axnmil0bg1giwhoa31tks7ljp, 1qcj2upaz0xa98zkc835djo8a, 2r1u01vlym0nwcwx86bwbuusq, 6tckvu2rw7ns18dq7dim0sout, 6xdgasd4dvfgg4n23jw38473d",4092446683,194,7r6vds5j65fohi1k28cnqjqvp,4092446677,59,"31, 2, 15, 45, 35, 37, 32, 8, 10, 26, 20, 1, 6, 9, 12, 17, 18, 22, 24, 27",4092446687,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4092446681,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4092446679,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519163763,2,32,1,0,0,d5ydtvt96bv7fq04yqm2w2632,1,0,0,2023-03-12T14:00:21.400Z,2023-03-12T14:00:23Z,4092703591,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519163743,2,32,1,0,0,6eqit8ye8aomdsrrq0hk3v7gh,1,0,0,2023-03-12T14:00:21.400Z,2023-03-12T21:45:45Z,4092703483,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519163785,3,1,1,0,0,6eqit8ye8aomdsrrq0hk3v7gh,1,49.9,50.1,2023-03-12T14:00:21.432Z,2023-03-12T22:15:22Z,4094869693,178,,4092703703,212,12.5,4092703705,213,3.0,4092703699,140,38.1,4092703697,56,Back,4092703707,279,S,4092703701,141,52.1,,,,cv8egyrq9dlfgeamk6b7fdgq1,J. Sancho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519163829,4,1,1,0,1,6eqit8ye8aomdsrrq0hk3v7gh,1,38.1,51.9,2023-03-12T14:00:22.847Z,2023-03-12T22:15:28Z,4092703941,213,2.7,4092703935,141,56.9,4092703933,140,31.8,4092703931,56,Back,4092703939,212,7.4,4094869815,178,,,,,,,,6nb8hub5usi3iasywa2fjf1lh,Casemiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519163859,5,1,1,0,3,6eqit8ye8aomdsrrq0hk3v7gh,1,31.8,56.4,2023-03-12T14:00:25.387Z,2023-03-12T22:15:33Z,4092704063,212,16.4,4092704065,213,4.5,4094869937,178,,4092704057,56,Back,4092704059,140,28.4,4092704061,141,32.9,,,,,,,b17tkj4ea4jld8yupekcolall,Lisandro Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519163875,6,1,1,0,6,6eqit8ye8aomdsrrq0hk3v7gh,1,29,31.1,2023-03-12T14:00:27.914Z,2023-03-12T22:15:37Z,4092704127,141,6.2,4092704129,212,18.0,4092704123,56,Back,4092704125,140,34.8,4094870017,178,,4092704131,213,5.1,,,,,,,3dph74ixutmbpscaon0b25sl,R. Varane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519163889,7,1,1,0,7,6eqit8ye8aomdsrrq0hk3v7gh,1,34.8,6.2,2023-03-12T14:00:29.380Z,2023-03-12T22:15:44Z,4092704195,141,22.4,4092704193,140,40.0,4092704199,213,1.1,4092704197,212,12.3,4094870303,178,,4092704191,56,Back,,,,,,,e1t5rgvs2hwnldts6vn8agzc9,A. Wan-Bissaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519163931,8,1,1,0,8,6eqit8ye8aomdsrrq0hk3v7gh,0,40,22.4,2023-03-12T14:00:30.261Z,2023-03-12T22:15:51Z,4092704357,212,33.9,4092704351,56,Right,4092704359,213,6.1,4094870525,178,,4092704361,1,,4092704349,155,,4092704353,140,71.5,4092704355,141,11.6,6nb8hub5usi3iasywa2fjf1lh,Casemiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
