id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/11/value,qualifier/12/value,qualifier/10/value,qualifier/8/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2509950945,1,34,16,0,0,4txjdaqveermfryvbfrr4taf7,1,0,0,2023-02-19T15:30:07.742Z,2023-02-19T17:06:44Z,4043976215,30,"eagrmpe9ft8daly57l1ja8lhx, 4ryipy52oscxkv71ws0os5w5, 8qezzr83ofw7htqufohg2fwlx, 3o0zpl9cnmna2hyk595ja0xrd, bmk0efhzrno1sgr3g8yijoa8l, cm0gwoyh5rdb216fx685a7l5h, 6wwagkprtmcadu8p6klcu2uhh, 6jgocc12bori2wygyu07c082x, 3c7vnmec038bhz5rq36ywi2fp, 44zyk38a8ffdjr5bmj355bt2h, d542ijpf3j9hdrtt1mfe6vwlx, 6gq38x5xbyz0moa1sk0aw082x, 9w5o8b18ffu4qr4bdnfrk4ogl, 4ml8pyt3rxwxakjxslg0c8kb9, 6aix9yu384pv1caanqiol231l, ebj88k2kxp7r1x6lmrqacuaj9, 9eaevg9okpy4gcm6yofg7vbv9, ashza2qkgnak7wb3vuz5bnzyt, exviw7gzg5p3vaiwaq4ujw9ud, c6phn5qnsi9k2s1wcttj5zo5w",4043976227,197,4983,4043976225,194,6jgocc12bori2wygyu07c082x,4043976217,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4043976221,130,17,4043976223,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4043976219,59,"1, 5, 33, 27, 21, 24, 28, 41, 9, 12, 20, 2, 3, 7, 8, 10, 13, 18, 22, 70",4043976229,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509951055,1,34,16,0,0,22doj4sgsocqpxw45h607udje,1,0,0,2023-02-19T15:30:12.677Z,2023-02-19T17:06:57Z,4043976865,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4043976861,59,"20, 12, 33, 34, 15, 17, 4, 5, 10, 21, 9, 6, 7, 14, 16, 23, 25, 27, 29, 40",4043976867,194,b9g4qurpll4wizajo95c406hh,4043976859,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4043976857,30,"8wz5pdydepr5kzcichz17pv4l, anxby26pfxpu4u5bfy9nbuvah, 7qy1hiitksyuaa9l0irxg240l, 3gsprcdyogabeb8lr2y0bmytx, az7wa6km1zhvsb8y4mndlogyd, 2w7i4jfw5wgh3j2wuworoumeh, 9bamtyvun46xn9e64lqn9ogyx, 4zxrdmwphkxvkvo6bt30uanrp, b9g4qurpll4wizajo95c406hh, dlf31m2lrfl0biop1demgvh7t, c5zmr0m17riujelm4up44etih, 4k0ni039sbjs4sqipk4v7k79x, 12ekwo6gbza410blv4b4r7ydx, 2gsq05yyxwe4f8t79j6d49q6t, 4rktv6j9sioe0gmu7jt77fsh5, 77yaqzy45dxtzicao00jxrlgq, 5gb7v3m0qisn24c7h49xn250p, 8c1r97aweyfc0woefvlfy2l05, btf0dch35aww78bzillh2jgx6, 8y8d2dd469x9q0lc7qfyxypyh",4043976869,197,4,4043976871,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4043976863,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510002541,2,32,1,0,0,22doj4sgsocqpxw45h607udje,1,0,0,2023-02-19T16:30:31.737Z,2023-02-19T23:26:55Z,4044246853,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510002593,2,32,1,0,0,4txjdaqveermfryvbfrr4taf7,1,0,0,2023-02-19T16:30:31.737Z,2023-02-19T16:30:34Z,4044247189,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510002643,3,1,1,0,0,4txjdaqveermfryvbfrr4taf7,1,50,50,2023-02-19T16:30:31.797Z,2023-02-19T23:21:29Z,4044247489,56,Back,4044247497,213,2.6,4044247491,140,31.1,4045376937,178,,4044247495,212,23.3,4044247493,141,68.0,4044247499,279,S,,,,44zyk38a8ffdjr5bmj355bt2h,F. Downes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510002657,4,1,1,0,2,4txjdaqveermfryvbfrr4taf7,0,31.1,68,2023-02-19T16:30:34.506Z,2023-02-19T23:21:36Z,4044247563,212,47.1,4044247551,155,,4044247557,56,Left,4044247567,1,,4044247559,140,72.6,4045377013,178,,4044247565,213,0.4,4044247561,141,94.4,3o0zpl9cnmna2hyk595ja0xrd,N. Aguerd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510002671,3,49,1,0,7,22doj4sgsocqpxw45h607udje,1,21.1,8.5,2023-02-19T16:30:39.362Z,2023-02-19T23:21:47Z,,,,,,,,,,,,,,,,,,,,,,,,,2w7i4jfw5wgh3j2wuworoumeh,C. Romero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510002675,4,1,1,0,7,22doj4sgsocqpxw45h607udje,0,20.9,8.5,2023-02-19T16:30:39.401Z,2023-02-19T23:21:50Z,4045377283,178,,4044247643,141,8.6,4044247645,212,2.2,4044247641,140,23.0,4044247647,213,0.0,4044247639,56,Back,,,,,,,2w7i4jfw5wgh3j2wuworoumeh,C. Romero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510002707,5,4,1,0,7,22doj4sgsocqpxw45h607udje,1,24.2,8.1,2023-02-19T16:30:39.585Z,2023-02-19T23:21:54Z,4044247863,56,Back,4044247989,233,5,4044247867,285,,4044247865,152,,4044247861,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510002725,5,4,1,0,7,4txjdaqveermfryvbfrr4taf7,0,75.8,91.9,2023-02-19T16:30:39.586Z,2023-02-19T23:21:54Z,4044248039,233,5,4044247949,56,Left,4044247951,152,,4044247953,286,,4044247947,10,,4045377333,178,,,,,,,,d542ijpf3j9hdrtt1mfe6vwlx,J. Bowen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
