id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/15/value,qualifier/18/value,qualifier/14/value,assist,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId
2521083183,1,34,16,0,0,7vn2i2kd35zuetw6b38gw9jsz,1,0,0,2023-03-17T19:00:07.456Z,2023-03-17T20:03:59Z,4103163673,197,17100,4102908793,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4102908795,59,"22, 2, 33, 39, 5, 4, 36, 28, 14, 23, 10, 1, 3, 6, 9, 11, 12, 13, 19, 32",4102908791,30,"9s9i1a7hdq5bud8ma2dqi295h, 65z99j774kjnbf7vm0u2q0jit, 6f1ljb0an6d0g4nbap6xgxsyd, 72m84nwa6dshu3ibmy13dz5rd, dxxc4dioaioidmvamkzqr4b85, 4jwkz8almo2997hvp09zl0p9l, 9pv566tidfz21e00y4t0mbap5, 5tbabvk43ljv3z3wd9mh0y8r9, 7x6mnev1ob4u5ffmdsvusb4rt, 37d7oej48pb143o5eilue1hhx, doctoq9o6be1yap6je75w0vrp, 7w4l5mrrrg66wvdd8ndb5zb9x, 6otgu2ezmd171skyysl1ku09h, 7z5ugeh3ejhwa3c8tg7idkpud, 66r7rq9kcoyow46ovmhzrtec5, 8lst9t1pyjhibrxh7xxl3wn9x, 96yg5g3b9o4gqbo2p299h4gdl, 7g5elxh8h34yj55h9heydhzv9, 23oysjfutg5xy1f3o9bapnmxh, exzca2akgjl00jfd2hzh33h7t",4102908803,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4102908799,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4102908797,130,4,4102908801,194,65z99j774kjnbf7vm0u2q0jit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521083253,1,34,16,0,0,1qtaiy11gswx327s0vkibf70n,1,0,0,2023-03-17T19:00:11.292Z,2023-03-17T20:00:59Z,4102909155,30,"9sme7jykdv8msgfu0nxx6h39x, 8pb6iiphpyxdlpbs4dpunr8wl, 59wmst2hxu6y4zut9a48jxiw9, b7eoho4q34nfispye73m8b00l, f30avgacyfz88ppw9mh8v57md, 9rf5uk6c2wce30b9wkmu3iuad, 1l228p52d8wdf8qhfxqu8rca, ece7xph4emgawvh7mr56319ex, a4qjllaut1bo0ng3x4xu5lq6t, 55yy0p6johtu9nxk90zsfctt5, 3ztcz2dgfniqv141w7xsky7zd, 1tuivl8zdnsaz8vbed2z582qx, 3mgjcyaseuexxlssgatjgsand, 25kl6261u9xft9cfvot8aezf9, 8bhdwi4p824s82bbzkh2vy6t, 1vklxifs8qpj71s4reu3pkw5x, 8kfciybd6filv663ebckuerjd, 19nlw3sa0khwz0el4wqc7zrp, dsvi49wsvjqdbiddyme3xow7o, 6jbeiiziegtchyv2zjt87kslx",4103163927,197,4782,4102909167,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4102909163,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4102909157,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4102909159,59,"12, 24, 32, 6, 38, 19, 20, 22, 34, 10, 25, 4, 7, 8, 13, 15, 16, 23, 28, 31",4102909165,194,ece7xph4emgawvh7mr56319ex,4102909161,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521134655,2,32,1,0,0,7vn2i2kd35zuetw6b38gw9jsz,1,0,0,2023-03-17T20:00:09.568Z,2023-03-17T20:00:11Z,4103178855,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521134647,2,32,1,0,0,1qtaiy11gswx327s0vkibf70n,1,0,0,2023-03-17T20:00:09.568Z,2023-03-18T02:38:26Z,4103178807,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521134671,3,1,1,0,0,1qtaiy11gswx327s0vkibf70n,1,50.1,50.1,2023-03-17T20:00:09.602Z,2023-03-18T04:18:08Z,4103837487,178,,4103178937,212,17.6,4103178939,213,3.0,4103178941,279,S,4103178931,56,Back,4103178935,141,53.6,4103178933,140,33.5,,,,1l228p52d8wdf8qhfxqu8rca,B. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521134703,4,1,1,0,2,1qtaiy11gswx327s0vkibf70n,0,33.7,52.7,2023-03-17T20:00:12.152Z,2023-03-18T04:18:14Z,4103179143,212,37.8,4103179139,140,67.3,4103179145,213,0.4,4103179141,141,72.8,4103179137,56,Center,4103837665,178,,4103179147,1,,4103179135,155,,f30avgacyfz88ppw9mh8v57md,Felipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521134711,3,44,1,0,5,7vn2i2kd35zuetw6b38gw9jsz,1,29.4,36.4,2023-03-17T20:00:14.935Z,2023-03-18T06:27:49Z,4103180985,233,12,4103179175,285,,4103179173,56,Back,,,,,,,,,,,,,,,,dxxc4dioaioidmvamkzqr4b85,F. Schär,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521134989,12,44,1,0,5,1qtaiy11gswx327s0vkibf70n,0,70.6,63.6,2023-03-17T20:00:14.936Z,2023-03-18T04:18:18Z,4103180997,233,3,4103180771,286,,4103180769,56,Center,,,,,,,,,,,,,,,,55yy0p6johtu9nxk90zsfctt5,M. Gibbs-White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521134725,4,1,1,0,5,7vn2i2kd35zuetw6b38gw9jsz,1,28,28.8,2023-03-17T20:00:15.075Z,2023-03-18T06:27:50Z,4103179271,140,36.3,4103179273,141,29.6,4103179277,213,0.1,4103179267,3,,4103179269,56,Back,4103837805,388,,4103179275,212,8.7,,,,dxxc4dioaioidmvamkzqr4b85,F. Schär,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521134729,5,49,1,0,6,7vn2i2kd35zuetw6b38gw9jsz,1,35.8,29,2023-03-17T20:00:16.162Z,2023-03-18T04:18:27Z,,,,,,,,,,,,,,,,,,,,,,,,,72m84nwa6dshu3ibmy13dz5rd,Bruno Guimarães,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
