id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/9/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/15/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/14/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId
2528623455,1,34,16,0,0,b496gs285it6bheuikox6z9mj,1,0,0,2023-04-04T17:45:13.230Z,2023-04-04T18:50:56Z,4163634667,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4163634663,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4163634665,194,btvuam6p4391am219taqtcted,4163696357,197,397,4163634661,130,2,4163634659,59,"1, 18, 15, 7, 4, 5, 41, 6, 11, 31, 10, 3, 9, 16, 22, 25, 27, 32, 38, 56",4163634657,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4163634655,30,"3zl1q2gk6tdmzirsyfgm38no5, 7paw998ux29k7hx4t1g0wu85x, 3m7wjcmet9b8sc5tu0ct8j0et, btvuam6p4391am219taqtcted, 8qys6qtdwgsycxducl062zld5, 2smmv9hdoiet7necaf00ol51x, bhsh1n3qfg8awmctxlh8k7yzt, 7j84ozqdpgupzxevbxemi5tyh, 5m0j33eoa5c8pqlr0tdf7undh, 4jyrztlaueae7eg18kuvxa489, l0qqn9tlgov91p5d1zzdupcl, cot71zatz9vm1hyzp5ecqhvpx, 9uo88sreasbyj41lg34hxy28l, 172klpuv2h1enskc8fz79xg45, 7wovx9b2bkkc2ett3m2b26iqy, 4myy5br8yj5678xlji3up1ryt, e8gz0tmmdh1ql8qrn1ncrvnpx, 1emj0rlthc8syfleox4c39kut, 268os78lzi8fggnve9n15h5ux, 93l4n6i8ndeqbrubekomd5ca2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528623469,2,34,16,0,0,avxknfz4f6ob0rv9dbnxdzde0,1,0,0,2023-04-04T17:45:16.940Z,2023-04-04T18:51:20Z,4163634727,30,"bm9qgspytvdwy514kk6ytztg5, p87gxg8kc9ta6iipqt5fxmtx, bwai2k262meugz2fj7s2g58iy, 6tma6gvgf6xphc5gm2el35vbp, dfqpevw7bneap02x7mxo74pgp, 72d5uxwcmvhd6mzthxuvev1sl, 7wu5l9m2kt30c4nifxdi3btg5, 2bkp1lcaxmvwoanxwo0775cdl, 6v1o4s2acog9guff3folo1jh1, a1yoz8f4985o166nzcyigpj2t, 18paf5a7rfe4kutxjl4cwd695, 5h2biadv4hd2ntcd7zo2c8639, 51xwrb0qit04oz9x01p2gghjp, enyatxtjef9lacem6c8cc1mmt, otz9c2ifww514ummo10nfoix, 33p3p5buydosugm9alv57o0r9, 8prtj2o0lz1zbzpuw4ah4qhud, 70jmsf551d1sspqnm8t5lrch5, 79nno03ww57p02dz5o0g60rqi, egi71rvlclvis07nzbvjhl9m1",4163634729,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4163691869,197,16498,4163634735,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4163634737,194,a1yoz8f4985o166nzcyigpj2t,4163634739,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4163634733,130,4,4163634731,59,"31, 27, 16, 25, 15, 3, 24, 22, 9, 10, 7, 1, 14, 18, 20, 21, 26, 33, 37, 42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528634895,2,32,1,0,0,b496gs285it6bheuikox6z9mj,1,0,0,2023-04-04T18:45:55.681Z,2023-04-04T18:45:55Z,4163694425,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528634897,4,32,1,0,0,avxknfz4f6ob0rv9dbnxdzde0,1,0,0,2023-04-04T18:45:55.681Z,2023-04-05T00:11:44Z,4163694431,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528634913,3,1,1,0,0,b496gs285it6bheuikox6z9mj,1,50,49.9,2023-04-04T18:45:55.786Z,2023-04-05T00:25:56Z,4164235701,178,,4163694489,56,Back,4163694495,212,15.2,4163694497,213,3.0,4163694499,279,S,4163694493,141,53.0,4163694491,140,35.7,,,,l0qqn9tlgov91p5d1zzdupcl,E. Buendía,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528634917,4,1,1,0,2,b496gs285it6bheuikox6z9mj,1,36.4,52.1,2023-04-04T18:45:57.975Z,2023-04-05T00:25:59Z,4163694521,212,11.5,4163694519,141,35.8,4163694517,140,39.3,4163694515,56,Back,4163694523,213,5.0,4164235805,178,,,,,,,,7j84ozqdpgupzxevbxemi5tyh,Douglas Luiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528634949,5,1,1,0,4,b496gs285it6bheuikox6z9mj,1,40.4,34.1,2023-04-04T18:45:59.883Z,2023-04-05T00:26:04Z,4164235977,178,,4163694671,140,52.7,4163694669,56,Right,4163694675,212,22.4,4163694673,141,7.1,4163694677,213,5.3,,,,,,,btvuam6p4391am219taqtcted,J.  McGinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528634955,6,1,1,0,6,b496gs285it6bheuikox6z9mj,1,52.7,7.1,2023-04-04T18:46:02.117Z,2023-04-05T00:26:08Z,4163694711,141,23.8,4163694715,213,1.6,4163694707,56,Center,4163694713,212,11.4,4163694709,140,51.9,4164236129,178,,,,,,,,bhsh1n3qfg8awmctxlh8k7yzt,J. Ramsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528634967,7,1,1,0,7,b496gs285it6bheuikox6z9mj,1,51.9,23.8,2023-04-04T18:46:03.644Z,2023-04-05T00:26:12Z,4163694781,140,38.1,4163694787,213,3.8,4163694783,141,8.9,4163694785,212,17.7,4164236205,178,,4163694779,56,Back,,,,,,,btvuam6p4391am219taqtcted,J.  McGinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528635009,8,1,1,0,10,b496gs285it6bheuikox6z9mj,1,33.6,10.1,2023-04-04T18:46:06.611Z,2023-04-05T00:26:17Z,4163695001,212,25.7,4163695003,213,2.0,4163694995,56,Back,4163694999,141,45.2,4164236357,178,,4163694997,140,24.5,,,,,,,7paw998ux29k7hx4t1g0wu85x,A. Young,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
