id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,keyPass,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/9/value,qualifier/11/value,assist,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2493214885,1,34,16,0,0,hzqh7z0mdl3v7gwete66syxp,1,0,0,2022-12-26T14:00:08.113Z,2022-12-26T14:58:24Z,3955980565,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3955980571,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3955980567,194,b1el7j39v2pgvl9zodd9usded,3955980569,197,4967,3955980557,30,"2f79rc4i712sxstahjkq6pxp1, 2qy2d8xkwkbeyw5v8ljlzb845, bgc1psqiv7vagmphfl920nbah, ecp0v1dxqfjbgy3urnkz5d3o5, chn2v9j6dqmuz2haoiuulbd91, b1el7j39v2pgvl9zodd9usded, ch8dgambei1xbzmikkglg3c9h, a9k2946gt4hcqw8jpi6ow3jdh, b27pmpcvny40pkcx87tdddsyd, ah7iqgru0htz9lh1bff94cjbp, afcwu800ox2u5zx6xaiygg1qt, 46jsa691lantlbcfqm1rtnlcl, 661b6x35l9b9uieqbcq7el1hx, 8jf11l2tivq8jpw0fblgdvh05, dlpk0a4jgiswcm2r75uh1czpx, cgvp2cli2gi4cnyl62kt80r11, 8u8he2dwkbgjf3yo8jsltq9qt, dkwkmrmpb7rq4e660efcu5hat, 94zmvxw7yw020w43dn0qiclbd, afef63w1s01vagw51lo85qcd0",3955980563,130,8,3955980561,59,"17, 2, 33, 26, 31, 13, 14, 6, 9, 18, 20, 1, 4, 5, 8, 10, 12, 21, 30, 38",3955980559,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493214899,1,34,16,0,0,1c8m2ko0wxq1asfkuykurdr0y,1,0,0,2022-12-26T14:00:11.309Z,2022-12-27T13:28:32Z,3955980665,130,4,3955980673,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3955980671,197,406,3955980669,194,5wkso3mls5ulkilr0xzfix1p1,3955980667,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3955980659,30,"8k88isvd2hwr5e4gn9oxzr2t, ezrn62nekq3wpw1qs1yu1ezmd, 6dqnwhx0eglxhelidxg0dphm2, 19m0uqmf1otcekssb7tbrl1m2, 5wkso3mls5ulkilr0xzfix1p1, z0btpgav68n4lqoht3ax3845, m2c4lckkcr7yilnqxrrsgh2i, 6ebb2xcovp1tx5nv5yyncb7x1, 9ikkppq7uewf36gahgz0kzaol, 9c927a1i8iqblent14xat7aad, 4wic6z72nwmhkheme209fcmp5, 7yte0egh8y7assst6g0vnn9w5, 1rz6bw398na1i3t29rop7ikt1, 3xthf6r5hvlx8oje4rqcs3it, dbebh5mvzowjrp7h4qvzxvaol, c9pmcoyzgtgcnlc63cl4283bp, 1j33u4pcdl987f0pm1hpkynai, 5nsag404623qznyyizl8yuwkq, a7uo47nehqo2irfllck81uqxh, cuyd2ma98m6iq8e8va1bqlxey",3955980663,59,"13, 17, 3, 28, 16, 5, 7, 15, 11, 9, 10, 1, 2, 4, 19, 22, 23, 26, 44, 45",3955980661,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493236451,2,32,1,0,0,hzqh7z0mdl3v7gwete66syxp,1,0,0,2022-12-26T15:01:31.206Z,2022-12-26T15:01:33Z,3956099269,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493236463,2,32,1,0,0,1c8m2ko0wxq1asfkuykurdr0y,1,0,0,2022-12-26T15:01:31.206Z,2022-12-26T22:15:00Z,3956099325,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493236523,3,1,1,0,0,1c8m2ko0wxq1asfkuykurdr0y,1,50.2,50,2022-12-26T15:01:31.225Z,2022-12-26T22:18:44Z,3956099595,279,S,3956099585,56,Back,3956099589,141,46.9,3956099587,140,32.8,3956099593,213,3.3,3956099591,212,18.4,3957241771,178,,,,,m2c4lckkcr7yilnqxrrsgh2i,M. Olise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493236553,4,1,1,0,3,1c8m2ko0wxq1asfkuykurdr0y,0,34.2,46.6,2022-12-26T15:01:34.414Z,2022-12-26T22:18:49Z,3956099741,212,45.5,3956099743,213,0.7,3956099735,140,66.7,3956099739,141,90.8,3956099731,56,Left,3956099745,1,,3956890859,157,,3957241779,178,,5wkso3mls5ulkilr0xzfix1p1,J. Andersen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493236565,3,1,1,0,5,hzqh7z0mdl3v7gwete66syxp,0,29.9,11.4,2022-12-26T15:01:37.121Z,2022-12-26T22:19:13Z,3956099793,56,Back,3956099791,3,,3957241831,178,,3956099799,212,12.0,3956099801,213,0.8,3956099797,141,23.9,3956099795,140,38.0,,,,2qy2d8xkwkbeyw5v8ljlzb845,K. Tete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493236611,5,1,1,0,7,1c8m2ko0wxq1asfkuykurdr0y,0,61.5,71.1,2022-12-26T15:01:39.036Z,2022-12-26T22:19:17Z,3956099987,3,,3956099997,212,6.3,3956099989,56,Center,3956100001,213,5.1,3957241841,388,,3956099993,141,62.6,3956099991,140,64.0,,,,m2c4lckkcr7yilnqxrrsgh2i,M. Olise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493236655,4,1,1,0,9,hzqh7z0mdl3v7gwete66syxp,0,34.6,35.4,2022-12-26T15:01:40.699Z,2022-12-26T22:19:20Z,3956100209,213,6.2,3956100207,212,9.7,3956100211,1,,3956100205,141,33.8,3957241853,178,,3956100201,56,Back,3956100203,140,43.8,3956100199,157,,ecp0v1dxqfjbgy3urnkz5d3o5,João Palhinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493236693,6,61,1,0,11,1c8m2ko0wxq1asfkuykurdr0y,0,57.3,65.9,2022-12-26T15:01:42.672Z,2022-12-26T22:19:30Z,3956100351,56,Center,3957241889,178,,3957241887,15,,,,,,,,,,,,,,,,,19m0uqmf1otcekssb7tbrl1m2,C. Doucouré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
