id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/11/value,qualifier/10/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/13/value,assist,qualifier/16/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId
2476156255,1,34,16,0,0,b9si1jn1lfxfund69e9ogcu2n,1,0,0,2022-10-23T12:00:02.042Z,2022-10-23T12:00:02Z,3866048529,30,"71rob1lsnmdviy1siakkzpqdx, 7wzwqegxhekjwq361dd2nidp1, f1lellpt59ka10kyngi7vsqy2, 8kw1y8mzxtwl4fv8qkc8hoc7p, csinkvzxcphggdjeflmo173zd, 2nz313c0ot91untg011l3pc6h, e83zd56y74k8uecxqyo5xw7v9, 9l7ph5603tbb7xwyxpvjg22fp, 6s577yqayjceifu1e05f280yd, 3trkre1c81pzretsjsi8jk6sq, 50y6nq2eok9lnmldevkamkkwl, 9jxhgh1vhc531ho0ez5alfazu, 5v5jv44a8y2n7p1tb8jsxt2ei, dl8x6fzdexn8r0sj65vgcgq8l, ee0c6prj79s48erjp7bgbr3dh, 8i3y6fo1y3gizq05j2im17c6i, 7pmigpf4yfi6dfih8e1ogdwb9, 3fhoof7n4sjaizvotcmypb9at, 5he3j18ix8tre84r8uls8ytm2, dez3rm7q89xk157fwnc3tgqcq",3866048539,194,8kw1y8mzxtwl4fv8qkc8hoc7p,3866048543,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3866048535,130,8,3866048533,59,"1, 19, 64, 8, 4, 23, 37, 28, 29, 27, 10, 3, 6, 11, 13, 14, 17, 22, 59, 77",3866048531,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3866048541,197,4986,3866048537,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476156295,1,34,16,0,0,avxknfz4f6ob0rv9dbnxdzde0,1,0,0,2022-10-23T12:00:04.541Z,2022-10-23T12:00:04Z,3866048697,197,16498,3866048685,30,"5h2biadv4hd2ntcd7zo2c8639, p87gxg8kc9ta6iipqt5fxmtx, 6icypdqtfk2k81ax0i49j5xpl, egi71rvlclvis07nzbvjhl9m1, enyatxtjef9lacem6c8cc1mmt, 72d5uxwcmvhd6mzthxuvev1sl, a1yoz8f4985o166nzcyigpj2t, eo4uva2gnx08xdazfaqzyz2dx, otz9c2ifww514ummo10nfoix, 2bkp1lcaxmvwoanxwo0775cdl, 18paf5a7rfe4kutxjl4cwd695, ayyswiouwrh2yn1j75owovob9, 6v1o4s2acog9guff3folo1jh1, xm50j2dki5ml1gzx3y0i0zbp, 51xwrb0qit04oz9x01p2gghjp, drwacyyicuhy3heg4j0ipqj85, 7wu5l9m2kt30c4nifxdi3btg5, 8prtj2o0lz1zbzpuw4ah4qhud, bm9qgspytvdwy514kk6ytztg5, 70jmsf551d1sspqnm8t5lrch5",3866048693,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3866048695,194,eo4uva2gnx08xdazfaqzyz2dx,3866048687,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3866048689,59,"1, 27, 2, 42, 18, 3, 10, 8, 20, 22, 7, 4, 9, 11, 14, 17, 24, 26, 31, 33",3866048699,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3866048691,130,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476218677,2,32,1,0,0,avxknfz4f6ob0rv9dbnxdzde0,1,0,0,2022-10-23T13:00:18.368Z,2022-10-23T13:00:18Z,3866367061,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476218689,2,32,1,0,0,b9si1jn1lfxfund69e9ogcu2n,1,0,0,2022-10-23T13:00:18.368Z,2022-10-23T19:06:56Z,3866367135,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476218721,3,1,1,0,0,avxknfz4f6ob0rv9dbnxdzde0,1,50,50,2022-10-23T13:00:18.394Z,2022-10-23T19:18:36Z,3866367327,141,54.9,3868309685,178,,3866367331,213,2.9,3866367333,279,S,3866367323,56,Back,3866367325,140,35.7,3866367329,212,15.4,,,,eo4uva2gnx08xdazfaqzyz2dx,Y. Tielemans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476218727,4,1,1,0,2,avxknfz4f6ob0rv9dbnxdzde0,1,35.7,54.9,2022-10-23T13:00:20.620Z,2022-10-23T19:18:40Z,3866367355,56,Back,3866367359,141,29.7,3868309921,178,,3866367361,212,17.2,3866367363,213,4.7,3866367357,140,34.7,,,,,,,72d5uxwcmvhd6mzthxuvev1sl,W. Faes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476218741,5,1,1,0,4,avxknfz4f6ob0rv9dbnxdzde0,1,34.7,29.7,2022-10-23T13:00:22.591Z,2022-10-23T19:18:45Z,3866367445,213,5.4,3866367439,140,45.7,3866367443,212,18.1,3866367441,141,9.3,3866367437,56,Back,3868310175,178,,,,,,,,enyatxtjef9lacem6c8cc1mmt,D. Amartey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476218765,6,1,1,0,5,avxknfz4f6ob0rv9dbnxdzde0,1,45.7,9.3,2022-10-23T13:00:24.189Z,2022-10-23T19:18:56Z,3866367555,213,1.0,3866367553,212,6.7,3866367549,140,49.1,3866367547,56,Back,3866367551,141,17.6,3868311001,178,,,,,,,,p87gxg8kc9ta6iipqt5fxmtx,T. Castagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476218793,7,1,1,0,8,avxknfz4f6ob0rv9dbnxdzde0,1,49.1,17.6,2022-10-23T13:00:27.316Z,2022-10-23T19:19:00Z,3866367697,56,Back,3866367701,141,7.3,3868311239,178,,3866367703,212,9.0,3866367699,140,43.7,3866367705,213,4.0,,,,,,,egi71rvlclvis07nzbvjhl9m1,B. Soumaré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476218835,8,1,1,0,10,avxknfz4f6ob0rv9dbnxdzde0,1,43.7,7.3,2022-10-23T13:00:29.187Z,2022-10-23T19:19:05Z,3866367907,212,21.7,3866367901,56,Back,3866367905,141,26.5,3866367903,140,27.2,3866367909,213,2.5,3868311521,178,,,,,,,,p87gxg8kc9ta6iipqt5fxmtx,T. Castagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
