id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,assist,qualifier/12/value,qualifier/13/value,qualifier/15/value
2448558763,1,34,16,0,0,1pse9ta7a45pi2w2grjim70ge,1,0,0,2022-08-20T15:30:26.201Z,2022-08-20T16:34:03Z,3719325769,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3719325767,30,"12l99v9rpet6ug6n121tg6ay1, 80bmtj7l07ohb2h475w955n9, 918sxflcvngsy0xvc9dh3jaei, 95pzsjfh0wf6isp6qpf9lddyh, bvlkh4zxfuo5frhj7ogpnecbt, 7gyfpskzbb3r5nhiniky22o6h, b3gobhr43y8oxpafvp4f8rgmh, 6gxyeuqjnyj9bl4n8kz14sv6d, efq6i6kz6ca3u91snwmptef2t, 33cny48k38nlo8pcx3i24ldqt, 2ubxzcc4zioelrh0cvxnae4lx, djelmk2oafas355n2u0d1bumt, cr4c6htcw2jewsvboj6s8p045, 1e7gbqj7riv8a7kxsfjr0q7kl, 1um5sa7iogc29aadvkabadyad, bzjzvw54k5cmo93wdkjv89knp, 8yp9la3fl2zym7vie19lmw0k5, b187awt0wdxh20fx1rn5vgewa, 9ea8t509bssf2bhp1n5xxvrl6, 8cmkqkrjme3wb0gegzn1e6xre",3719325781,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3719325779,197,2071,3719325771,59,"1, 15, 33, 25, 6, 5, 16, 8, 21, 29, 22, 4, 10, 11, 13, 17, 18, 20, 23, 32",3719325777,194,7gyfpskzbb3r5nhiniky22o6h,3719325775,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3719325773,130,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448558889,1,34,16,0,0,4dsgumo7d4zupm2ugsvm4zm4d,1,0,0,2022-08-20T15:30:29.940Z,2022-11-17T16:40:47Z,3719326473,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3719326475,194,b1lcxeihx8z6pfv1jef4j5jh1,3719326477,197,16097,3719326471,130,4,3719326479,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3719326465,30,"6yovfcug6e9hykfauqy0fq67d, cnmlhoum9aahwqruxgmz2gcfd, 3l7amac6wdv9yztupg7ur3kl, dydwiixiims98cx2iihfuf8wl, 65rqu55qbzswixgqw2efna06i, 8libvn3hxypz8x7gm4mr7kj55, b1lcxeihx8z6pfv1jef4j5jh1, 6264xjr1y00yu7b9j2pknalzp, d66tmyj9pt69gub8pcjgo3bh1, 8tc7dcuwdeqbjgt7vw5p38xgq, 7ocm7nugzwos59il1pm4eub8q, 8i5ee4fmkqhl1rcuo31qomxud, 4ali7e2nk26rfzr0660xdrx0p, 2im16cd31tgg3yac3c8c18jbp, 57gg79gxvcfqtaoi0ruog7wmh, 2922aevmtpw4qvcwohmxmqtbd, 4qrvwap878sl5dz5n3o8mr71m, 375gnysvjk9bvq02ex1lkmynd, 3imsbq3n9zgkzp668lsbklg45, hwcrfg4h2ystqbd11qlmj015",3719326467,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3719326469,59,"1, 4, 35, 5, 12, 6, 8, 34, 9, 7, 11, 3, 10, 14, 16, 18, 21, 23, 25, 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448623099,2,32,1,0,0,4dsgumo7d4zupm2ugsvm4zm4d,1,0,0,2022-08-20T16:30:12.426Z,2022-08-20T16:30:13Z,3719667183,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448623107,2,32,1,0,0,1pse9ta7a45pi2w2grjim70ge,1,0,0,2022-08-20T16:30:12.426Z,2022-08-20T23:16:45Z,3719667231,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448623149,3,1,1,0,0,4dsgumo7d4zupm2ugsvm4zm4d,1,49.9,50,2022-08-20T16:30:12.487Z,2022-08-21T00:48:42Z,3721448505,178,,3719667415,212,24.5,3719667411,140,26.6,3719667419,279,S,3719667417,213,3.2,3719667413,141,47.2,3719667409,56,Back,,,,d66tmyj9pt69gub8pcjgo3bh1,Gabriel Jesus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448623197,4,1,1,0,3,4dsgumo7d4zupm2ugsvm4zm4d,0,27.8,47,2022-08-20T16:30:15.473Z,2022-08-21T00:48:46Z,3719667619,1,,3719667611,140,79.8,3719667617,213,0.3,3719667615,212,58.0,3721449155,178,,3719667613,141,75.7,3719667609,56,Center,3719667607,157,,6yovfcug6e9hykfauqy0fq67d,A. Ramsdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448623227,3,1,1,0,6,1pse9ta7a45pi2w2grjim70ge,1,20.1,23,2022-08-20T16:30:19.132Z,2022-08-21T00:48:58Z,3719667705,140,35.7,3719667709,212,16.4,3719667701,3,,3719667707,141,21.3,3719667703,56,Back,3719667711,213,6.2,3721450129,388,,,,,bvlkh4zxfuo5frhj7ogpnecbt,C. Mepham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448623231,4,61,1,0,8,1pse9ta7a45pi2w2grjim70ge,0,36.4,20.9,2022-08-20T16:30:21.057Z,2022-08-21T00:49:24Z,3721451359,178,,3719667727,56,Back,3721464595,21,,,,,,,,,,,,,,,,,33cny48k38nlo8pcx3i24ldqt,P. Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448623251,5,1,1,0,9,4dsgumo7d4zupm2ugsvm4zm4d,1,56.3,83.2,2022-08-20T16:30:22.028Z,2022-08-21T00:49:32Z,3721451827,388,,3719667825,141,82.9,3719667827,212,5.3,3719667821,56,Left,3719667829,213,6.2,3719667823,140,61.3,3719667819,3,,,,,dydwiixiims98cx2iihfuf8wl,T. Partey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448623261,6,1,1,0,10,4dsgumo7d4zupm2ugsvm4zm4d,1,59.7,80.2,2022-08-20T16:30:23.413Z,2022-08-21T00:49:36Z,3721452853,178,,3719667873,141,93.1,3719667877,213,1.5,3719667871,140,60.0,3719667875,212,8.8,3719667867,155,,3719667869,56,Left,,,,d66tmyj9pt69gub8pcjgo3bh1,Gabriel Jesus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
