id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,assist,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,keyPass,qualifier/12/value,qualifier/15/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/17/value
2484545267,1,34,16,0,0,22doj4sgsocqpxw45h607udje,1,0,0,2022-11-12T14:01:33.031Z,2022-11-12T14:53:33Z,3910172437,59,"1, 12, 14, 33, 34, 15, 5, 30, 10, 21, 9, 2, 4, 6, 11, 20, 24, 25, 27, 38",3910172439,130,13,3910425327,197,4,3910172435,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3910172433,30,"ombvyo6p3p5khkn91vubvpat, anxby26pfxpu4u5bfy9nbuvah, 2gsq05yyxwe4f8t79j6d49q6t, 7qy1hiitksyuaa9l0irxg240l, 3gsprcdyogabeb8lr2y0bmytx, az7wa6km1zhvsb8y4mndlogyd, 4zxrdmwphkxvkvo6bt30uanrp, 3wp8fuk07m1ph1fpmbqe7tf55, b9g4qurpll4wizajo95c406hh, dlf31m2lrfl0biop1demgvh7t, c5zmr0m17riujelm4up44etih, 31wf775s975qy3il33oora8k5, 9bamtyvun46xn9e64lqn9ogyx, 4k0ni039sbjs4sqipk4v7k79x, cjd62gwj9ptwrrtu6y6xnpeui, 8wz5pdydepr5kzcichz17pv4l, 9irgn82qm11logbhup51rg5wp, 5gb7v3m0qisn24c7h49xn250p, 8c1r97aweyfc0woefvlfy2l05, 1g15ehziupxnsy1kvl3pqmbc9",3910172445,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3910172441,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3910172443,194,ombvyo6p3p5khkn91vubvpat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484545317,1,34,16,0,0,48gk2hpqtsl6p9sx9kjhaydq4,1,0,0,2022-11-12T14:01:37.848Z,2022-11-12T14:53:49Z,3910172731,194,6clj9dk6hdeaomo6yi7vcsv6d,3910172721,30,"8szyip8c62bier901hmpqc7vt, dn3llv8xjdbbndltfym5ar561, b275i2lg3anqae5lv9gmrzmqx, 4r6jcuotjs6rz8iwu20996z85, 1zumt9vkrqd8d3p3eqtwezi6t, 6clj9dk6hdeaomo6yi7vcsv6d, 9z2j13bl5yh4i1vyofautc9yi, 7dbzcwyph2xoljyhaogjo7mcp, 4hmivvhmplqof776e9tbqg251, 8rrcscn29rs1gk8mi1pwpu92i, 7sdbx7mzjxhvofvke9mp26kbu, 983mn5yig2f4upkq9e97hx87p, 9rfwfsz5cmckyjripqgtbc7op, 9ao7l82r1xd2rjnvv5u6plcr9, crz3aymras7zcc09yf8xhss4q, a7k01exbkdcshdjzq049ywkq, ax5fuknlz3zc3fcesya61iod1, 3ojnucluy7h8fgk2myyo0zx4a, 7oikovl62nfxs6z54dzd85gx5, 9d4cokmqyy9vabji5g0ascavo",3910172725,59,"1, 25, 21, 8, 5, 6, 29, 12, 19, 7, 10, 2, 3, 14, 16, 18, 22, 30, 42, 49",3910172733,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3910172723,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3910172729,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3910172727,130,8,3910425995,197,16679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484596751,2,32,1,0,0,22doj4sgsocqpxw45h607udje,1,0,0,2022-11-12T15:00:54.299Z,2022-11-12T22:53:12Z,3910439765,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484596759,2,32,1,0,0,48gk2hpqtsl6p9sx9kjhaydq4,1,0,0,2022-11-12T15:00:54.299Z,2022-11-12T15:00:55Z,3910439777,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484596783,3,1,1,0,0,22doj4sgsocqpxw45h607udje,1,49.8,49.9,2022-11-12T15:00:54.362Z,2022-11-12T23:53:48Z,3910439863,279,S,3912799611,178,,3910439861,213,3.0,3910439857,141,54.9,3910439859,212,18.0,3910439855,140,33.0,3910439853,56,Back,,,,3wp8fuk07m1ph1fpmbqe7tf55,R. Bentancur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484596805,4,1,1,0,2,22doj4sgsocqpxw45h607udje,0,34.3,59.3,2022-11-12T15:00:57.034Z,2022-11-12T23:53:51Z,3910439931,141,80.0,3910439921,155,,3910439923,56,Left,3910439933,212,37.2,3910439939,1,,3912799649,178,,3910439937,213,0.4,3910439927,140,67.1,3gsprcdyogabeb8lr2y0bmytx,C. Lenglet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484596841,3,1,1,0,4,48gk2hpqtsl6p9sx9kjhaydq4,1,30.8,22.3,2022-11-12T15:00:58.807Z,2022-11-12T23:53:54Z,3912799721,388,,3910440105,3,,3910440109,140,29.7,3910440113,212,15.6,3910440115,213,1.6,3910440111,141,45.2,3910440107,56,Back,,,,9z2j13bl5yh4i1vyofautc9yi,W. Gnonto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484596863,4,1,1,0,6,48gk2hpqtsl6p9sx9kjhaydq4,1,29.7,45.2,2022-11-12T15:01:00.554Z,2022-11-12T23:54:31Z,3910440221,212,10.9,3910440223,213,0.1,3910440215,56,Back,3910440213,3,,3912800515,388,,3910440219,141,46.6,3910440217,140,40.0,,,,4r6jcuotjs6rz8iwu20996z85,Marc Roca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484596871,5,49,1,0,7,48gk2hpqtsl6p9sx9kjhaydq4,1,46.5,44.6,2022-11-12T15:01:02.278Z,2022-11-12T23:54:35Z,,,,,,,,,,,,,,,,,,,,,,,,,7sdbx7mzjxhvofvke9mp26kbu,C. Summerville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484596907,6,3,1,0,9,48gk2hpqtsl6p9sx9kjhaydq4,0,50.8,40.4,2022-11-12T15:01:03.299Z,2022-11-12T23:54:44Z,3912014493,464,,3912800771,178,,3912014301,211,,3912014219,286,,3910440405,56,Center,,,,,,,,,,7sdbx7mzjxhvofvke9mp26kbu,C. Summerville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
