id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/17/value
2533567717,1,34,16,0,0,22doj4sgsocqpxw45h607udje,1,0,0,2023-04-15T13:00:06.026Z,2023-04-15T13:00:06Z,4189956717,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4189956715,30,"ombvyo6p3p5khkn91vubvpat, 77yaqzy45dxtzicao00jxrlgq, 2gsq05yyxwe4f8t79j6d49q6t, 3gsprcdyogabeb8lr2y0bmytx, az7wa6km1zhvsb8y4mndlogyd, 2w7i4jfw5wgh3j2wuworoumeh, 4zxrdmwphkxvkvo6bt30uanrp, 9bamtyvun46xn9e64lqn9ogyx, b9g4qurpll4wizajo95c406hh, dlf31m2lrfl0biop1demgvh7t, 12ekwo6gbza410blv4b4r7ydx, 4k0ni039sbjs4sqipk4v7k79x, c5zmr0m17riujelm4up44etih, 4rktv6j9sioe0gmu7jt77fsh5, 8wz5pdydepr5kzcichz17pv4l, 5gb7v3m0qisn24c7h49xn250p, btf0dch35aww78bzillh2jgx6, 8y8d2dd469x9q0lc7qfyxypyh, b8pl56k1d1btqlucywp077vje, dwinl6ddyavn9agb1en4eojdg",4189956723,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4189956729,197,4,4189956733,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4189956721,130,17,4189956719,59,"1, 23, 14, 34, 15, 17, 5, 4, 10, 21, 7, 6, 9, 16, 20, 25, 29, 40, 45, 77",4189956725,194,ombvyo6p3p5khkn91vubvpat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533567759,1,34,16,0,0,1pse9ta7a45pi2w2grjim70ge,1,0,0,2023-04-15T13:00:11.084Z,2023-04-15T14:21:23Z,4189956927,130,17,4189956925,59,"13, 16, 18, 5, 3, 6, 14, 8, 9, 10, 29, 1, 4, 11, 15, 21, 24, 25, 27, 32",4189956921,30,"1um5sa7iogc29aadvkabadyad, b3gobhr43y8oxpafvp4f8rgmh, 8u46wgn2upd99tmmchxuw1gbt, 7gyfpskzbb3r5nhiniky22o6h, e6la6wx7o6x7k4srpq8tdsafp, bvlkh4zxfuo5frhj7ogpnecbt, 2u0613a3yx2fk1pefmb722rbp, 6gxyeuqjnyj9bl4n8kz14sv6d, dvj6rdi2k0td95oxldbj6e28l, cr4c6htcw2jewsvboj6s8p045, 33cny48k38nlo8pcx3i24ldqt, 12l99v9rpet6ug6n121tg6ay1, djelmk2oafas355n2u0d1bumt, dg4782hj9xdqg46w225kzph5g, 80bmtj7l07ohb2h475w955n9, efq6i6kz6ca3u91snwmptef2t, 7tnuxlg9l4rjhc7j3ko36hduy, 95pzsjfh0wf6isp6qpf9lddyh, 2u6hj8z2g0r7b5roxpluy4sbu, 8cmkqkrjme3wb0gegzn1e6xre",4189956931,194,1um5sa7iogc29aadvkabadyad,4189956935,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4189956933,197,2071,4189956923,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4189956929,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533663249,2,32,1,0,0,22doj4sgsocqpxw45h607udje,1,0,0,2023-04-15T14:17:04.318Z,2023-04-15T21:17:06Z,4190449757,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533663213,2,32,1,0,0,1pse9ta7a45pi2w2grjim70ge,1,0,0,2023-04-15T14:17:04.318Z,2023-04-15T14:17:04Z,4190449597,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533663349,3,1,1,0,0,1pse9ta7a45pi2w2grjim70ge,1,49.9,49.4,2023-04-15T14:17:04.545Z,2023-04-15T21:37:49Z,4190450223,213,2.9,4190450215,56,Back,4190450217,140,47.3,4192775221,178,,4190450231,279,S,4190450219,141,50.2,4190450221,212,2.8,,,,dvj6rdi2k0td95oxldbj6e28l,D. Solanke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533663399,4,1,1,0,1,1pse9ta7a45pi2w2grjim70ge,1,51.9,51.3,2023-04-15T14:17:05.780Z,2023-04-15T21:37:59Z,4190450523,212,6.0,4190450517,56,Back,4192775491,178,,4190450525,213,2.6,4190450519,140,47.0,4190450521,141,55.9,,,,,,,cr4c6htcw2jewsvboj6s8p045,R. Christie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533663519,5,1,1,0,3,1pse9ta7a45pi2w2grjim70ge,1,46.9,45.8,2023-04-15T14:17:07.924Z,2023-04-15T21:38:06Z,4190451085,56,Back,4190451087,140,48.9,4190451093,213,4.8,4190451089,141,15.9,4192775715,178,,4190451091,212,20.4,,,,,,,2u0613a3yx2fk1pefmb722rbp,J. Rothwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533663609,6,1,1,0,6,1pse9ta7a45pi2w2grjim70ge,1,46.5,11.6,2023-04-15T14:17:10.955Z,2023-04-15T21:38:13Z,4190451575,213,1.8,4190451571,141,39.0,4190451569,140,42.1,4190451573,212,19.2,4190451567,56,Back,4192775983,178,,,,,,,,33cny48k38nlo8pcx3i24ldqt,P. Billing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533663715,7,1,1,0,8,1pse9ta7a45pi2w2grjim70ge,1,42.1,39.2,2023-04-15T14:17:13.191Z,2023-04-15T21:38:18Z,4190452149,140,39.6,4190452157,1,,4190452155,213,1.7,4190452151,141,87.6,4190452153,212,33.0,4192776119,178,,4190452147,56,Back,,,,6gxyeuqjnyj9bl4n8kz14sv6d,J. Lerma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534108569,924,83,1,0,12,22doj4sgsocqpxw45h607udje,1,62.9,11.6,2023-04-15T14:17:16.830Z,2023-04-15T22:13:36Z,4192851585,399,235530,,,,,,,,,,,,,,,,,,,,,,dlf31m2lrfl0biop1demgvh7t,D. Kulusevski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
