id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/9/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,assist,qualifier/17/value
2506219659,1,34,16,0,0,22doj4sgsocqpxw45h607udje,1,0,0,2023-02-11T14:00:02.701Z,2023-02-11T14:00:03Z,4024341711,30,"8wz5pdydepr5kzcichz17pv4l, 77yaqzy45dxtzicao00jxrlgq, 2gsq05yyxwe4f8t79j6d49q6t, 7qy1hiitksyuaa9l0irxg240l, az7wa6km1zhvsb8y4mndlogyd, 5gb7v3m0qisn24c7h49xn250p, 4zxrdmwphkxvkvo6bt30uanrp, 3wp8fuk07m1ph1fpmbqe7tf55, b9g4qurpll4wizajo95c406hh, dlf31m2lrfl0biop1demgvh7t, 12ekwo6gbza410blv4b4r7ydx, 9bamtyvun46xn9e64lqn9ogyx, 4k0ni039sbjs4sqipk4v7k79x, c5zmr0m17riujelm4up44etih, anxby26pfxpu4u5bfy9nbuvah, 4rktv6j9sioe0gmu7jt77fsh5, 8c1r97aweyfc0woefvlfy2l05, btf0dch35aww78bzillh2jgx6, 3gsprcdyogabeb8lr2y0bmytx, 8y8d2dd469x9q0lc7qfyxypyh",4024341719,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4024341715,59,"20, 23, 14, 33, 15, 25, 5, 30, 10, 21, 7, 4, 6, 9, 12, 16, 27, 29, 34, 40",4024341723,197,16823,4024341717,130,17,4024341725,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4024341721,194,b9g4qurpll4wizajo95c406hh,4024341713,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506219691,1,34,16,0,0,avxknfz4f6ob0rv9dbnxdzde0,1,0,0,2023-02-11T14:00:07.229Z,2023-02-11T14:00:07Z,4024341909,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4024341905,194,a1yoz8f4985o166nzcyigpj2t,4024341901,130,8,4024341899,59,"1, 27, 16, 22, 15, 3, 37, 24, 14, 10, 7, 4, 9, 18, 20, 21, 25, 26, 31, 33",4024341895,30,"5h2biadv4hd2ntcd7zo2c8639, p87gxg8kc9ta6iipqt5fxmtx, bwai2k262meugz2fj7s2g58iy, 2bkp1lcaxmvwoanxwo0775cdl, dfqpevw7bneap02x7mxo74pgp, 72d5uxwcmvhd6mzthxuvev1sl, 79nno03ww57p02dz5o0g60rqi, 7wu5l9m2kt30c4nifxdi3btg5, 51xwrb0qit04oz9x01p2gghjp, a1yoz8f4985o166nzcyigpj2t, 18paf5a7rfe4kutxjl4cwd695, ayyswiouwrh2yn1j75owovob9, 6v1o4s2acog9guff3folo1jh1, enyatxtjef9lacem6c8cc1mmt, otz9c2ifww514ummo10nfoix, 33p3p5buydosugm9alv57o0r9, 6tma6gvgf6xphc5gm2el35vbp, 8prtj2o0lz1zbzpuw4ah4qhud, bm9qgspytvdwy514kk6ytztg5, 70jmsf551d1sspqnm8t5lrch5",4024341903,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4024341907,197,16498,4024341897,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506274501,2,32,1,0,0,22doj4sgsocqpxw45h607udje,1,0,0,2023-02-11T15:00:13.692Z,2023-02-11T15:00:13Z,4024617827,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506274505,2,32,1,0,0,avxknfz4f6ob0rv9dbnxdzde0,1,0,0,2023-02-11T15:00:13.692Z,2023-02-11T22:48:20Z,4024617837,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506274541,3,1,1,0,0,avxknfz4f6ob0rv9dbnxdzde0,1,49.5,51,2023-02-11T15:00:13.779Z,2023-02-12T00:41:57Z,4024617959,140,37.1,4024617967,279,S,4024617957,56,Back,4024617961,141,46.9,4024617965,213,3.4,4024617963,212,13.3,4027120575,178,,,,,79nno03ww57p02dz5o0g60rqi,Tetê,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506274551,4,1,1,0,2,avxknfz4f6ob0rv9dbnxdzde0,0,36.5,46.9,2023-02-11T15:00:15.913Z,2023-02-12T00:42:10Z,4024618017,213,0.4,4027120899,178,,4024618015,212,39.0,4024618019,1,,4024618011,140,70.7,4024618007,155,,4024618013,141,69.3,4024618009,56,Center,2bkp1lcaxmvwoanxwo0775cdl,K. Dewsbury-Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506274571,3,1,1,0,5,22doj4sgsocqpxw45h607udje,0,25.4,21.8,2023-02-11T15:00:18.927Z,2023-02-12T00:42:13Z,4024618121,3,,4024618125,140,35.6,4024618131,213,0.3,4024618129,212,11.1,4024618127,141,26.3,4027120961,388,,4024618123,56,Back,,,,5gb7v3m0qisn24c7h49xn250p,J. Tanganga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506274609,5,1,1,0,6,avxknfz4f6ob0rv9dbnxdzde0,1,60,78.4,2023-02-11T15:00:20.525Z,2023-02-12T00:42:20Z,4024618275,140,55.1,4024618279,212,14.9,4027121175,178,,4024618277,141,99.0,4024618281,213,1.9,4024618273,56,Left,,,,,,,7wu5l9m2kt30c4nifxdi3btg5,N. Mendy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506274635,6,1,1,0,9,avxknfz4f6ob0rv9dbnxdzde0,1,54.3,99,2023-02-11T15:00:23.200Z,2023-02-12T00:42:24Z,4024618379,56,Left,4027121251,178,,4024618383,141,86.0,4024618385,212,9.0,4024618381,140,52.5,4024618387,213,4.5,,,,,,,bwai2k262meugz2fj7s2g58iy,V. Kristiansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506274697,7,1,1,0,12,avxknfz4f6ob0rv9dbnxdzde0,1,52.5,71.7,2023-02-11T15:00:26.083Z,2023-02-12T00:42:28Z,4024618627,141,15.3,4024618621,155,,4024618629,212,40.9,4024618625,140,65.9,4024618631,213,5.1,4027121311,178,,4024618633,1,,4024618623,56,Right,7wu5l9m2kt30c4nifxdi3btg5,N. Mendy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
