id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2453365019,1,34,16,0,0,hzqh7z0mdl3v7gwete66syxp,1,0,0,2022-08-30T17:30:06.671Z,2022-08-30T18:26:37Z,3744909607,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3744909595,30,"2f79rc4i712sxstahjkq6pxp1, 2qy2d8xkwkbeyw5v8ljlzb845, bgc1psqiv7vagmphfl920nbah, ecp0v1dxqfjbgy3urnkz5d3o5, 661b6x35l9b9uieqbcq7el1hx, b1el7j39v2pgvl9zodd9usded, ch8dgambei1xbzmikkglg3c9h, a9k2946gt4hcqw8jpi6ow3jdh, b27pmpcvny40pkcx87tdddsyd, ah7iqgru0htz9lh1bff94cjbp, 1ehvdoglquy9ldibpvajw34d1, 46jsa691lantlbcfqm1rtnlcl, cgvp2cli2gi4cnyl62kt80r11, 8u8he2dwkbgjf3yo8jsltq9qt, fwu0bja02waqct7l682s5mfp, chn2v9j6dqmuz2haoiuulbd91, 6cbixj2kogb7ibypc15x6crxm, 11t9hilgle145hzx00kunjbop, afef63w1s01vagw51lo85qcd0, adfgsbp3tv9wgatujcr9mfuju",3744909605,194,b1el7j39v2pgvl9zodd9usded,3744909601,130,8,3744909603,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3744909597,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3745066961,197,4967,3744909599,59,"17, 2, 33, 26, 4, 13, 14, 6, 9, 18, 7, 1, 10, 12, 27, 31, 35, 37, 38, 65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453365031,1,34,16,0,0,e5p0ehyguld7egzhiedpdnc3w,1,0,0,2022-08-30T17:30:09.604Z,2022-08-31T08:12:08Z,3745087351,197,16720,3744909681,59,"1, 7, 30, 4, 5, 34, 25, 8, 11, 13, 10, 2, 6, 17, 18, 20, 21, 22, 23, 29",3744909685,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3744909683,130,12,3744909687,194,jagvvzc7329tf2c64mnc251,3744909677,30,"d9yxninyn4bac8f0ufxsnlqll, 2wwo7wcxz4gfy0ubkzynvrsnp, 87g6qlasqe627i5g7ir30j2sp, 6o9mxqdmxip6ik6w6zgd7k8ut, jagvvzc7329tf2c64mnc251, bh20puvz2w21mnag7ul1g3c9h, 3uc9z96xvain84leorf4ls962, 2up6hmpgok15ge6cqkb8j444p, 8qwpdf5jof7o6yy47v6iv11hx, 3k6znit6fd9mbfcnphlwyvj6d, am6ppbdrbz4ml3xsbty53o73d, 83jpq8fuprm9h1e2thoxv1tyh, 573hlc6devy50gjotyav9ql4a, 69ivqkcipxp15b7x5jl83ud49, c0yxqwkxqx1sty7abj1qwh9zp, 1mf7tr17fqnddm23nx1z1tsh6, 6rutvrgco8li4nyz7tfayxb6x, aititrd343hal6ount0dp5zze, 31xsuz1icsj7zt1462swjpk2d, 2gj7h5fxuh4y0tbp6j308yk4q",3744909679,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3744909689,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453396299,2,32,1,0,0,hzqh7z0mdl3v7gwete66syxp,1,0,0,2022-08-30T18:30:45.404Z,2022-08-31T00:59:54Z,3745082399,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453396289,2,32,1,0,0,e5p0ehyguld7egzhiedpdnc3w,1,0,0,2022-08-30T18:30:45.404Z,2022-08-30T18:30:45Z,3745082357,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453396329,3,1,1,0,0,e5p0ehyguld7egzhiedpdnc3w,1,50.1,50.4,2022-08-30T18:30:45.491Z,2022-08-31T01:49:33Z,3745082589,213,3.3,3745082587,212,18.1,3746374451,178,,3745082585,141,45.4,3745082583,140,33.2,3745082581,56,Back,3745082591,279,S,,,,3k6znit6fd9mbfcnphlwyvj6d,P. Groß,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453396363,4,1,1,0,3,e5p0ehyguld7egzhiedpdnc3w,0,31.6,47,2022-08-30T18:30:48.887Z,2022-08-31T01:49:37Z,3746374647,178,,3745082777,56,Center,3745082789,1,,3745082779,140,67.8,3745082781,141,77.9,3745082775,155,,3745082785,213,0.5,3745082783,212,43.4,jagvvzc7329tf2c64mnc251,L. Dunk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453396401,3,1,1,0,6,hzqh7z0mdl3v7gwete66syxp,0,28.8,21.7,2022-08-30T18:30:51.922Z,2022-08-31T01:49:41Z,3745083023,3,,3745083025,56,Back,3745083031,212,12.7,3745083033,213,0.3,3745083029,141,27.7,3745083027,140,40.3,3746374785,388,,,,,a9k2946gt4hcqw8jpi6ow3jdh,H. Reed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453396455,5,1,1,0,8,e5p0ehyguld7egzhiedpdnc3w,1,61.8,75.6,2022-08-30T18:30:54.038Z,2022-08-31T01:49:48Z,3745083289,140,43.3,3745083287,56,Back,3745083285,3,,3745083293,212,20.7,3745083295,213,2.8,3745083291,141,86.3,3746375073,388,,,,,am6ppbdrbz4ml3xsbty53o73d,A. Mac Allister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453396501,6,1,1,0,11,e5p0ehyguld7egzhiedpdnc3w,1,42.3,83.7,2022-08-30T18:30:57.097Z,2022-08-31T01:49:57Z,3746375411,178,,3745083515,56,Back,3745083517,140,30.3,3745083519,141,43.1,3745083521,212,30.3,3745083523,213,4.3,,,,,,,6o9mxqdmxip6ik6w6zgd7k8ut,A. Webster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453396543,7,1,1,0,16,e5p0ehyguld7egzhiedpdnc3w,0,29.7,37.9,2022-08-30T18:31:01.553Z,2022-08-31T01:50:02Z,3745083755,56,Right,3745083753,155,,3746375545,178,,3745083761,212,45.9,3745083765,1,,3745083763,213,5.9,3745083757,140,69.6,3745083759,141,10.3,jagvvzc7329tf2c64mnc251,L. Dunk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
